,N,Mean,Std,Min,P25,Median,P75,Max
PriceDelay,38943.0,0.1101,0.1195,0.0049,0.0332,0.0678,0.1396,0.6641
DU_kw,38943.0,1.0704,1.6954,0.0,0.1931,0.4775,1.1321,10.0595
DU_kw_ln,38943.0,2.415,1.2495,0.0,1.6094,2.3979,3.2581,5.4806
DU_sub,38943.0,12.2789,24.1319,0.0,1.0,4.0,12.0,152.0
DU_ratio,38943.0,0.6209,0.3785,0.0,0.3333,0.75,0.9667,1.0
Size,38943.0,22.6431,0.9716,20.9492,21.9341,22.4807,23.2019,25.6665
Lev,38943.0,0.4339,0.2054,0.0553,0.2714,0.4266,0.5833,0.9225
ROA,38943.0,0.027,0.0682,-0.2793,0.0085,0.0308,0.0599,0.1908
TobinQ,38943.0,2.0268,1.3143,0.8296,1.2192,1.6035,2.3131,8.4434
Age,38943.0,2.2816,0.6353,1.0986,1.7918,2.3979,2.8332,3.2189
Growth,38943.0,0.1269,0.371,-0.5914,-0.056,0.0749,0.227,2.157
BoardSize,38943.0,2.1094,0.198,1.6094,1.9459,2.1972,2.1972,2.6391
IndepRatio,38943.0,0.3786,0.0542,0.3333,0.3333,0.3636,0.4286,0.5714
Dual,38943.0,0.2874,0.4526,0.0,0.0,0.0,1.0,1.0
Top1Share,38943.0,33.0337,14.7561,8.11,21.6,30.55,42.65,74.02
SOE,38943.0,0.3402,0.4738,0.0,0.0,0.0,1.0,1.0
InstHold,38943.0,42.0811,24.3309,0.35,21.5404,43.3724,61.5814,90.7083
Amihud,38943.0,0.0421,0.043,0.0018,0.015,0.0296,0.0536,0.3022
Analyst,38943.0,2.4893,1.7391,0.0,0.6931,2.6391,3.9512,5.656
AuditType,38943.0,0.9633,0.1881,0.0,1.0,1.0,1.0,1.0
