Specification,Sample,Coef,SE,t,p,N
OLS_FirmYear_IV1samp,IV1,-0.0036427567863950455,0.0014191064538622386,-2.566936945766769,0.010439097570998701,38598
OLS_FirmIndYear_IV1samp,IV1,-0.0013090828264227165,0.0009868444074375064,-1.3265341694765762,0.18506392329840704,38545
2SLS_IV1_FirmYear,IV1,-0.044569465375722504,0.0161226396898222,-2.7644024944536865,0.005832597585847088,38598
OLS_FirmYear_bothsamp,IV1+IV2,-0.0048531679918820386,0.0011073534808867598,-4.382672810127134,1.3273618067133341e-05,29288
OLS_FirmIndYear_bothsamp,IV1+IV2,-0.0019136868320333714,0.0009771645245917116,-1.9584080099847736,0.05055145147387141,29234
2SLS_IV1_bothsamp,IV1+IV2,-0.07419582750281743,0.02000950281240754,-3.70802953968501,0.00022318381056973813,29288
2SLS_IV1_IV2,IV1+IV2,-0.02740919875678003,0.00993275742412374,-2.7594752983910755,0.0059207603913833395,29288
FirstStage_IV1_full,IV1,0.0007511308285251461,7.823367709805102e-05,9.601118806978057,0.0,38598
FirstStage_IV1_both,IV1+IV2,0.0007298992501677744,0.00010976619573651205,6.649581369476072,5.4180437913942114e-11,29288
Hansen_J,IV1+IV2,21.437424611162008,,,3.6556569970036534e-06,29288
Oster_FirmYear_full,IV1,9.028725200723791,,,,38598
Oster_FirmIndYear_full,IV1,3.6496167191580966,,,,38545
