Design,Treatment,Var,Coef,t,p,N
BinaryDID_2024_w2124,2017-2021,TreatPost,0.019596367629618586,4.681361635643774,6.176522624024017e-06,16005
BinaryDID_2024_w2124,2011-2021,TreatPost,0.020114912985505762,5.690436533518934,6.157250931337899e-08,16005
BinaryDID_2024_w2124,旧2019-2023,TreatPost,0.00750207824124495,1.377602023017104,0.17031203797145333,16005
BinaryDID_2024_w1924,2017-2021,TreatPost,0.02085872871683028,4.898286365324725,1.5666262023206201e-06,22471
BinaryDID_2024_w1924,2011-2021,TreatPost,0.021667928971314473,6.2365905734366205,1.4786252222620533e-09,22471
BinaryDID_2023公告_w1924,2017-2021,TreatPost,0.007614095155707034,1.207690558142556,0.2280958697310853,22471
BinaryDID_2024实施_w1924,2017-2021,TreatPost,0.02085872871683028,4.898286365324725,1.5666262023206201e-06,22471
ContDID_2024实施_2019-2024,DU_kw_pre_std,IntensityPost,0.00966709927377918,5.442599880975423,1.0756093593577987e-07,22471
ContDID_2024实施_2021-2024,DU_kw_pre_std,IntensityPost,0.008703345864193386,4.204079626561809,4.415679324720756e-05,16005
ContDID_2023公告_2019-2024,DU_kw_pre_std,IntensityPost,0.0027387744344746557,0.733180418700933,0.4640078659624285,22471
ContDID_2023公告_2021-2024,DU_kw_pre_std,IntensityPost,0.0008897554558547625,0.20545970596621124,0.8374825649280224,16005
