rel_quarter,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
-8,0.006753994665026191,0.007063532272273888,-0.007090528588630629,0.020598517918683012,0.9561780713506883,0.33902962148458426,223313,binary_fim_quarterly
-7,0.015427052340324154,0.006599970454086706,0.0024911102503142116,0.028362994430334097,2.3374426366972165,0.019456380684673036,223313,binary_fim_quarterly
-6,0.02125616557432332,0.006386533583423259,0.00873855975081373,0.03377377139783291,3.3282789946482607,0.0008803146539191342,223313,binary_fim_quarterly
-5,0.04568102722960983,0.006368094952922328,0.03319956112188207,0.05816249333733759,7.173421182836908,8.413270080609436e-13,223313,binary_fim_quarterly
-4,0.011720497930025862,0.007151268204008252,-0.0022959877498303118,0.025736983609882035,1.6389397790250095,0.10129023716076002,223313,binary_fim_quarterly
-3,-0.008343821868169619,0.006938575920418648,-0.02194343067219017,0.005255786935850932,-1.2025265650860217,0.229217899313368,223313,binary_fim_quarterly
-2,-0.012580292021044118,0.004865555035590421,-0.022116779890801342,-0.0030438041512868934,-2.585582102971226,0.009750184845197074,223313,binary_fim_quarterly
-1,0.0,0.0,0.0,0.0,,,223313,binary_fim_quarterly
0,-0.0067870530364795255,0.005161175577078778,-0.01690295716755393,0.003328851094594878,-1.3150207612818694,0.18856468854232844,223313,binary_fim_quarterly
1,-0.006567769428280127,0.005989974022393937,-0.018308118512172244,0.005172579655611989,-1.096460419315019,0.2729314177232185,223313,binary_fim_quarterly
2,0.007482138347991371,0.00559155501966789,-0.003477309490557693,0.018441586186540435,1.3381140526514521,0.18092158081547938,223313,binary_fim_quarterly
3,0.0364520240288327,0.006057011703066847,0.02458028109082168,0.04832376696684372,6.018153144788534,1.89303972497612e-09,223313,binary_fim_quarterly
4,0.03403166405545026,0.005951051970128313,0.022367602193998765,0.045695725916901755,5.718596346708847,1.1380077546974121e-08,223313,binary_fim_quarterly
5,0.015708316240105036,0.006584083943090062,0.002803511711648516,0.028613120768561557,2.3858013317996614,0.017079853441381188,223313,binary_fim_quarterly
6,-0.0033537050959026177,0.00687144968205575,-0.016821746472731887,0.010114336280926653,-0.4880636912266933,0.6255266467609313,223313,binary_fim_quarterly
7,-0.022111280185030825,0.007829640190643082,-0.03745737495869127,-0.006765185411370384,-2.8240480592524815,0.004761350510186224,223313,binary_fim_quarterly
-8,-0.0007186023768408059,0.0029010669241360085,-0.006404693548147382,0.004967488794465771,-0.24770279198395914,0.804374788415013,223313,cont_fim_quarterly
-7,0.006219048837209755,0.0027857510702919853,0.0007589767394374641,0.011679120934982046,2.2324495908953965,0.025630440942807198,223313,cont_fim_quarterly
-6,0.00595035917915938,0.0027012566993417407,0.0006558960484495677,0.011244822309869191,2.2028114472087754,0.027654600348036684,223313,cont_fim_quarterly
-5,0.02391888697374218,0.003129347734436177,0.017785365414247273,0.03005240853323709,7.643409746552731,2.531308496145357e-14,223313,cont_fim_quarterly
-4,0.011282341626634758,0.003422087704488004,0.00457504972583827,0.017989633527431246,3.2969177300272516,0.00098451065533256,223313,cont_fim_quarterly
-3,-0.002356378868366707,0.0032527805022331655,-0.00873182865274371,0.004019070916010298,-0.7244198822358155,0.4688427115326985,223313,cont_fim_quarterly
-2,-0.005219661701145432,0.0024143814816107926,-0.009951849405102586,-0.00048747399718827855,-2.1619042976021556,0.030673989727921347,223313,cont_fim_quarterly
-1,0.0,0.0,0.0,0.0,,,223313,cont_fim_quarterly
0,-0.004197472396066332,0.0022824449280956422,-0.008671064455133791,0.00027611966300112624,-1.8390246110202944,0.06597226260036537,223313,cont_fim_quarterly
1,-0.005734531193148386,0.0026840209630847878,-0.01099521228079457,-0.0004738501055022021,-2.136544860125682,0.03268460579524568,223313,cont_fim_quarterly
2,-0.0020124806200117465,0.002517010932115248,-0.006945822046957632,0.0029208608069341392,-0.7995517994514614,0.42400942318557444,223313,cont_fim_quarterly
3,0.01783995022669319,0.0030580710406644097,0.011846130986990947,0.02383376946639543,5.833726551629489,5.769684507939132e-09,223313,cont_fim_quarterly
4,0.01656653156713499,0.0028798091572079204,0.010922105619007466,0.022210957515262517,5.7526491037332645,9.321057703459701e-09,223313,cont_fim_quarterly
5,-0.002246796796384234,0.0029050239567127304,-0.007940643751541186,0.0034470501587727177,-0.7734176481376306,0.4393126952199673,223313,cont_fim_quarterly
6,-0.011831382242281347,0.00289761443305738,-0.01751070653107381,-0.006152057953488882,-4.083145813778136,4.514094032859184e-05,223313,cont_fim_quarterly
7,-0.011723219791907984,0.0033891606209988804,-0.01836597460906579,-0.005080464974750178,-3.4590334017432385,0.0005467523827340504,223313,cont_fim_quarterly
