,N,Mean,Std,Min,P25,Median,P75,Max
PriceDelay,10010.0,0.0773,0.0895,0.0049,0.027,0.0505,0.092,0.6641
DataUsage,10010.0,96.3502,135.9617,2.0,19.0,42.0,106.0,725.0
Size,10010.0,22.5117,0.9889,20.9492,21.7805,22.292,23.0491,25.6665
Lev,10010.0,0.4266,0.1998,0.0553,0.2704,0.4183,0.5701,0.9225
ROA,10010.0,0.0289,0.0788,-0.2793,0.0121,0.0354,0.0662,0.1908
TobinQ,10010.0,1.8457,1.2184,0.8296,1.1415,1.4603,2.0385,8.4434
Age,10010.0,2.1902,0.7346,0.6931,1.6094,2.3026,2.9444,3.0445
Growth,10010.0,0.1116,0.3488,-0.5914,-0.0496,0.0762,0.2129,2.157
BoardSize,10010.0,2.1051,0.1971,1.6094,1.9459,2.1972,2.1972,2.6391
IndepRatio,10010.0,0.3792,0.0544,0.3333,0.3333,0.3636,0.4286,0.5714
Dual,10010.0,0.2977,0.4573,0.0,0.0,0.0,1.0,1.0
Top1Share,10010.0,33.0889,14.4716,8.11,21.8425,30.71,42.5175,74.02
SOE,10010.0,0.3086,0.4619,0.0,0.0,0.0,1.0,1.0
InstHold,10010.0,41.4438,24.8971,0.35,19.5541,42.4141,61.8023,90.7083
Amihud,10010.0,0.0477,0.0419,0.0018,0.0189,0.0372,0.0641,0.3022
Analyst,10010.0,2.4694,1.7466,0.0,0.6931,2.4849,3.912,5.656
AuditType,10010.0,0.9505,0.2168,0.0,1.0,1.0,1.0,1.0
