var,cn_name,source,type,coef,se,t,p,sig,N,R2
ARLength,年报篇幅(万字),信息处理成本,concurrent,0.07845938673971037,0.020398918846271995,3.84625221223669,0.00012722341688298222,***,43843,0.8448585017134767
ARLength,年报篇幅(万字),信息处理成本,lagged,0.10456620215728644,0.020670922993099108,5.058613115253508,5.058639194199799e-07,***,37871,0.8486840701948676
FcstAcc_LT,长期预测误差,Dessaint et al. (JF 2024),concurrent,0.04293952268724616,0.041042509391689345,1.046220694681523,0.2957333477264905,,24601,0.3872655536127464
FcstAcc_LT,长期预测误差,Dessaint et al. (JF 2024),lagged,0.0695265263571854,0.03909147709007444,1.7785597151262058,0.07567229550068344,*,20724,0.40816966831766865
FcstAcc_ST,短期预测误差,Dessaint et al. (JF 2024),concurrent,-0.0177480545256754,0.015474107882675425,-1.146951711868692,0.25167869384826314,,25092,0.31582915404387524
FcstAcc_ST,短期预测误差,Dessaint et al. (JF 2024),lagged,0.00868291781219691,0.018808883364494253,0.4616391969651827,0.6444506538140933,,21415,0.28264992740394423
FcstAcc,分析师预测误差,McClure et al. (RAS 2025),concurrent,0.020935008807742978,0.022917648263146392,0.9134885293360718,0.36120606974419034,,28151,0.4305832495790698
FcstAcc,分析师预测误差,McClure et al. (RAS 2025),lagged,0.03182949611949952,0.024946682251934398,1.275900971442061,0.20231255846940854,,24001,0.44935641657001557
IdioVol,特质波动率,Davila & Parlatore (JFE 2023),concurrent,-4.067739901382445e-05,7.196943220375862e-05,-0.5652038340202448,0.5720569135473488,,43843,0.5995362801055397
IdioVol,特质波动率,Davila & Parlatore (JFE 2023),lagged,2.0745026961336093e-05,7.981426399569732e-05,0.2599162846687959,0.7949840814313303,,37934,0.5684020607276056
InstStable,稳定型机构持股,基金+保险+QFII,concurrent,-0.17096050899669388,0.026079410591747218,-6.555382392376384,8.718625821302339e-11,***,43843,0.6949247697658724
InstStable,稳定型机构持股,基金+保险+QFII,lagged,-0.13240687338272875,0.04043243169178247,-3.2747689872345536,0.0010953025459998766,***,37877,0.6173878229855543
InvestIneff,投资效率偏离,Li et al. (JFS 2024),concurrent,-0.0010431179229410362,0.0005780686322345577,-1.8044880223111286,0.07175283299487711,*,28974,0.28047950498341845
InvestIneff,投资效率偏离,Li et al. (JFS 2024),lagged,-0.0008601751536886523,0.0006219455418432157,-1.3830393431865633,0.1672509517905576,,26933,0.2863667958200342
TurnoverVol,换手率波动率,IREF 2024,concurrent,0.5469812522016277,0.12282473804341525,4.453347598496685,9.367072530519494e-06,***,43843,0.5700001933519525
TurnoverVol,换手率波动率,IREF 2024,lagged,0.6176518123233382,0.1306213843174687,4.728565812946574,2.5996691694896157e-06,***,37934,0.5298574579173545
absDA,盈余管理程度,Kothari (2005),concurrent,-0.0009948446543747412,0.00031551165921072413,-3.1531153456053542,0.0016945752752066667,***,32973,0.2783614708579887
absDA,盈余管理程度,Kothari (2005),lagged,-0.0009891032253857661,0.0004385643197601744,-2.255320783794381,0.02447091155169301,**,27967,0.2775303614363138
