,PriceDelay,SYNCH,DU_kw,DU_llm,llm_score,llm_binary,Size,Lev,ROA,TobinQ,Age,Growth,IndepRatio,Dual,Top1Share,SOE,CFO
PriceDelay,1.0000,-0.6359,0.0202,0.0278,0.0209,0.0125,-0.0452,-0.0157,-0.0577,0.1226,-0.1232,0.0690,0.0171,0.0491,-0.0343,-0.1120,-0.0398
SYNCH,-0.6359,1.0000,-0.0183,-0.0382,-0.0243,-0.0172,0.0880,0.0514,0.0176,-0.1728,0.1450,-0.1096,-0.0310,-0.0913,0.0482,0.1977,0.0286
DU_kw,0.0202,-0.0183,1.0000,0.6781,0.3391,0.3158,0.0516,-0.0861,-0.0118,0.0305,-0.0974,-0.0067,0.0407,0.0890,-0.1251,-0.1184,-0.0417
DU_llm,0.0278,-0.0382,0.6781,1.0000,0.8529,0.7928,0.1967,-0.0056,0.0082,-0.0356,-0.0191,-0.0007,0.0458,0.0652,-0.0690,-0.0734,0.0119
llm_score,0.0209,-0.0243,0.3391,0.8529,1.0000,0.8713,0.1764,0.0076,0.0225,-0.0495,0.0223,-0.0020,0.0342,0.0323,-0.0144,-0.0201,0.0362
llm_binary,0.0125,-0.0172,0.3158,0.7928,0.8713,1.0000,0.1478,0.0165,0.0134,-0.0416,0.0215,0.0029,0.0215,0.0256,-0.0174,-0.0216,0.0271
Size,-0.0452,0.0880,0.0516,0.1967,0.1764,0.1478,1.0000,0.1511,0.2421,0.0827,0.1606,0.1311,0.0211,-0.0850,0.1583,0.1637,0.1827
Lev,-0.0157,0.0514,-0.0861,-0.0056,0.0076,0.0165,0.1511,1.0000,-0.3774,-0.2058,0.3587,0.0104,-0.0053,-0.1493,0.0067,0.2646,-0.1737
ROA,-0.0577,0.0176,-0.0118,0.0082,0.0225,0.0134,0.2421,-0.3774,1.0000,0.0670,-0.2110,0.2311,-0.0312,0.0330,0.1601,-0.0433,0.3698
TobinQ,0.1226,-0.1728,0.0305,-0.0356,-0.0495,-0.0416,0.0827,-0.2058,0.0670,1.0000,0.0015,0.0559,0.0468,0.0716,-0.1243,-0.1481,0.0573
Age,-0.1232,0.1450,-0.0974,-0.0191,0.0223,0.0215,0.1606,0.3587,-0.2110,0.0015,1.0000,-0.0624,-0.0167,-0.2414,-0.0910,0.3957,-0.0114
Growth,0.0690,-0.1096,-0.0067,-0.0007,-0.0020,0.0029,0.1311,0.0104,0.2311,0.0559,-0.0624,1.0000,-0.0083,0.0212,0.0056,-0.0543,0.0307
IndepRatio,0.0171,-0.0310,0.0407,0.0458,0.0342,0.0215,0.0211,-0.0053,-0.0312,0.0468,-0.0167,-0.0083,1.0000,0.1035,0.0371,-0.0607,-0.0053
Dual,0.0491,-0.0913,0.0890,0.0652,0.0323,0.0256,-0.0850,-0.1493,0.0330,0.0716,-0.2414,0.0212,0.1035,1.0000,-0.0511,-0.3046,-0.0068
Top1Share,-0.0343,0.0482,-0.1251,-0.0690,-0.0144,-0.0174,0.1583,0.0067,0.1601,-0.1243,-0.0910,0.0056,0.0371,-0.0511,1.0000,0.2291,0.1077
SOE,-0.1120,0.1977,-0.1184,-0.0734,-0.0201,-0.0216,0.1637,0.2646,-0.0433,-0.1481,0.3957,-0.0543,-0.0607,-0.3046,0.2291,1.0000,-0.0008
CFO,-0.0398,0.0286,-0.0417,0.0119,0.0362,0.0271,0.1827,-0.1737,0.3698,0.0573,-0.0114,0.0307,-0.0053,-0.0068,0.1077,-0.0008,1.0000
