,count,mean,std,min,25%,50%,75%,max
PriceDelay,38088.0000,0.1198,0.1400,0.0047,0.0339,0.0697,0.1465,0.7721
SYNCH,38033.0000,-0.5678,0.9003,-3.3841,-1.0837,-0.4958,0.0443,1.3140
DU_kw,38058.0000,0.9698,1.5354,0.0000,0.1712,0.4289,1.0382,9.1731
DU_llm,38088.0000,1.1294,1.0036,0.0000,0.2310,0.9242,1.8054,3.9446
llm_score,38088.0000,1.2186,0.8270,0.0000,1.0000,1.0000,2.0000,3.0000
llm_binary,38088.0000,0.4192,0.4934,0.0000,0.0000,0.0000,1.0000,1.0000
Size,37543.0000,22.6050,1.0331,20.8523,21.8540,22.4342,23.1792,25.9221
Lev,38088.0000,0.4380,0.2195,0.0540,0.2628,0.4249,0.5939,0.9666
ROA,38088.0000,0.0304,0.0748,-0.3591,0.0110,0.0342,0.0649,0.1994
TobinQ,37543.0000,2.0454,1.4013,0.8415,1.2204,1.5870,2.2981,9.3194
Age,38088.0000,2.0993,0.7907,0.0000,1.6094,2.3026,2.7081,3.1355
Growth,36393.0000,0.1656,0.4535,-0.6389,-0.0405,0.0979,0.2612,2.9235
IndepRatio,38086.0000,0.3770,0.0534,0.3333,0.3333,0.3636,0.4286,0.5714
Dual,38088.0000,0.2830,0.4505,0.0000,0.0000,0.0000,1.0000,1.0000
Top1Share,38088.0000,33.5792,14.8759,8.2300,22.0100,31.1100,43.3100,74.0900
SOE,38088.0000,0.3397,0.4736,0.0000,0.0000,0.0000,1.0000,1.0000
CFO,38088.0000,0.0428,0.0721,-0.1921,0.0045,0.0428,0.0842,0.2462
