model,var,coef,se,t,p,N
M1_base,DU_kw_z,-0.00857450412157923,0.0016817608952027741,-5.098527469652801,4.210289115125221e-07,43312
M2_pen_main,DU_kw_z,-0.006660992675349722,0.0012675176221291571,-5.2551479830005725,1.8659880418603336e-07,43312
M2_pen_main,IndPen_mean_z,-0.008733666604428895,0.003541742672691826,-2.465923533002204,0.013859979846337245,43312
M3_interact_mean,DU_kw_z,-0.00865811340716904,0.0017666651940092216,-4.900822994944817,1.1402798107962298e-06,43312
M3_interact_mean,IndPen_mean_z,-0.01133737876632492,0.0031550128563479288,-3.59344930830122,0.00034485027663611056,43312
M3_interact_mean,DU_x_pen_mean,0.0014271919967340748,0.0010981559600279208,1.299625962689114,0.19407704544720028,43312
M4_interact_topq,DU_kw_z,-0.00788070862548769,0.001732638861739012,-4.548385009428908,6.180950713252642e-06,43312
M4_interact_topq,IndPen_topq_z,0.0008442286524251199,0.0008043630707514129,1.0495616757199777,0.2942141920881425,43312
M4_interact_topq,DU_x_pen_topq,0.0021053134486244737,0.0008539953158594385,2.4652517520025756,0.013885807659093308,43312
M5_lag_mean,DU_kw_z_lag,-0.006960911210538617,0.001961917523660916,-3.5480141884607033,0.00041067512680514895,38061
M5_lag_mean,IndPen_mean_z_lag,-0.015754760921127018,0.0035305120541191575,-4.462457762393263,9.259532965710804e-06,38061
M5_lag_mean,DU_x_pen_mean_lag,0.001966304598664939,0.0012399338707905845,1.5858140865296462,0.11317518160537965,38061
M6_lag_topq,DU_kw_z_lag,-0.008761482283834658,0.00205475108490345,-4.26401151370914,2.2466882514615705e-05,38061
M6_lag_topq,IndPen_topq_z_lag,-0.0007125639869492977,0.0009319718571324999,-0.7645767213848297,0.44474825601169066,38061
M6_lag_topq,DU_x_pen_topq_lag,-0.0028248121322372896,0.0014981833089656067,-1.885491658686032,0.05972426342663062,38061
