mv,nonmissing_balance_annual,nonmissing_reg_sample,p01,median,p99,min,max
FinRatio_narrow,76267,43735,0.0,0.0,0.4094770012551155,0.0,0.40947810509541266
FinRatio_trading,76267,43735,0.0,0.0,0.3625971697539227,0.0,0.36260462195617527
FinRatio_realEstate,76267,43735,0.0,0.0,0.24218137465659997,0.0,0.24228592826276887
FinRatio_other,76267,43735,0.0,0.0,0.07943626461138266,0.0,0.07944668501853214
FinRatio_v4,76267,43735,0.0,0.0031596953423594066,0.46421560353246594,0.0,0.46428959685427035
IntangibleRatio,76267,43735,0.0,0.02796674293208001,0.30842750501062816,0.0,0.3084645973657196
DevOutlayRatio,76267,43735,0.0,0.0,0.035440713240522295,0.0,0.03544121699058669
FinRatio_v4_delta,70442,43735,-0.15662366734301966,0.0,0.2095871564530466,-0.15667808333347732,0.20958993171445406
FinRatio_v4_vol3y,64716,40523,0.0,0.0028616856768442695,0.18031867016878922,0.0,0.18032741244104708
Fin_to_RD,76267,43735,0.0,1.8833253024915513,457.217397533769,0.0,457.2174841938157
