mv,expected_sign,coef,se,t_stat,p_value,N,r2,status
FinRatio_narrow,positive,-.0172825150023206,.011722536,-1.4742982,.14072846,37294,.41733608,fail
FinRatio_trading,positive,-.0138933255017197,.014391785,-.96536499,.33460465,37294,.4173125,fail
FinRatio_realEstate,positive,.0894213161193202,.032642175,2.7394412,.0062682028,37294,.41746095,pass
FinRatio_other,positive,-.0264617786818507,.052816622,-.50101233,.61647707,37294,.41729856,fail
FinRatio_v4,positive,-.0051737981749545,.010382924,-.49829876,.6183874,37294,.41729888,fail
IntangibleRatio,negative,.0067135575982712,.023605445,.28440714,.77615958,37294,.41729611,fail
DevOutlayRatio,negative,.2254043177960602,.24374886,.92474002,.35533306,37294,.41732877,fail
FinRatio_v4_delta,positive,-.0034167866335805,.01200533,-.2846058,.77600741,37294,.41729575,fail
FinRatio_v4_vol3y,positive,-.0455141154283874,.025504731,-1.7845362,.074653283,34004,.41952208,fail
Fin_to_RD,positive,-4.62335923070e-06,.000010616775,-.43547678,.6633141,37294,.41729763,fail
