="H2 资产配置机制：江艇 2022 consistent-with 范式"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Base_PD_KW",="Base_PD_LLM",="H2_Fin_KW",="H2_Fin_LLM",="H2_Fin_KWln",="Fin_PD",="Joint_KW",="Joint_LLM"
="DU_kw",="-0.00464***",="",="0.000720**",="",="",="",="-0.00463***",=""
="",="(0.000896)",="",="(0.000346)",="",="",="",="(0.000895)",=""
="Size",="0.00634***",="0.00603**",="-0.00413***",="-0.00399***",="-0.00377***",="0.00535**",="0.00633***",="0.00602**"
="",="(0.00239)",="(0.00241)",="(0.000920)",="(0.000923)",="(0.000926)",="(0.00244)",="(0.00240)",="(0.00241)"
="Lev",="0.0225***",="0.0228***",="-0.0550***",="-0.0550***",="-0.0550***",="0.0223***",="0.0224***",="0.0226***"
="",="(0.00626)",="(0.00625)",="(0.00329)",="(0.00330)",="(0.00330)",="(0.00626)",="(0.00625)",="(0.00624)"
="ROA",="-0.0634***",="-0.0612***",="-0.0217***",="-0.0220***",="-0.0218***",="-0.0618***",="-0.0634***",="-0.0613***"
="",="(0.0147)",="(0.0147)",="(0.00738)",="(0.00741)",="(0.00741)",="(0.0147)",="(0.0147)",="(0.0147)"
="TobinQ",="0.0116***",="0.0117***",="0.00178***",="0.00174***",="0.00166***",="0.0119***",="0.0116***",="0.0117***"
="",="(0.00114)",="(0.00113)",="(0.000511)",="(0.000513)",="(0.000516)",="(0.00114)",="(0.00114)",="(0.00113)"
="Age",="-0.0331***",="-0.0346***",="0.0274***",="0.0277***",="0.0277***",="-0.0346***",="-0.0330***",="-0.0345***"
="",="(0.00384)",="(0.00391)",="(0.00187)",="(0.00187)",="(0.00187)",="(0.00392)",="(0.00385)",="(0.00392)"
="Growth",="0.0129***",="0.0130***",="-0.00196*",="-0.00198*",="-0.00198*",="0.0130***",="0.0129***",="0.0130***"
="",="(0.00203)",="(0.00203)",="(0.00104)",="(0.00104)",="(0.00104)",="(0.00203)",="(0.00203)",="(0.00203)"
="IndepRatio",="-0.0159",="-0.0149",="-0.0141*",="-0.0143*",="-0.0146*",="-0.0141",="-0.0160",="-0.0149"
="",="(0.0155)",="(0.0155)",="(0.00756)",="(0.00756)",="(0.00756)",="(0.0155)",="(0.0154)",="(0.0155)"
="Dual",="-0.00209",="-0.00208",="-0.00106",="-0.00105",="-0.00104",="-0.00216",="-0.00209",="-0.00208"
="",="(0.00159)",="(0.00160)",="(0.000979)",="(0.000978)",="(0.000978)",="(0.00159)",="(0.00159)",="(0.00160)"
="Top1Share",="0.0000121",="0.0000266",="0.0000610",="0.0000584",="0.0000574",="0.0000294",="0.0000122",="0.0000268"
="",="(0.000101)",="(0.000101)",="(0.0000533)",="(0.0000533)",="(0.0000533)",="(0.000101)",="(0.000101)",="(0.000101)"
="SOE",="0.00509",="0.00519",="-0.000220",="-0.000254",="-0.000339",="0.00532",="0.00509",="0.00519"
="",="(0.00397)",="(0.00397)",="(0.00207)",="(0.00207)",="(0.00207)",="(0.00398)",="(0.00397)",="(0.00397)"
="CFO",="0.00472",="0.00513",="-0.0154**",="-0.0156**",="-0.0158***",="0.00584",="0.00468",="0.00508"
="",="(0.0111)",="(0.0111)",="(0.00610)",="(0.00610)",="(0.00611)",="(0.0112)",="(0.0111)",="(0.0111)"
="DU_llm",="",="-0.00357***",="",="0.0000421",="",="",="",="-0.00357***"
="",="",="(0.000762)",="",="(0.000407)",="",="",="",="(0.000762)"
="DU_kw_ln",="",="",="",="",="-0.00104**",="",="",=""
="",="",="",="",="",="(0.000516)",="",="",=""
="FinAsset",="",="",="",="",="",="-0.00343",="-0.00267",="-0.00341"
="",="",="",="",="",="",="(0.0101)",="(0.0101)",="(0.0101)"
="_cons",="0.0170",="0.0252",="0.110***",="0.107***",="0.105***",="0.0354",="0.0173",="0.0256"
="",="(0.0560)",="(0.0564)",="(0.0204)",="(0.0204)",="(0.0203)",="(0.0570)",="(0.0561)",="(0.0566)"
="N",="43721",="43721",="43721",="43721",="43721",="43721",="43721",="43721"
="R-sq",="0.419",="0.418",="0.670",="0.670",="0.670",="0.418",="0.419",="0.418"
="adj. R-sq",="0.344",="0.343",="0.628",="0.628",="0.628",="0.343",="0.344",="0.343"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
