,Base_PD_KW,,,,Base_PD_LLM,,,,H2_Fin_KW,,,,H2_Fin_LLM,,,,H2_Fin_KWln,,,,Fin_PD,,,,Joint_KW,,,,Joint_LLM,,,
,b,se,t,p,b,se,t,p,b,se,t,p,b,se,t,p,b,se,t,p,b,se,t,p,b,se,t,p,b,se,t,p
DU_kw,-0.004637,0.000896,-5.175,0.0000,,,,,0.000720,0.000346,2.082,0.0376,,,,,,,,,,,,,-0.004635,0.000895,-5.180,0.0000,,,,
Size,0.006339,0.002394,2.648,0.0082,0.006029,0.002408,2.504,0.0124,-0.004135,0.000920,-4.494,0.0000,-0.003991,0.000923,-4.324,0.0000,-0.003765,0.000926,-4.068,0.0001,0.005349,0.002438,2.194,0.0284,0.006328,0.002399,2.638,0.0085,0.006015,0.002414,2.492,0.0129
Lev,0.022538,0.006262,3.599,0.0003,0.022752,0.006254,3.638,0.0003,-0.055022,0.003294,-16.706,0.0000,-0.055020,0.003298,-16.681,0.0000,-0.055029,0.003300,-16.673,0.0000,0.022317,0.006262,3.564,0.0004,0.022392,0.006249,3.583,0.0004,0.022565,0.006244,3.614,0.0003
ROA,-0.063363,0.014706,-4.309,0.0000,-0.061179,0.014735,-4.152,0.0000,-0.021739,0.007379,-2.946,0.0033,-0.021993,0.007411,-2.968,0.0031,-0.021822,0.007410,-2.945,0.0033,-0.061848,0.014724,-4.201,0.0000,-0.063421,0.014688,-4.318,0.0000,-0.061254,0.014716,-4.162,0.0000
TobinQ,0.011624,0.001143,10.168,0.0000,0.011698,0.001132,10.330,0.0000,0.001782,0.000511,3.487,0.0005,0.001741,0.000513,3.391,0.0007,0.001659,0.000516,3.213,0.0014,0.011914,0.001136,10.487,0.0000,0.011629,0.001144,10.161,0.0000,0.011704,0.001134,10.323,0.0000
Age,-0.033086,0.003839,-8.617,0.0000,-0.034639,0.003915,-8.849,0.0000,0.027435,0.001867,14.698,0.0000,0.027690,0.001869,14.813,0.0000,0.027698,0.001869,14.818,0.0000,-0.034639,0.003919,-8.839,0.0000,-0.033013,0.003848,-8.579,0.0000,-0.034545,0.003918,-8.816,0.0000
Growth,0.012859,0.002031,6.333,0.0000,0.012976,0.002032,6.384,0.0000,-0.001963,0.001036,-1.895,0.0584,-0.001983,0.001036,-1.914,0.0559,-0.001976,0.001036,-1.908,0.0566,0.012981,0.002031,6.392,0.0000,0.012854,0.002029,6.333,0.0000,0.012969,0.002031,6.384,0.0000
IndepRatio,-0.015918,0.015451,-1.030,0.3032,-0.014898,0.015466,-0.963,0.3356,-0.014054,0.007559,-1.859,0.0633,-0.014334,0.007563,-1.895,0.0583,-0.014586,0.007563,-1.929,0.0541,-0.014097,0.015457,-0.912,0.3619,-0.015955,0.015449,-1.033,0.3020,-0.014947,0.015463,-0.967,0.3340
Dual,-0.002092,0.001590,-1.316,0.1886,-0.002076,0.001596,-1.301,0.1935,-0.001056,0.000979,-1.078,0.2813,-0.001047,0.000978,-1.070,0.2848,-0.001036,0.000978,-1.059,0.2897,-0.002157,0.001589,-1.357,0.1750,-0.002095,0.001591,-1.317,0.1881,-0.002080,0.001596,-1.303,0.1928
Top1Share,0.000012,0.000101,0.120,0.9047,0.000027,0.000101,0.264,0.7917,0.000061,0.000053,1.144,0.2527,0.000058,0.000053,1.094,0.2740,0.000057,0.000053,1.077,0.2819,0.000029,0.000101,0.291,0.7713,0.000012,0.000101,0.121,0.9034,0.000027,0.000101,0.266,0.7903
SOE,0.005088,0.003974,1.280,0.2007,0.005192,0.003970,1.308,0.1913,-0.000220,0.002070,-0.106,0.9155,-0.000254,0.002073,-0.123,0.9025,-0.000339,0.002075,-0.163,0.8704,0.005319,0.003983,1.335,0.1820,0.005088,0.003973,1.281,0.2006,0.005191,0.003969,1.308,0.1912
CFO,0.004722,0.011091,0.426,0.6704,0.005135,0.011121,0.462,0.6444,-0.015408,0.006103,-2.525,0.0117,-0.015581,0.006097,-2.555,0.0107,-0.015834,0.006107,-2.593,0.0097,0.005836,0.011160,0.523,0.6011,0.004681,0.011107,0.421,0.6735,0.005082,0.011138,0.456,0.6483
DU_llm,,,,,-0.003571,0.000762,-4.685,0.0000,,,,,0.000042,0.000407,0.103,0.9176,,,,,,,,,,,,,-0.003570,0.000762,-4.685,0.0000
DU_kw_ln,,,,,,,,,,,,,,,,,-0.001041,0.000516,-2.016,0.0441,,,,,,,,,,,,
FinAsset,,,,,,,,,,,,,,,,,,,,,-0.003430,0.010089,-0.340,0.7340,-0.002669,0.010051,-0.266,0.7907,-0.003405,0.010087,-0.338,0.7357
Constant,0.017027,0.055986,0.304,0.7611,0.025206,0.056433,0.447,0.6552,0.109979,0.020365,5.400,0.0000,0.107306,0.020390,5.263,0.0000,0.105219,0.020295,5.184,0.0000,0.035352,0.056974,0.620,0.5351,0.017321,0.056123,0.309,0.7577,0.025571,0.056573,0.452,0.6514
N,43721.000000,,,,43721.000000,,,,43721.000000,,,,43721.000000,,,,43721.000000,,,,43721.000000,,,,43721.000000,,,,43721.000000,,,
r2,0.418533,,,,0.418042,,,,0.670498,,,,0.670459,,,,0.670499,,,,0.417689,,,,0.418534,,,,0.418044,,,
