="会计信息可比性 De Franco 2011 机制"
="",="(1)",="(2)",="(3)",="(4)"
="",="Comp_med_KW",="Comp_med_LLM",="Comp_top4_KW",="Comp_top4_LLM"
="DU_kw",="0.000445*",="",="0.000185**",=""
="",="(0.000227)",="",="(0.0000825)",=""
="Size",="0.00192**",="0.00189**",="-0.0000850",="-0.0000640"
="",="(0.000761)",="(0.000759)",="(0.000270)",="(0.000269)"
="Lev",="-0.0214***",="-0.0216***",="-0.00256**",="-0.00258**"
="",="(0.00261)",="(0.00261)",="(0.00108)",="(0.00108)"
="ROA",="0.155***",="0.155***",="0.0457***",="0.0457***"
="",="(0.00683)",="(0.00683)",="(0.00323)",="(0.00323)"
="TobinQ",="-0.00756***",="-0.00754***",="-0.00154***",="-0.00154***"
="",="(0.000398)",="(0.000397)",="(0.000155)",="(0.000155)"
="Age",="-0.0127***",="-0.0121***",="-0.000282",="-0.000162"
="",="(0.00253)",="(0.00253)",="(0.00113)",="(0.00113)"
="Growth",="-0.000987*",="-0.000997*",="-0.000385*",="-0.000387*"
="",="(0.000547)",="(0.000547)",="(0.000220)",="(0.000221)"
="IndepRatio",="-0.00658",="-0.00649",="-0.00323",="-0.00324"
="",="(0.00479)",="(0.00479)",="(0.00213)",="(0.00213)"
="Dual",="0.000500",="0.000487",="0.0000286",="0.0000259"
="",="(0.000613)",="(0.000614)",="(0.000248)",="(0.000248)"
="Top1Share",="0.000153***",="0.000152***",="0.0000255",="0.0000256*"
="",="(0.0000386)",="(0.0000385)",="(0.0000155)",="(0.0000155)"
="SOE",="-0.00209*",="-0.00211*",="0.000690",="0.000678"
="",="(0.00124)",="(0.00124)",="(0.000452)",="(0.000451)"
="CFO",="-0.0304***",="-0.0303***",="-0.00819***",="-0.00822***"
="",="(0.00384)",="(0.00384)",="(0.00158)",="(0.00158)"
="DU_llm",="",="0.000589***",="",="0.0000296"
="",="",="(0.000220)",="",="(0.0000813)"
="_cons",="-0.0369**",="-0.0377**",="-0.000861",="-0.00142"
="",="(0.0169)",="(0.0169)",="(0.00651)",="(0.00652)"
="N",="23859",="23859",="23859",="23859"
="R-sq",="0.654",="0.654",="0.628",="0.628"
="adj. R-sq",="0.596",="0.596",="0.565",="0.565"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
