="盈余质量 DD 2002 机制"
="",="(1)",="(2)",="(3)",="(4)"
="",="EarnQual_KW",="EarnQual_LLM",="EarnQualAbs_KW",="EarnQualAbs_LLM"
="DU_kw",="0.0000615",="",="-0.000417",=""
="",="(0.000247)",="",="(0.000294)",=""
="Size",="-0.00715***",="-0.00702***",="0.00626***",="0.00636***"
="",="(0.000774)",="(0.000775)",="(0.000736)",="(0.000735)"
="Lev",="0.00659***",="0.00663***",="-0.000259",="-0.000207"
="",="(0.00240)",="(0.00239)",="(0.00251)",="(0.00251)"
="ROA",="-0.120***",="-0.120***",="-0.382***",="-0.382***"
="",="(0.00532)",="(0.00531)",="(0.0106)",="(0.0106)"
="TobinQ",="0.00433***",="0.00429***",="0.00387***",="0.00385***"
="",="(0.000323)",="(0.000326)",="(0.000352)",="(0.000353)"
="Age",="0.0318***",="0.0317***",="-0.00859***",="-0.00870***"
="",="(0.00187)",="(0.00188)",="(0.00133)",="(0.00133)"
="Growth",="0.00192***",="0.00192***",="0.00475***",="0.00477***"
="",="(0.000503)",="(0.000502)",="(0.000813)",="(0.000814)"
="IndepRatio",="0.00650",="0.00633",="-0.00234",="-0.00244"
="",="(0.00465)",="(0.00464)",="(0.00586)",="(0.00586)"
="Dual",="0.000123",="0.000136",="-0.00145**",="-0.00143**"
="",="(0.000566)",="(0.000565)",="(0.000657)",="(0.000657)"
="Top1Share",="-0.000203***",="-0.000204***",="-0.000149***",="-0.000149***"
="",="(0.0000363)",="(0.0000363)",="(0.0000369)",="(0.0000370)"
="SOE",="0.00428***",="0.00426***",="-0.000670",="-0.000678"
="",="(0.00111)",="(0.00111)",="(0.00138)",="(0.00137)"
="CFO",="0.0242***",="0.0240***",="0.0496***",="0.0494***"
="",="(0.00318)",="(0.00317)",="(0.00523)",="(0.00523)"
="DU_llm",="",="-0.000571**",="",="-0.000929***"
="",="",="(0.000223)",="",="(0.000292)"
="_cons",="0.112***",="0.110***",="-0.0791***",="-0.0804***"
="",="(0.0162)",="(0.0162)",="(0.0168)",="(0.0168)"
="N",="25024",="25024",="33602",="33602"
="R-sq",="0.690",="0.690",="0.476",="0.476"
="adj. R-sq",="0.640",="0.640",="0.400",="0.400"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
