="机制重构 v2：CashFlowVol + SCConc + Amihud (去 analyst)"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="CFV_KW",="CFV_LLM",="SC_KW",="SC_LLM",="Amihud_KW",="Amihud_LLM",="lnAmihud_KW",="lnAmihud_LLM"
="DU_kw",="-0.000490**",="",="-0.277***",="",="-0.00114***",="",="-0.00105***",=""
="",="(0.000200)",="",="(0.0691)",="",="(0.000315)",="",="(0.000274)",=""
="Size",="0.000471",="0.000456",="-1.623***",="-1.596***",="-0.0239***",="-0.0241***",="-0.0225***",="-0.0226***"
="",="(0.000548)",="(0.000540)",="(0.189)",="(0.187)",="(0.000853)",="(0.000856)",="(0.000757)",="(0.000759)"
="Lev",="0.00373*",="0.00376*",="-3.587***",="-3.555***",="-0.0106***",="-0.0105***",="-0.00984***",="-0.00981***"
="",="(0.00211)",="(0.00211)",="(0.713)",="(0.713)",="(0.00239)",="(0.00239)",="(0.00211)",="(0.00211)"
="ROA",="0.00240",="0.00264",="-0.380",="-0.211",="-0.0103**",="-0.00975**",="-0.00971**",="-0.00926**"
="",="(0.00483)",="(0.00482)",="(1.329)",="(1.328)",="(0.00469)",="(0.00469)",="(0.00417)",="(0.00417)"
="TobinQ",="0.00177***",="0.00177***",="1.107***",="1.097***",="0.000531",="0.000563",="0.000523",="0.000554"
="",="(0.000286)",="(0.000285)",="(0.0874)",="(0.0862)",="(0.000404)",="(0.000405)",="(0.000356)",="(0.000356)"
="Age",="0.00405***",="0.00389***",="-4.145***",="-4.233***",="-0.0284***",="-0.0288***",="-0.0250***",="-0.0253***"
="",="(0.000946)",="(0.000955)",="(0.300)",="(0.298)",="(0.00203)",="(0.00206)",="(0.00178)",="(0.00180)"
="Growth",="0.00141**",="0.00142**",="1.499***",="1.506***",="0.00288***",="0.00291***",="0.00277***",="0.00279***"
="",="(0.000659)",="(0.000659)",="(0.195)",="(0.195)",="(0.000708)",="(0.000711)",="(0.000629)",="(0.000632)"
="IndepRatio",="0.0193***",="0.0193***",="0.736",="0.727",="-0.00733",="-0.00702",="-0.00688",="-0.00660"
="",="(0.00465)",="(0.00466)",="(1.615)",="(1.611)",="(0.00566)",="(0.00566)",="(0.00502)",="(0.00502)"
="Dual",="-0.000175",="-0.000171",="0.259",="0.264",="-0.000674",="-0.000675",="-0.000594",="-0.000596"
="",="(0.000579)",="(0.000580)",="(0.167)",="(0.166)",="(0.000645)",="(0.000646)",="(0.000566)",="(0.000567)"
="Top1Share",="0.0000794***",="0.0000809***",="-0.00166",="-0.000910",="0.000419***",="0.000422***",="0.000391***",="0.000394***"
="",="(0.0000285)",="(0.0000285)",="(0.0110)",="(0.0110)",="(0.0000397)",="(0.0000397)",="(0.0000348)",="(0.0000348)"
="SOE",="-0.000776",="-0.000769",="0.415",="0.413",="-0.000775",="-0.000741",="-0.000810",="-0.000778"
="",="(0.00114)",="(0.00114)",="(0.372)",="(0.373)",="(0.00119)",="(0.00119)",="(0.00106)",="(0.00106)"
="CFO",="-0.00476",="-0.00474",="-0.0536",="-0.0846",="-0.00933**",="-0.00918**",="-0.00877***",="-0.00863***"
="",="(0.00585)",="(0.00584)",="(1.093)",="(1.090)",="(0.00372)",="(0.00372)",="(0.00329)",="(0.00329)"
="DU_llm",="",="-0.000477**",="",="-0.460***",="",="-0.000649***",="",="-0.000570***"
="",="",="(0.000233)",="",="(0.0680)",="",="(0.000239)",="",="(0.000211)"
="_cons",="0.00964",="0.0102",="76.73***",="76.56***",="0.642***",="0.645***",="0.601***",="0.604***"
="",="(0.0122)",="(0.0121)",="(4.262)",="(4.212)",="(0.0188)",="(0.0190)",="(0.0167)",="(0.0168)"
="N",="43721",="43721",="42332",="42332",="43721",="43721",="43721",="43721"
="R-sq",="0.447",="0.447",="0.765",="0.765",="0.564",="0.564",="0.585",="0.585"
="adj. R-sq",="0.377",="0.376",="0.733",="0.733",="0.508",="0.508",="0.532",="0.532"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
