y_name,du_measure,expected_sign,coef,se,t_stat,p_value,N,status,baseline_direction_match
PriceDelay,DU_kw,negative,-.0038740321937602,.0010010704,-3.8698902,.00011622535,37294,pass,baseline
SYNCH,DU_kw,positive,.0158505403972776,.0053953729,2.9378026,.0033881476,37245,pass,baseline
PriceDelay,DU_llm,negative,-.004527205970984,.00085238722,-5.3112082,1.3530422e-07,37294,pass,baseline
SYNCH,DU_llm,positive,.0263688926062554,.0047590355,5.5408063,3.9335450e-08,37245,pass,baseline
Amihud_year,DU_kw,negative,-.0014780217002376,.00032008562,-4.6175823,4.4090034e-06,37294,pass,match_delay
Amihud_year,DU_llm,negative,-.0002672517374535,.00022808142,-1.1717383,.24159226,37294,fail,match_delay
Turnover_year,DU_kw,positive,.37637894303269,.15662973,2.4029853,.016450334,37294,pass,mismatch
Turnover_year,DU_llm,positive,-.574560519166266,.14070483,-4.083446,.000048061229,37294,fail,match_delay
ZeroRet_ratio,DU_kw,negative,-.0004597151247017,.00013661859,-3.364953,.00079582393,37294,pass,match_delay
ZeroRet_ratio,DU_llm,negative,.0000953634503706,.00013620719,.70013517,.48401216,37294,fail,mismatch
SPI,DU_kw,positive,-.0032920149321113,.0011380756,-2.8926153,.003910766,37245,fail,match_delay
SPI,DU_llm,positive,-.0054849111869393,.00098095171,-5.5914178,2.9705312e-08,37245,fail,match_delay
NCSKEW,DU_kw,negative,-.0144143919518595,.0044775028,-3.2192926,.0013280945,37294,pass,match_delay
NCSKEW,DU_llm,negative,.0065315195566793,.0050506159,1.2932125,.19624802,37294,fail,mismatch
DUVOL,DU_kw,negative,-.0072781461410254,.0023478642,-3.0999007,.0019921619,37294,pass,match_delay
DUVOL,DU_llm,negative,.0051848642790665,.0025414773,2.0400987,.041613191,37294,fail,mismatch
CS_Spread,DU_kw,negative,,,,,0,unavailable,unavailable
CS_Spread,DU_llm,negative,,,,,0,unavailable,unavailable
