y_name,du_measure,expected_sign,coef,se,t_stat,p_value,N,status,baseline_direction_match
PriceDelay,DU_kw,negative,-.0038740321937602,.0010010704,-3.8698902,.00011622535,37294,pass,baseline
SYNCH,DU_kw,positive,.0158505403972776,.0053953729,2.9378026,.0033881476,37245,pass,baseline
PriceDelay,DU_llm,negative,-.004527205970984,.00085238722,-5.3112082,1.3530422e-07,37294,pass,baseline
SYNCH,DU_llm,positive,.0263688926062554,.0047590355,5.5408063,3.9335450e-08,37245,pass,baseline
CS_Spread,DU_kw,negative,-.0000374470630119,.000019257033,-1.9445915,.052115314,37294,marginal,match_delay
CS_Spread,DU_llm,negative,-.000093283300414,.000015237692,-6.1218781,1.3451430e-09,37294,pass,match_delay
HL_Range_year,DU_kw,negative,-.0000798276942086,.000088413923,-.90288603,.36681241,37294,fail,match_delay
HL_Range_year,DU_llm,negative,-.0003924580837437,.000066670582,-5.8865256,5.4434439e-09,37294,pass,match_delay
PEAD20_signed,DU_kw,negative,.0015927790589886,.0011812784,1.348352,.17787814,23746,fail,mismatch
PEAD20_signed,DU_llm,negative,.003060222181133,.0012285715,2.4908783,.012918688,23746,fail,mismatch
PEAD60_signed,DU_kw,negative,.0044916263304034,.0024423639,1.8390487,.066231199,23744,fail,mismatch
PEAD60_signed,DU_llm,negative,.0049618234714802,.0020265272,2.4484365,.01453416,23744,fail,mismatch
PEAD20_abs,DU_kw,negative,-.001704752102117,.00060180854,-2.832715,.0047118487,37288,pass,match_delay
PEAD20_abs,DU_llm,negative,-.0014800949051944,.0007599658,-1.9475809,.051755741,37288,marginal,match_delay
PEAD60_abs,DU_kw,negative,-.0036667971352872,.001435629,-2.5541396,.010798173,37269,pass,match_delay
PEAD60_abs,DU_llm,negative,-.0036978757193109,.0012808897,-2.8869586,.0039769188,37269,pass,match_delay
EA_CAR02,DU_kw,positive,-.0001967190028371,.00057275983,-.34345812,.7313289,37293,fail,match_delay
EA_CAR02,DU_llm,positive,.0003898326155449,.0005827779,.66892141,.5037061,37293,fail,mismatch
EA_absCAR02,DU_kw,negative,-.0009675788700619,.00042400733,-2.2819862,.022707811,37293,pass,match_delay
EA_absCAR02,DU_llm,negative,-.0008068819827453,.0004345506,-1.8568194,.063642368,37293,marginal,match_delay
SUE_price,DU_kw,mixed,.0009774397944088,.00020481247,4.7723646,2.1179239e-06,23747,informative,mismatch
SUE_price,DU_llm,mixed,.0003896984156985,.00028787233,1.3537196,.1761594,23747,informative,mismatch
SUE_abs_price,DU_kw,negative,-.0009396154313263,.00021657633,-4.3384957,.000015938494,23747,pass,match_delay
SUE_abs_price,DU_llm,negative,-.0005104984297444,.00028472801,-1.7929336,.07331302,23747,marginal,match_delay
AF_Dispersion,DU_kw,negative,-.0006592522657513,.0045409612,-.14517902,.88460177,20729,fail,match_delay
AF_Dispersion,DU_llm,negative,-.0055670579891352,.0053641028,-1.0378358,.2996228,20729,fail,match_delay
AF_Coverage,DU_kw,positive,.0131217676279263,.0073829712,1.7773018,.075849988,23747,marginal,mismatch
AF_Coverage,DU_llm,positive,.0125215786281118,.0074982522,1.669933,.095273912,23747,marginal,mismatch
AF_Error_abs,DU_kw,negative,-.0009396154313263,.00021657633,-4.3384957,.000015938494,23747,pass,match_delay
AF_Error_abs,DU_llm,negative,-.0005104984297444,.00028472801,-1.7929336,.07331302,23747,marginal,match_delay
AF_Optimism,DU_kw,mixed,-.0009774397944088,.00020481247,-4.7723646,2.1179239e-06,23747,informative,match_delay
AF_Optimism,DU_llm,mixed,-.0003896984156985,.00028787233,-1.3537196,.1761594,23747,informative,match_delay
Bench_Accuracy,DU_kw,negative,.0305367159756455,.024876408,1.2275372,.21993375,23998,fail,mismatch
Bench_Accuracy,DU_llm,negative,.0463444065357405,.035141684,1.3187872,.18756735,23998,fail,mismatch
Bench_Optimism,DU_kw,mixed,-.0002079094162946,.00028038764,-.74150711,.45857465,23998,informative,match_delay
Bench_Optimism,DU_llm,mixed,.0006294810327318,.00036398196,1.7294292,.084066629,23998,informative,mismatch
Bench_BuyShare,DU_kw,positive,.0008696909545424,.0012886334,.67489398,.49991214,24071,fail,mismatch
Bench_BuyShare,DU_llm,positive,-.0011977513726111,.0015937873,-.75151265,.45253578,24071,fail,match_delay
NCSKEW_off,DU_kw,negative,-.0138682261162427,.0056517916,-2.4537752,.014313294,37120,pass,match_delay
NCSKEW_off,DU_llm,negative,.0141831202648282,.0064750593,2.1904233,.028733445,37120,fail,mismatch
DUVOL_off,DU_kw,negative,-.0074080553384263,.0035022679,-2.1152167,.03466858,37120,pass,match_delay
DUVOL_off,DU_llm,negative,.0108468718909444,.004116639,2.6348853,.0085521685,37120,fail,mismatch
CRASH_off,DU_kw,negative,.0007136552153425,.0015991576,.44626945,.65550327,37120,fail,mismatch
CRASH_off,DU_llm,negative,.0061457735293385,.0024719804,2.4861739,.013081602,37120,fail,mismatch
