family,y_name,expected,coef,se,t_stat,p_value,N,status
accounting_quali,AuditFee,negative,.0039641910188492,.0017893972,2.2153778,.026967676,37211,fail
accounting_quali,absDA,negative,-.0012061017502893,.00079057575,-1.5255992,.12790196,12530,marginal
analyst_info,Analyst,positive,.0326131594012741,.0085501485,3.8143382,.00014525345,37294,pass
analyst_info,FcstAcc,positive,.1624714490835147,.068185262,2.3827941,.017386217,21137,pass
analyst_info,ForecastDisp,negative,-.0067628254634775,.0018580714,-3.6397016,.00028857647,19126,pass
analyst_info,RatingDisp,negative,.0035359749816244,.0018351621,1.9267917,.054313328,22842,fail
analyst_info,ReportFreq,positive,.0200024195235891,.0082407063,2.4272702,.01540335,24046,pass
capital_allocati,FinAsset,negative,.0008896469370463,.00041122275,2.1634185,.030754652,37294,fail
capital_allocati,InvestIneff,negative,-.0026788450865863,.00079898286,-3.3528192,.00084341911,31309,pass
financing_constr,SA,negative,-.0014769936819509,.0002702169,-5.4659562,5.8669084e-08,37294,pass
investor_base,InstHold,positive,-.2617971042572826,.082984515,-3.1547704,.0016561095,37267,fail
investor_base,InstStable,positive,-.1637949679152254,.041300334,-3.9659476,.000078526245,37267,fail
productivity,TFP,positive,.0074489786315928,.0052555953,1.4173425,.15762788,5951,fail
resilience,CashFlowVol,negative,-.0005103417084009,.00018144249,-2.8126912,.0050128745,37294,pass
resilience,DUVOL,negative,-.0074815301848642,.0023244666,-3.218601,.0013312672,37294,pass
resilience,IdioVol,negative,-.0000957888256793,.000068239853,-1.403708,.16072856,37294,fail
resilience,NCSKEW,negative,-.0160688763168808,.0046523423,-3.4539325,.00057657261,37294,pass
resilience,RetVol,negative,-.0000205299269869,.000067146619,-.30574775,.75986284,37294,fail
supply_chain,CustConc,negative,-.0505728555529559,.080762111,-.62619531,.53133601,36001,fail
supply_chain,CustHHI,negative,.129198808648049,.050963011,2.5351486,.011401442,26308,fail
supply_chain,SCConc,negative,-.2738467854050112,.070981391,-3.8580081,.000121955,36321,pass
supply_chain,SuppConc,negative,-.4070738933609342,.083147764,-4.8957887,1.1506805e-06,34366,pass
