x_name,N,mean,sd,p25,median,p75,positives
DataAsset0,4598,2.4020094e-06,.000061520703,0,0,0,22
DataAsset_ln,4598,2.4001172e-06,.000061456092,0,0,0,22
BookEntry,4598,.0047846888,.069013268,0,0,0,22
NarrativeBookGap_z,4598,-7.4295157e-09,1.3960676,-.55621612,-.31870794,.16065848,1395
NarrativeBookGap_pct,4598,.49484763,.28941235,.24515988,.49521428,.74526864,4471
TalkNoBook,4598,.49717268,.50004637,0,0,1,2286
TalkNoBook_strict,4598,.24945629,.4327454,0,0,0,1147
VerifiedBook,4598,.0028273163,.053103067,0,0,0,13
VerifiedBook_strict,4598,.00065245759,.025537692,0,0,0,3
BookNoTalk,4598,.0019573728,.044203691,0,0,0,9
BookNoTalk_strict,4598,.0013049152,.03610396,0,0,0,6
AnyBook,4598,.0047846888,.069013268,0,0,0,22
