x_name,y_family,y_name,spec,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
AnyBook,analyst_info,Analyst,indFE_controls,.1000677204082061,.28966239,.34546328,.72976226,4593,22,0,0,0
AnyBook,analyst_info,FcstAcc,indFE_controls,3.619657886689335,4.3984303,.82294309,.41062987,2272,10,0,0,0
AnyBook,analyst_info,ForecastDisp,indFE_controls,.0067413786675962,.052410565,.12862633,.89766663,2024,8,0,0,0
AnyBook,analyst_info,RatingDisp,indFE_controls,.0602478285184992,.061600883,.97803515,.32815275,2550,11,0,0,0
AnyBook,analyst_info,ReportFreq,indFE_controls,.0077336950006196,.28482929,.027152035,.97834063,2625,12,0,0,0
AnyBook,audit_accounting,AuditFee,indFE_controls,.0023429087718608,.066537522,.035211843,.97191238,4590,22,0,0,0
AnyBook,audit_accounting,absDA,indFE_controls,,,,,0,0,,,
AnyBook,capital_allocation,InvestIneff,indFE_controls,.0073169629048983,.013358761,.54772764,.58390927,4097,21,0,0,0
AnyBook,financing_constraint,SA,indFE_controls,.0030511422460086,.0102213,.29850823,.76532906,4593,22,0,0,0
AnyBook,investor_attention,InstHold,indFE_controls,-7.662064505144465,3.8942983,-1.9675084,.049185887,4591,22,1,1,0
AnyBook,investor_attention,InstStable,indFE_controls,.4661486191016243,.88390917,.52737164,.59796154,4591,22,0,0,0
AnyBook,operating_resilience,CashFlowVol,indFE_controls,.00622450105196,.0077419397,.80399758,.42144075,4593,22,0,0,0
AnyBook,pricing_efficiency,PriceDelay,indFE_controls,-.0100479018023385,.0094103748,-1.0677472,.28569174,4593,22,0,0,0
AnyBook,productivity,TFP,indFE_controls,,,,,0,0,,,
AnyBook,supply_chain,SCConc,indFE_controls,.9792434880918601,3.8419869,.25487944,.79882789,4571,22,0,0,0
AnyBook,supply_chain,SuppConc,indFE_controls,-.0842096486473898,3.3152256,-.025400881,.97973633,4565,22,0,0,0
AnyBook,valuation,TobinQ,indFE_controls,.1413148503259221,.22590391,.62555295,.53163987,4593,22,0,0,0
BookNoTalk,analyst_info,Analyst,indFE_controls,-.1770752065511582,.50811398,-.34849504,.7274847,4593,9,0,0,0
BookNoTalk,analyst_info,FcstAcc,indFE_controls,7.887441530427147,8.1541014,.96729743,.33350208,2272,5,0,0,0
BookNoTalk,analyst_info,ForecastDisp,indFE_controls,-.0938886548459845,.024977943,-3.7588625,.00017572568,2024,3,1,1,1
BookNoTalk,analyst_info,RatingDisp,indFE_controls,.0759206640298602,.07958696,.95393348,.34021071,2550,5,0,0,0
BookNoTalk,analyst_info,ReportFreq,indFE_controls,-.1738446742042137,.40386087,-.43045685,.6668998,2625,5,0,0,0
BookNoTalk,audit_accounting,AuditFee,indFE_controls,.0658392018258606,.096371517,.68318111,.49452752,4590,9,0,0,0
BookNoTalk,audit_accounting,absDA,indFE_controls,,,,,0,0,,,
BookNoTalk,capital_allocation,InvestIneff,indFE_controls,.0065333273578545,.026022676,.25106284,.80177832,4097,8,0,0,0
BookNoTalk,financing_constraint,SA,indFE_controls,-.0151339000421423,.011511942,-1.3146261,.18870249,4593,9,0,0,0
BookNoTalk,investor_attention,InstHold,indFE_controls,-10.13246753637761,6.3508277,-1.5954562,.11068039,4591,9,0,0,0
BookNoTalk,investor_attention,InstStable,indFE_controls,-.9436396742458437,1.238593,-.76186419,.44618094,4591,9,0,0,0
BookNoTalk,operating_resilience,CashFlowVol,indFE_controls,.0066721206277561,.010598911,.62951005,.52904713,4593,9,0,0,0
BookNoTalk,pricing_efficiency,PriceDelay,indFE_controls,-.0186286984443154,.020125397,-.9256314,.35468712,4593,9,0,0,0
BookNoTalk,productivity,TFP,indFE_controls,,,,,0,0,,,
BookNoTalk,supply_chain,SCConc,indFE_controls,-1.663327152084575,4.4112225,-.37706718,.70614153,4571,9,0,0,0
BookNoTalk,supply_chain,SuppConc,indFE_controls,-1.116070666707693,4.3405538,-.25712633,.79709309,4565,9,0,0,0
BookNoTalk,valuation,TobinQ,indFE_controls,.6886827495678012,.47295249,1.4561352,.14542489,4593,9,0,0,0
BookNoTalk_strict,analyst_info,Analyst,indFE_controls,-.4919348360673807,.69538224,-.70743084,.47933537,4593,6,0,0,0
BookNoTalk_strict,analyst_info,FcstAcc,indFE_controls,13.1353852322296,12.61105,1.0415775,.29772249,2272,3,0,0,0
BookNoTalk_strict,analyst_info,ForecastDisp,indFE_controls,-.110010559626709,.021796908,-5.0470719,4.9045821e-07,2024,1,1,1,1
BookNoTalk_strict,analyst_info,RatingDisp,indFE_controls,.0768098540819438,.129089,.59501469,.55188817,2550,3,0,0,0
BookNoTalk_strict,analyst_info,ReportFreq,indFE_controls,-.1462020080111145,.50345689,-.29039627,.77153677,2625,3,0,0,0
BookNoTalk_strict,audit_accounting,AuditFee,indFE_controls,.1842269707283199,.11481832,1.6045085,.10867211,4590,6,0,0,0
BookNoTalk_strict,audit_accounting,absDA,indFE_controls,,,,,0,0,,,
BookNoTalk_strict,capital_allocation,InvestIneff,indFE_controls,.0071261299169283,.038530987,.18494542,.85328114,4097,5,0,0,0
BookNoTalk_strict,financing_constraint,SA,indFE_controls,-.0208219415609339,.010033943,-2.0751505,.038029179,4593,6,1,1,0
BookNoTalk_strict,investor_attention,InstHold,indFE_controls,-1.679582033646933,6.7729974,-.2479821,.80415958,4591,6,0,0,0
BookNoTalk_strict,investor_attention,InstStable,indFE_controls,-2.019157337997183,1.6365088,-1.2338201,.21733434,4591,6,0,0,0
BookNoTalk_strict,operating_resilience,CashFlowVol,indFE_controls,.019379714236836,.012971128,1.4940655,.13522851,4593,6,0,0,0
BookNoTalk_strict,pricing_efficiency,PriceDelay,indFE_controls,-.0033278824077732,.026967403,-.12340389,.90179276,4593,6,0,0,0
BookNoTalk_strict,productivity,TFP,indFE_controls,,,,,0,0,,,
BookNoTalk_strict,supply_chain,SCConc,indFE_controls,-3.73809074153613,6.4216576,-.58210683,.56052399,4571,6,0,0,0
BookNoTalk_strict,supply_chain,SuppConc,indFE_controls,-4.458351114366477,4.8785748,-.91386342,.36083779,4565,6,0,0,0
BookNoTalk_strict,valuation,TobinQ,indFE_controls,.3280935395833085,.45151189,.72665536,.46747482,4593,6,0,0,0
NarrativeBookGap_pct,analyst_info,Analyst,indFE_controls,-.1334903700356238,.076706842,-1.7402668,.081880443,4593,4471,1,0,0
NarrativeBookGap_pct,analyst_info,FcstAcc,indFE_controls,-.0267471303710237,.69226611,-.038637064,.96918327,2272,2231,0,0,0
NarrativeBookGap_pct,analyst_info,ForecastDisp,indFE_controls,.0652650665150463,.023034617,2.8333471,.0046538603,2024,1988,1,1,1
NarrativeBookGap_pct,analyst_info,RatingDisp,indFE_controls,-.0352968848074428,.018357251,-1.9227762,.054623071,2550,2494,1,0,0
NarrativeBookGap_pct,analyst_info,ReportFreq,indFE_controls,-.2132941914778898,.070471473,-3.026674,.002497389,2625,2567,1,1,1
NarrativeBookGap_pct,audit_accounting,AuditFee,indFE_controls,.0206000156901675,.025639987,.80343318,.42176682,4590,4468,0,0,0
NarrativeBookGap_pct,audit_accounting,absDA,indFE_controls,,,,,0,0,,,
NarrativeBookGap_pct,capital_allocation,InvestIneff,indFE_controls,.0051978570217641,.0034412574,1.5104529,.13100635,4097,3993,0,0,0
NarrativeBookGap_pct,financing_constraint,SA,indFE_controls,.0055249790204736,.0032501908,1.6998938,.089219905,4593,4471,1,0,0
NarrativeBookGap_pct,investor_attention,InstHold,indFE_controls,.9536217336352444,1.1245242,.8480224,.39647055,4591,4469,0,0,0
NarrativeBookGap_pct,investor_attention,InstStable,indFE_controls,.7264045660401254,.27945736,2.5993395,.0093708038,4591,4469,1,1,1
NarrativeBookGap_pct,operating_resilience,CashFlowVol,indFE_controls,.0035818247236736,.0020583149,1.7401733,.081896834,4593,4471,1,0,0
NarrativeBookGap_pct,pricing_efficiency,PriceDelay,indFE_controls,.0042430870072132,.0041931416,1.0119112,.31163484,4593,4471,0,0,0
NarrativeBookGap_pct,productivity,TFP,indFE_controls,,,,,0,0,,,
NarrativeBookGap_pct,supply_chain,SCConc,indFE_controls,8.931396165532425,.93069994,9.5964289,1.3327834e-21,4571,4449,1,1,1
NarrativeBookGap_pct,supply_chain,SuppConc,indFE_controls,9.98164917985248,1.1098795,8.993453,3.4674933e-19,4565,4443,1,1,1
NarrativeBookGap_pct,valuation,TobinQ,indFE_controls,-.0551685454225383,.069247492,-.79668653,.42567506,4593,4471,0,0,0
