exposure,y_family,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
gap,analyst_info,Analyst,2021,.0319643670603594,.033640813,.95016634,.34276554,17451,0,0,0
gap,analyst_info,Analyst,2022,.004589449457581,.022762662,.20162183,.84034419,17451,0,0,0
gap,analyst_info,Analyst,2024,.0175286473602913,.031690575,.55311859,.58057958,17451,0,0,0
gap,analyst_info,ForecastDisp,2021,-.0200769864436169,.020071162,-1.0002902,.31800401,7407,0,0,0
gap,analyst_info,ForecastDisp,2022,-.0126157115968271,.015351242,-.82180393,.41186363,7407,0,0,0
gap,analyst_info,ForecastDisp,2024,.019185069374472,.014240984,1.347173,.17897621,7407,0,0,0
gap,analyst_info,RatingDisp,2021,-.0102951469798638,.01338652,-.76906824,.44247231,9214,0,0,0
gap,analyst_info,RatingDisp,2022,-.0132689211760016,.013127089,-1.0108045,.31294399,9214,0,0,0
gap,analyst_info,RatingDisp,2024,.0027317570366131,.012055867,.2265915,.82089943,9214,0,0,0
gap,analyst_info,ReportFreq,2021,-.0552410180488693,.046028741,-1.2001418,.23105043,9561,0,0,0
gap,analyst_info,ReportFreq,2022,.0212694370643595,.047508411,.44769832,.65470064,9561,0,0,0
gap,analyst_info,ReportFreq,2024,.000699303679876,.045172445,.015480757,.98765916,9561,0,0,0
gap,audit_accounting,AuditFee,2021,.0238909775113846,.0068246112,3.5007091,.00053188438,17431,1,1,1
gap,audit_accounting,AuditFee,2022,.007408487586428,.004327185,1.7120802,.087878734,17431,1,0,0
gap,audit_accounting,AuditFee,2024,-.0423717406293142,.0059802956,-7.0852251,9.3306309e-12,17431,1,1,1
gap,capital_allocation,InvestIneff,2021,-.0025052272670104,.0032266225,-.77642399,.43834412,13698,0,0,0
gap,capital_allocation,InvestIneff,2022,-.0017102892617569,.0024664111,-.69343239,.48877981,13698,0,0,0
gap,capital_allocation,InvestIneff,2024,.0020724949322201,.0027332292,.75825876,.44911882,13698,0,0,0
gap,financing_constraint,SA,2021,.0019646552672085,.0011198608,1.7543746,.080351181,17451,1,0,0
gap,financing_constraint,SA,2022,.0005131655949913,.001168412,.43919918,.66082221,17451,0,0,0
gap,financing_constraint,SA,2024,.0002838356649048,.0010241722,.27713665,.78185928,17451,0,0,0
gap,investor_attention,InstHold,2021,-.3373453197655846,.24459752,-1.3791853,.16882861,17447,0,0,0
gap,investor_attention,InstHold,2022,.348504599905863,.26067924,1.3369097,.18222924,17447,0,0,0
gap,investor_attention,InstHold,2024,-.5528415406252605,.21705183,-2.5470486,.011345245,17447,1,1,0
gap,investor_attention,InstStable,2021,-.3734009804682931,.12069153,-3.0938456,.0021551959,17447,1,1,1
gap,investor_attention,InstStable,2022,.039026313132746,.16224773,.24053535,.81007373,17447,0,0,0
gap,investor_attention,InstStable,2024,-.337155465781144,.1484874,-2.2705998,.023854874,17447,1,1,0
gap,operating_resilience,CashFlowVol,2021,-.0000784810693565,.001147568,-.068389036,.94551992,17451,0,0,0
