x_name,y_family,y_name,spec,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
acct_gap_post,analyst_info,Analyst,acct2024_did,.0072826915254833,.032831579,.22181971,.8245998,17451,3472,0,0,0
acct_gap_post,analyst_info,ForecastDisp,acct2024_did,.0280960355703186,.011384632,2.4678915,.014168313,7407,1629,1,1,0
acct_gap_post,analyst_info,RatingDisp,acct2024_did,.0095121309580943,.01018128,.93427652,.35093057,9214,2027,0,0,0
acct_gap_post,analyst_info,ReportFreq,acct2024_did,.0077045085714212,.045611553,.16891572,.86597908,9561,2082,0,0,0
acct_gap_post,audit_accounting,AuditFee,acct2024_did,-.0513518750968111,.005802175,-8.8504524,6.7263972e-17,17431,3470,1,1,1
acct_gap_post,capital_allocation,InvestIneff,acct2024_did,.0032783596062255,.0024456843,1.3404672,.18149516,13698,3129,0,0,0
acct_gap_post,financing_constraint,SA,acct2024_did,-.0004223034265993,.0010003462,-.42215729,.67320192,17451,3472,0,0,0
acct_gap_post,investor_attention,InstHold,acct2024_did,-.5758956673364359,.2034266,-2.8309753,.0049429014,17447,3471,1,1,1
acct_gap_post,investor_attention,InstStable,acct2024_did,-.2480966703638094,.13998033,-1.7723681,.077312425,17447,3471,1,0,0
acct_gap_post,operating_resilience,CashFlowVol,acct2024_did,.0002879607016023,.001058398,.2720722,.78574705,17451,3472,0,0,0
acct_gap_post,pricing_efficiency,PriceDelay,acct2024_did,.0246291265249033,.0048740311,5.053133,7.4277852e-07,17451,3472,1,1,1
acct_gap_post,productivity,TFP,acct2024_did,,,,,0,0,,,
acct_gap_post,supply_chain,SCConc,acct2024_did,.0872794474390286,.22949623,.38030887,.7039758,17368,3455,0,0,0
acct_gap_post,supply_chain,SuppConc,acct2024_did,-.2082020757246894,.29764101,-.69950736,.48475787,17342,3452,0,0,0
acct_gap_post,valuation,TobinQ,acct2024_did,.043013420333082,.030371072,1.4162629,.15769935,17451,3472,0,0,0
acct_wany_post,analyst_info,Analyst,acct2024_did,.0031946091499567,.030881261,.10344815,.91767401,17451,2028,0,0,0
acct_wany_post,analyst_info,ForecastDisp,acct2024_did,.0241524416607577,.011040484,2.1876254,.029495113,7407,1023,1,1,0
