exposure,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wany17,DU_kw,m2,-.0436113095774967,.05638092,-.77351183,.43972155,47328,0,0,0
wany17,DU_kw,m3,-.0703030470846466,.069891162,-1.0058932,.31513515,47328,0,0,0
wany17,DU_kw,p0,.0735453923512798,.035788104,2.0550234,.040589944,47328,1,1,0
wany17,DU_kw,p1,.0869915721602977,.048820991,1.7818477,.075607635,47328,1,0,0
wany17,DU_kw,p2,.1775440564861283,.045791406,3.8772354,.00012533525,47328,1,1,1
wany17,DU_kw,p3,.2220775664889003,.055105645,4.0300331,.000067934139,47328,1,1,1
wstr17,DU_kw,m2,-.0404444306324947,.082100555,-.49262068,.62257767,47328,0,0,0
wstr17,DU_kw,m3,-.1027291887563025,.081027828,-1.2678261,.20567046,47328,0,0,0
wstr17,DU_kw,p0,.1879654360319614,.048792653,3.8523307,.0001382381,47328,1,1,1
wstr17,DU_kw,p1,.2547248998851369,.090625733,2.8107347,.0052101617,47328,1,1,1
wstr17,DU_kw,p2,.3728366108692459,.096895829,3.8478086,.00014071177,47328,1,1,1
wstr17,DU_kw,p3,.5494613220912326,.13791454,3.984071,.000081843013,47328,1,1,1
wany17,NarrHardGap_direct_v1,m2,.0178205321205195,.0093790069,1.9000447,.058217265,47328,1,0,0
wany17,NarrHardGap_direct_v1,m3,.0356028820780018,.011829445,3.0096831,.0027974765,47328,1,1,1
wany17,NarrHardGap_direct_v1,p0,-.0193897083744468,.011932081,-1.6250064,.10502669,47328,0,0,0
wany17,NarrHardGap_direct_v1,p1,-.0647874197757979,.017485386,-3.7052326,.00024399758,47328,1,1,1
wany17,NarrHardGap_direct_v1,p2,-.0927249755425431,.01572663,-5.896049,8.5018481e-09,47328,1,1,1
wany17,NarrHardGap_direct_v1,p3,-.09637081648386,.015061224,-6.3986049,4.8267496e-10,47328,1,1,1
wstr17,NarrHardGap_direct_v1,m2,.0207529777143937,.013162204,1.57671,.11573093,47328,0,0,0
wstr17,NarrHardGap_direct_v1,m3,.0374943399643481,.010058857,3.7274952,.00022415313,47328,1,1,1
wstr17,NarrHardGap_direct_v1,p0,.0032051275513253,.010889469,.29433277,.76867139,47328,0,0,0
wstr17,NarrHardGap_direct_v1,p1,-.0336206280242993,.012661,-2.6554482,.0082683787,47328,1,1,1
wstr17,NarrHardGap_direct_v1,p2,-.0594504820235197,.012017194,-4.9471183,1.1530658e-06,47328,1,1,1
wstr17,NarrHardGap_direct_v1,p3,-.0586451760330421,.010949877,-5.3557839,1.5130522e-07,47328,1,1,1
wany17,NarrHardWashing_direct_v1,m2,.0317980612292456,.01708357,1.8613241,.063504338,47328,1,0,0
wany17,NarrHardWashing_direct_v1,m3,.091750323222282,.019249465,4.7663827,2.7158335e-06,47328,1,1,1
wany17,NarrHardWashing_direct_v1,p0,-.0049478250470869,.019650515,-.25179112,.80134463,47328,0,0,0
wany17,NarrHardWashing_direct_v1,p1,-.0740366720099221,.023666458,-3.1283376,.0018996886,47328,1,1,1
wany17,NarrHardWashing_direct_v1,p2,-.0968038901482876,.024013722,-4.0311904,.000067614681,47328,1,1,1
wany17,NarrHardWashing_direct_v1,p3,-.1328428785037125,.024677696,-5.3831153,1.3148623e-07,47328,1,1,1
wstr17,NarrHardWashing_direct_v1,m2,.0370783711036135,.019617131,1.8901017,.059538595,47328,1,0,0
wstr17,NarrHardWashing_direct_v1,m3,.0736105994125106,.020314975,3.6234651,.00033200576,47328,1,1,1
wstr17,NarrHardWashing_direct_v1,p0,.0002488311731525,.016353579,.015215701,.98786843,47328,0,0,0
wstr17,NarrHardWashing_direct_v1,p1,-.0608790974719205,.026998689,-2.2548909,.02473384,47328,1,1,0
wstr17,NarrHardWashing_direct_v1,p2,-.0657611032910009,.021651503,-3.0372536,.0025596265,47328,1,1,1
wstr17,NarrHardWashing_direct_v1,p3,-.0799256143866707,.02281874,-3.5026305,.0005180118,47328,1,1,1
wany17,TobinQ,m2,-.012092155537725,.047441218,-.2548871,.79895425,47328,0,0,0
wany17,TobinQ,m3,-.1128176587303267,.054610401,-2.0658638,.039548513,47328,1,1,0
wany17,TobinQ,p0,.0131003248647623,.03702442,.35382929,.72367167,47328,0,0,0
wany17,TobinQ,p1,.0009547232323444,.051605016,.018500589,.98524964,47328,0,0,0
wany17,TobinQ,p2,-.0157592771688724,.079402067,-.19847439,.8427847,47328,0,0,0
wany17,TobinQ,p3,.0402920337297261,.1037094,.38850898,.69786656,47328,0,0,0
wstr17,TobinQ,m2,-.0352817707372477,.040475167,-.87168932,.38395247,47328,0,0,0
wstr17,TobinQ,m3,-.1994416755992467,.068898067,-2.8947353,.0040235706,47328,1,1,1
wstr17,TobinQ,p0,-.017518939939908,.032348223,-.54157352,.5884437,47328,0,0,0
wstr17,TobinQ,p1,.023348018381829,.048337732,.48301849,.62937301,47328,0,0,0
wstr17,TobinQ,p2,.0269894661825164,.059913687,.45047247,.65263802,47328,0,0,0
wstr17,TobinQ,p3,.1258276486464696,.070475467,1.7854106,.075027213,47328,1,0,0
wany17,asset_trade_kw,m2,-.0029322034514548,.0040331315,-.72702897,.46767554,47328,0,0,0
wany17,asset_trade_kw,m3,-.0060566553848752,.0044444771,-1.3627374,.17380776,47328,0,0,0
wany17,asset_trade_kw,p0,.0251972798634854,.0088179391,2.8575022,.0045152921,47328,1,1,1
wany17,asset_trade_kw,p1,.0386274786136845,.016679684,2.31584,.021122096,47328,1,1,0
wany17,asset_trade_kw,p2,.0482952860891489,.02770129,1.7434309,.082102686,47328,1,0,0
wany17,asset_trade_kw,p3,.0727600073075486,.019285066,3.7728682,.00018832275,47328,1,1,1
wstr17,asset_trade_kw,m2,-.0095784751487955,.0052675391,-1.8183966,.069825269,47328,1,0,0
wstr17,asset_trade_kw,m3,-.0162178831816066,.0061616604,-2.6320636,.0088480031,47328,1,1,1
wstr17,asset_trade_kw,p0,.0517932232710039,.011895457,4.3540339,.000017394746,47328,1,1,1
wstr17,asset_trade_kw,p1,.0793240713024389,.022183273,3.5758507,.00039619682,47328,1,1,1
wstr17,asset_trade_kw,p2,.1037429662392386,.049476109,2.0968297,.036698274,47328,1,1,0
wstr17,asset_trade_kw,p3,.1640353886696662,.028621856,5.7311234,2.0949386e-08,47328,1,1,1
wany17,strict_at_kw,m2,-.0016310753554027,.0023432388,-.69607729,.48682463,47328,0,0,0
wany17,strict_at_kw,m3,-.0026637763088492,.0016279876,-1.6362387,.10265394,47328,0,0,0
wany17,strict_at_kw,p0,.0101672737655177,.0034408493,2.9548733,.0033315278,47328,1,1,1
wany17,strict_at_kw,p1,.0120151356412771,.0065211165,1.8424968,.066215619,47328,1,0,0
wany17,strict_at_kw,p2,.0198500688592609,.014597769,1.3598015,.1747344,47328,0,0,0
wany17,strict_at_kw,p3,.0257961195446423,.0061020744,4.2274342,.00002992639,47328,1,1,1
wstr17,strict_at_kw,m2,-.0038639297411789,.0027144041,-1.4234909,.15545046,47328,0,0,0
wstr17,strict_at_kw,m3,-.0070163729956129,.0018116904,-3.8728323,.00012753021,47328,1,1,1
wstr17,strict_at_kw,p0,.019020825527939,.0038154316,4.9852357,9.5932387e-07,47328,1,1,1
wstr17,strict_at_kw,p1,.0219467348548257,.0079013575,2.7775903,.0057599042,47328,1,1,1
wstr17,strict_at_kw,p2,.0371541770186848,.022909924,1.6217504,.10572264,47328,0,0,0
wstr17,strict_at_kw,p3,.0550107525162504,.0093497587,5.8836546,9.1042969e-09,47328,1,1,1
