exposure,y_name,pretrend_p,N,pass_10,pass_05
wany17,DU_kw,.5963741400082228,47328,1,1
wstr17,DU_kw,.3964496925918468,47328,1,1
wany17,NarrHardGap_direct_v1,.0108629054590138,47328,0,0
wstr17,NarrHardGap_direct_v1,.0004004189645426,47328,0,0
wany17,NarrHardWashing_direct_v1,.0000117003247333,47328,0,0
wstr17,NarrHardWashing_direct_v1,.0003759187607893,47328,0,0
wany17,TobinQ,.0046889650390016,47328,0,0
wstr17,TobinQ,.0004488298630239,47328,0,0
wany17,asset_trade_kw,.3302215158883382,47328,1,1
wstr17,asset_trade_kw,.0323391359546448,47328,0,0
wany17,strict_at_kw,.060115153438851,47328,0,1
wstr17,strict_at_kw,.0001001301145295,47328,0,0
