y_name,dropped_city,dropped_city_id,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
DU_kw,上海,6,.0908724934208572,.031221172,2.910605,.0038298564,17762,1,1,1
DU_kw,兰州,54,.1500720147254923,.058847416,2.5501888,.011176523,19109,1,1,0
DU_kw,北京,64,.1539862263861243,.074333131,2.0715692,.039011553,17493,1,1,0
DU_kw,南昌,72,.1597301182038814,.058090393,2.7496822,.0062637841,19073,1,1,1
DU_kw,合肥,82,.1563176434657496,.060076635,2.6019707,.0096484795,18979,1,1,1
DU_kw,呼和浩特,89,.1531066076000432,.058582667,2.6135137,.0093344729,19180,1,1,1
DU_kw,天津,106,.1636306643011531,.05813323,2.8147526,.0051476019,18924,1,1,1
DU_kw,太原,109,.1570662172960444,.057856604,2.7147501,.0069493046,19132,1,1,1
DU_kw,广州,147,.1398683809506888,.062195212,2.2488608,.025120445,18721,1,1,0
DU_kw,德阳,164,.152014033725841,.058340531,2.6056333,.0095478352,19215,1,1,1
DU_kw,无锡,188,.1595890659252629,.058752198,2.7163079,.0069173453,19063,1,1,1
DU_kw,昆明,191,.1516326669547151,.058602847,2.5874624,.010056535,19091,1,1,1
DU_kw,杭州,206,.1548363567252714,.062910207,2.4612279,.014310775,18548,1,1,0
DU_kw,沈阳,239,.1560547524599148,.058813591,2.6533792,.0083192224,19080,1,1,1
DU_kw,深圳,263,.1689837546657968,.063864343,2.6459796,.008499817,17785,1,1,1
DU_kw,福州,303,.1449045657665762,.0595848,2.431905,.015502561,18997,1,1,0
DU_kw,苏州,316,.1559688308235074,.059607364,2.6166034,.009251995,18897,1,1,1
DU_kw,贵阳,341,.1540498075297845,.058798071,2.6199808,.0091625834,19132,1,1,1
DU_kw,郑州,359,.1522427527717349,.059247293,2.5696154,.010579632,19081,1,1,0
DU_kw,重庆,366,.1579121501005141,.059702266,2.6449943,.0085241282,18946,1,1,1
DU_kw,长春,378,.1526513100873857,.058761213,2.5978243,.0097635603,19078,1,1,1
DU_kw,长沙,379,.1603407466930086,.059478816,2.6957624,.007349669,18932,1,1,1
NarrHardGap_direct_v1,上海,6,-.0950289182384559,.015733397,-6.0399494,3.8175259e-09,17762,1,1,1
NarrHardGap_direct_v1,兰州,54,-.0875340750035229,.015472406,-5.6574316,3.1200607e-08,19109,1,1,1
NarrHardGap_direct_v1,北京,64,-.0738838308357078,.013811135,-5.3495841,1.5642351e-07,17493,1,1,1
NarrHardGap_direct_v1,南昌,72,-.0857548270625389,.01575659,-5.4424734,9.6895640e-08,19073,1,1,1
NarrHardGap_direct_v1,合肥,82,-.0876213902125566,.015806295,-5.5434489,5.7146966e-08,18979,1,1,1
NarrHardGap_direct_v1,呼和浩特,89,-.0882109832256142,.015387549,-5.7326207,2.0820604e-08,19180,1,1,1
NarrHardGap_direct_v1,天津,106,-.0889509174498611,.015584105,-5.7077975,2.3806187e-08,18924,1,1,1
NarrHardGap_direct_v1,太原,109,-.0863916482619581,.015570537,-5.5484052,5.5673940e-08,19132,1,1,1
NarrHardGap_direct_v1,广州,147,-.0933406609248539,.014668027,-6.3635454,5.9471422e-10,18721,1,1,1
NarrHardGap_direct_v1,德阳,164,-.0869401609422679,.015449946,-5.6272144,3.6664773e-08,19215,1,1,1
NarrHardGap_direct_v1,无锡,188,-.0880949547540257,.015634494,-5.6346536,3.5238827e-08,19063,1,1,1
NarrHardGap_direct_v1,昆明,191,-.0878767032558755,.015482971,-5.6757002,2.8290950e-08,19091,1,1,1
NarrHardGap_direct_v1,杭州,206,-.0882596330680114,.016327776,-5.4054899,1.1734306e-07,18548,1,1,1
NarrHardGap_direct_v1,沈阳,239,-.0857573048651203,.015727563,-5.4526758,9.1893781e-08,19080,1,1,1
NarrHardGap_direct_v1,深圳,263,-.0826636216851516,.019198572,-4.3057175,.000021444257,17785,1,1,1
NarrHardGap_direct_v1,福州,303,-.0885203557940576,.015627237,-5.6644917,3.0043118e-08,18997,1,1,1
NarrHardGap_direct_v1,苏州,316,-.0870273976448776,.015820131,-5.5010548,7.1396023e-08,18897,1,1,1
NarrHardGap_direct_v1,贵阳,341,-.0866386109331317,.015601503,-5.5532222,5.4277745e-08,19132,1,1,1
NarrHardGap_direct_v1,郑州,359,-.0861390727016252,.015713256,-5.4819365,7.8900761e-08,19081,1,1,1
NarrHardGap_direct_v1,重庆,366,-.0845220743281285,.016016873,-5.2770653,2.2631252e-07,18946,1,1,1
NarrHardGap_direct_v1,长春,378,-.0875280657084136,.015645212,-5.5945597,4.3617234e-08,19078,1,1,1
NarrHardGap_direct_v1,长沙,379,-.0839951828720531,.015997048,-5.2506671,2.5862198e-07,18932,1,1,1
NarrHardWashing_direct_v1,上海,6,-.1235143964133996,.021340847,-5.7876987,1.5440531e-08,17762,1,1,1
NarrHardWashing_direct_v1,兰州,54,-.1225132007334191,.017842922,-6.8662071,2.8685559e-11,19109,1,1,1
NarrHardWashing_direct_v1,北京,64,-.1094160989901846,.017730679,-6.1710043,1.8139795e-09,17493,1,1,1
NarrHardWashing_direct_v1,南昌,72,-.116298365064815,.017802006,-6.5328798,2.1832321e-10,19073,1,1,1
NarrHardWashing_direct_v1,合肥,82,-.1188040609441944,.018429346,-6.4464607,3.6498865e-10,18979,1,1,1
NarrHardWashing_direct_v1,呼和浩特,89,-.1200140699241545,.017932937,-6.6923823,8.3438700e-11,19180,1,1,1
NarrHardWashing_direct_v1,天津,106,-.1183064428222509,.018382575,-6.4357924,3.8875544e-10,18924,1,1,1
NarrHardWashing_direct_v1,太原,109,-.1181144201748025,.01784209,-6.619988,1.2938811e-10,19132,1,1,1
NarrHardWashing_direct_v1,广州,147,-.1232362409852771,.018479511,-6.6688042,9.6291683e-11,18721,1,1,1
NarrHardWashing_direct_v1,德阳,164,-.1194723602999378,.017822752,-6.703362,7.8043565e-11,19215,1,1,1
NarrHardWashing_direct_v1,无锡,188,-.1221434285303555,.018056596,-6.7644768,5.3716427e-11,19063,1,1,1
NarrHardWashing_direct_v1,昆明,191,-.1188901716700387,.017911963,-6.6374731,1.1641747e-10,19091,1,1,1
