exposure,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wany17,DU_kw,m2,-.0443149892847254,.055793356,-.79427004,.42748681,64591,0,0,0
wany17,DU_kw,m3,-.0730419862990252,.068894044,-1.0602075,.2896595,64591,0,0,0
wany17,DU_kw,p0,.0770624200680362,.035401955,2.1767843,.030052973,64591,1,1,0
wany17,DU_kw,p1,.0904307245936126,.049602114,1.8231225,.06899555,64591,1,0,0
wany17,DU_kw,p2,.184865910694491,.045410443,4.0710001,.000055946799,64591,1,1,1
wany17,DU_kw,p3,.2294024402160061,.056783818,4.0399265,.000063580977,64591,1,1,1
wstr17,DU_kw,m2,-.0399309523143929,.082188621,-.48584527,.62733024,64591,0,0,0
wstr17,DU_kw,m3,-.1034029953671142,.08106374,-1.2755764,.20281036,64591,0,0,0
wstr17,DU_kw,p0,.1914224815422335,.048418224,3.9535215,.000090352441,64591,1,1,1
wstr17,DU_kw,p1,.2582076518158856,.091115683,2.8338442,.0048209433,64591,1,1,1
wstr17,DU_kw,p2,.3786514989215697,.09858153,3.8409984,.00014144056,64591,1,1,1
wstr17,DU_kw,p3,.5556978959958883,.13810216,4.0238175,.000067918343,64591,1,1,1
wany17,NarrHardGap_direct_v1,m2,.0184997269595626,.0093733026,1.9736615,.049075257,64591,1,1,0
wany17,NarrHardGap_direct_v1,m3,.0374014463105972,.011898455,3.1433868,.0017885062,64591,1,1,1
wany17,NarrHardGap_direct_v1,p0,-.0199023352078012,.011997105,-1.6589282,.097876795,64591,1,0,0
wany17,NarrHardGap_direct_v1,p1,-.0663536352418146,.017910017,-3.704834,.00023980552,64591,1,1,1
wany17,NarrHardGap_direct_v1,p2,-.0950747315185424,.015875598,-5.9887333,4.5454560e-09,64591,1,1,1
wany17,NarrHardGap_direct_v1,p3,-.0994867308785613,.015936775,-6.2425885,1.0538720e-09,64591,1,1,1
wstr17,NarrHardGap_direct_v1,m2,.0219686849738372,.013248901,1.6581515,.098033518,64591,1,0,0
wstr17,NarrHardGap_direct_v1,m3,.0403944839701495,.010205119,3.9582572,.000088643406,64591,1,1,1
wstr17,NarrHardGap_direct_v1,p0,.002642485142654,.010888233,.24269181,.8083626,64591,0,0,0
wstr17,NarrHardGap_direct_v1,p1,-.0351936160823964,.012990287,-2.7092254,.0070199408,64591,1,1,1
wstr17,NarrHardGap_direct_v1,p2,-.0616604921452999,.011884747,-5.1882043,3.3110891e-07,64591,1,1,1
wstr17,NarrHardGap_direct_v1,p3,-.0623603300687381,.011016137,-5.6608162,2.7952664e-08,64591,1,1,1
wany17,NarrHardWashing_direct_v1,m2,.0313314607860356,.017186994,1.8229752,.069017909,64591,1,0,0
wany17,NarrHardWashing_direct_v1,m3,.0920546616014982,.019071683,4.8267717,1.9459912e-06,64591,1,1,1
wany17,NarrHardWashing_direct_v1,p0,-.005447245705724,.019716196,-.27628279,.78246677,64591,0,0,0
wany17,NarrHardWashing_direct_v1,p1,-.0760899995865674,.023334559,-3.2608287,.0012014135,64591,1,1,1
wany17,NarrHardWashing_direct_v1,p2,-.0993995765151545,.023704674,-4.1932478,.000033558728,64591,1,1,1
wany17,NarrHardWashing_direct_v1,p3,-.1354994386906002,.024525309,-5.5248818,5.7936305e-08,64591,1,1,1
wstr17,NarrHardWashing_direct_v1,m2,.0367768963586533,.019651173,1.8714862,.06197264,64591,1,0,0
wstr17,NarrHardWashing_direct_v1,m3,.07503090926037,.020600511,3.6421869,.00030412068,64591,1,1,1
wstr17,NarrHardWashing_direct_v1,p0,-.0000926432391229,.016510403,-.0056112036,.9955256,64591,0,0,0
wstr17,NarrHardWashing_direct_v1,p1,-.0626327899692052,.026825609,-2.3348134,.020023532,64591,1,1,0
