spec,x_name,y_name,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
baseline,dx_wany17,DU_kw,.1523787311221842,.058264766,2.6152809,.0092861876,19222,1,1,1
city_linear_trend,dx_wany17,DU_kw,.1598267171921851,.060400691,2.6461074,.0084956856,19222,1,1,1
drop_2024_cohort,dx_wany17,DU_kw,.153937570800174,.05877915,2.6189146,.0091927899,18888,1,1,1
industry_year_fe,dx_wany17,DU_kw,-.001240585465401,.05140816,-.024132073,.98076046,19200,0,0,0
province_year_fe,dx_wany17,DU_kw,.1596586340471443,.060678665,2.6312153,.0088696983,19222,1,1,1
no_launch_year,dx_wany17_nolaunch,DU_kw,.1554036889780533,.053318221,2.9146452,.0037811471,19222,1,1,1
baseline,dx_wstr17,DU_kw,.33939435379329,.073537908,4.6152301,5.4503312e-06,19222,1,1,1
city_linear_trend,dx_wstr17,DU_kw,.3398403358967265,.077714965,4.3729072,.000016025206,19222,1,1,1
drop_2024_cohort,dx_wstr17,DU_kw,.3509165196681107,.072587296,4.8344069,1.9794261e-06,18888,1,1,1
industry_year_fe,dx_wstr17,DU_kw,.0513396457385169,.065218262,.78719741,.43167859,19200,0,0,0
province_year_fe,dx_wstr17,DU_kw,.3429586458650905,.078227021,4.3841457,.000015259386,19222,1,1,1
no_launch_year,dx_wstr17_nolaunch,DU_kw,.3441076068889511,.084395997,4.0772977,.000055990022,19222,1,1,1
baseline,dx_wany17,NarrHardGap_direct_v1,-.0868374174889309,.015438405,-5.6247659,3.7079360e-08,19222,1,1,1
city_linear_trend,dx_wany17,NarrHardGap_direct_v1,-.0863094973342738,.016834848,-5.1268358,4.7960287e-07,19222,1,1,1
drop_2024_cohort,dx_wany17,NarrHardGap_direct_v1,-.0881635185056988,.015650203,-5.6333785,3.5609244e-08,18888,1,1,1
industry_year_fe,dx_wany17,NarrHardGap_direct_v1,-.1011300472780485,.017231578,-5.8688793,9.8770823e-09,19200,1,1,1
province_year_fe,dx_wany17,NarrHardGap_direct_v1,-.0858899067588246,.016907876,-5.0798755,6.0462156e-07,19222,1,1,1
no_launch_year,dx_wany17_nolaunch,NarrHardGap_direct_v1,-.0960307603940203,.014143405,-6.7897906,4.5818335e-11,19222,1,1,1
baseline,dx_wstr17,NarrHardGap_direct_v1,-.0559626340955156,.012825881,-4.3632584,.000016711931,19222,1,1,1
city_linear_trend,dx_wstr17,NarrHardGap_direct_v1,-.0547470403123065,.014992482,-3.6516328,.00029877387,19222,1,1,1
drop_2024_cohort,dx_wstr17,NarrHardGap_direct_v1,-.0558691324662213,.013061156,-4.2775025,.000024232833,18888,1,1,1
industry_year_fe,dx_wstr17,NarrHardGap_direct_v1,-.0808572684172165,.014571007,-5.5491886,5.5349481e-08,19200,1,1,1
province_year_fe,dx_wstr17,NarrHardGap_direct_v1,-.0547534861326644,.015221224,-3.5971801,.00036612176,19222,1,1,1
no_launch_year,dx_wstr17_nolaunch,NarrHardGap_direct_v1,-.0674011672913924,.010932013,-6.1654854,1.8674664e-09,19222,1,1,1
baseline,dx_wany17,NarrHardWashing_direct_v1,-.1194175694451237,.01781128,-6.7046037,7.7191045e-11,19222,1,1,1
city_linear_trend,dx_wany17,NarrHardWashing_direct_v1,-.1176015434146564,.018334663,-6.414165,4.4039955e-10,19222,1,1,1
drop_2024_cohort,dx_wany17,NarrHardWashing_direct_v1,-.1207303855825548,.017947128,-6.7270031,6.8036188e-11,18888,1,1,1
