exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
gap,analyst_info,Analyst,m2,.0728298446533502,.035238203,2.0667865,.039432921,23526,1,1,0
gap,analyst_info,Analyst,m3,.1432802649568422,.060583204,2.3650162,.018532295,23526,1,1,0
gap,analyst_info,Analyst,p0,-.0791248600302672,.026288116,-3.0099099,.0027881053,23526,1,1,1
gap,analyst_info,Analyst,p1,-.0558537139090171,.055678677,-1.0031437,.31643155,23526,0,0,0
gap,analyst_info,Analyst,p2,-.0839353764485517,.058593053,-1.4325142,.15282099,23526,0,0,0
gap,analyst_info,Analyst,p3,-.1047861060661777,.046527628,-2.2521265,.024886036,23526,1,1,0
gap,analyst_info,ForecastDisp,m2,.0231369354508548,.027695961,.83539021,.40416729,10411,0,0,0
gap,analyst_info,ForecastDisp,m3,.0274813706730109,.019569591,1.4042895,.16127403,10411,0,0,0
gap,analyst_info,ForecastDisp,p0,.0083375348044915,.014434202,.57762355,.56395447,10411,0,0,0
gap,analyst_info,ForecastDisp,p1,.0243800471454809,.02397313,1.0169739,.30999079,10411,0,0,0
gap,analyst_info,ForecastDisp,p2,.055157471397335,.016958641,3.2524703,.0012754282,10411,1,1,1
gap,analyst_info,ForecastDisp,p3,.0599185760790887,.010005699,5.9884443,6.0881375e-09,10411,1,1,1
gap,analyst_info,RatingDisp,m2,.0303708764863952,.018610151,1.6319522,.10368253,12720,0,0,0
gap,analyst_info,RatingDisp,m3,.0221172181240939,.010612259,2.0841198,.037949704,12720,1,1,0
gap,analyst_info,RatingDisp,p0,.0217197279308279,.023646535,.91851628,.359047,12720,0,0,0
gap,analyst_info,RatingDisp,p1,.0203973702792573,.022951735,.8887071,.37483439,12720,0,0,0
gap,analyst_info,RatingDisp,p2,.0417239471360429,.01852121,2.2527657,.02495748,12720,1,1,0
gap,analyst_info,RatingDisp,p3,.0324926264573856,.013093385,2.4816065,.013597086,12720,1,1,0
gap,analyst_info,ReportFreq,m2,-.0721701789766571,.030944666,-2.3322332,.020298772,13349,1,1,0
gap,analyst_info,ReportFreq,m3,-.0592852890847429,.0435571,-1.3610935,.17442712,13349,0,0,0
gap,analyst_info,ReportFreq,p0,-.0126932478236243,.055310845,-.22948931,.81863296,13349,0,0,0
gap,analyst_info,ReportFreq,p1,.0369626311502055,.054437369,.6789937,.49762508,13349,0,0,0
gap,analyst_info,ReportFreq,p2,.059763525789897,.030677525,1.9481208,.052261062,13349,1,0,0
gap,analyst_info,ReportFreq,p3,-.0347290574530493,.054633986,-.63566768,.52544039,13349,0,0,0
gap,audit_accounting,AuditFee,m2,.0020202668585677,.0070587872,.28620595,.77487677,23497,0,0,0
gap,audit_accounting,AuditFee,m3,.0015206917653858,.012441008,.1222322,.90277994,23497,0,0,0
gap,audit_accounting,AuditFee,p0,-.004473063573278,.011415093,-.39185518,.69538546,23497,0,0,0
gap,audit_accounting,AuditFee,p1,-.0193732223714577,.012646996,-1.5318438,.12639526,23497,0,0,0
gap,audit_accounting,AuditFee,p2,-.0327318548163059,.018330965,-1.7856045,.074962795,23497,1,0,0
gap,audit_accounting,AuditFee,p3,-.0347384680847063,.027157743,-1.2791369,.20163146,23497,0,0,0
gap,first_stage,DU_kw,m2,-.0518217130440407,.10094167,-.51338273,.60798275,23526,0,0,0
gap,first_stage,DU_kw,m3,-.1454659384955991,.090852492,-1.6011221,.11018303,23526,0,0,0
gap,first_stage,DU_kw,p0,.0647528498706191,.027546214,2.3506987,.01924995,23526,1,1,0
gap,first_stage,DU_kw,p1,.1039880573513105,.064625084,1.6090975,.10842764,23526,0,0,0
gap,first_stage,DU_kw,p2,.196639104719257,.070020773,2.8082969,.005238161,23526,1,1,1
gap,first_stage,DU_kw,p3,.3166210702205046,.10514509,3.0112779,.00277587,23526,1,1,1
gap,first_stage,HardCap_direct_v1,m2,-.0179710987000804,.044993691,-.39941376,.68981332,23526,0,0,0
gap,first_stage,HardCap_direct_v1,m3,.0209388161278219,.052437831,.39930746,.68989158,23526,0,0,0
gap,first_stage,HardCap_direct_v1,p0,-.0554835209950144,.0450195,-1.2324331,.21855132,23526,0,0,0
gap,first_stage,HardCap_direct_v1,p1,-.0047258106831754,.049940348,-.094629109,.92465943,23526,0,0,0
gap,first_stage,HardCap_direct_v1,p2,.0502544081791918,.073113665,.68734628,.49228492,23526,0,0,0
gap,first_stage,HardCap_direct_v1,p3,.0275973652003972,.092432782,.29856685,.76543421,23526,0,0,0
gap,first_stage,asset_trade_d,m2,-.0422335908086643,.015170517,-2.7839255,.0056397072,23526,1,1,1
