exposure,y_name,event_time,coef,se,t_stat,p_value,N,pretrend_p,sig_10,sig_05,sig_01
wany17,asset_trade_noinst_kw,m2,-.0012299752355284,.00239452,-.51366258,.60779959,19222,.39620084,0,0,0
wany17,asset_trade_noinst_kw,m3,-.0030161739171064,.0028373683,-1.0630181,.28847846,19222,.39620084,0,0,0
wany17,asset_trade_noinst_kw,p0,.0110876034374115,.0038290252,2.8956726,.0040118471,19222,.39620084,1,1,1
wany17,asset_trade_noinst_kw,p1,.01297025128996,.0069617494,1.8630736,.063257135,19222,.39620084,1,0,0
wany17,asset_trade_noinst_kw,p2,.0207901540848795,.014702944,1.414013,.1582128,19222,.39620084,0,0,0
wany17,asset_trade_noinst_kw,p3,.0281319268863745,.0064498684,4.3616281,.000016830731,19222,.39620084,1,1,1
wstr17,asset_trade_noinst_kw,m2,-.0036753899003724,.0024845027,-1.4793261,.13991804,19222,.021256642,0,0,0
wstr17,asset_trade_noinst_kw,m3,-.0076731390431274,.0029127898,-2.6342921,.008791239,19222,.021256642,1,1,1
wstr17,asset_trade_noinst_kw,p0,.0216133234397347,.0052913353,4.0846634,.000054318934,19222,.021256642,1,1,1
wstr17,asset_trade_noinst_kw,p1,.0251902054140948,.0087730438,2.8713188,.0043267766,19222,.021256642,1,1,1
wstr17,asset_trade_noinst_kw,p2,.040027435955006,.023406945,1.7100666,.088105708,19222,.021256642,1,0,0
wstr17,asset_trade_noinst_kw,p3,.0618501643239469,.010162698,6.0859985,2.9362806e-09,19222,.021256642,1,1,1
wany17,asset_trade_noinst_share,m2,-.0003068019342002,.00035375735,-.8672666,.38636732,19222,.67953825,0,0,0
wany17,asset_trade_noinst_share,m3,-.0003398649327524,.00047644731,-.71333158,.47609767,19222,.67953825,0,0,0
wany17,asset_trade_noinst_share,p0,.0006573705074883,.00050873676,1.2921624,.19712065,19222,.67953825,0,0,0
wany17,asset_trade_noinst_share,p1,.001015258503664,.00076943601,1.319484,.18783668,19222,.67953825,0,0,0
wany17,asset_trade_noinst_share,p2,.0012919423567896,.0012387716,1.0429221,.2976765,19222,.67953825,0,0,0
wany17,asset_trade_noinst_share,p3,.0013119292047601,.00069112837,1.8982425,.058454923,19222,.67953825,1,0,0
wstr17,asset_trade_noinst_share,m2,-.0001206656010456,.0003456226,-.34912533,.72719711,19222,.46396875,0,0,0
wstr17,asset_trade_noinst_share,m3,-.0005686431962149,.00051425543,-1.1057602,.26956064,19222,.46396875,0,0,0
wstr17,asset_trade_noinst_share,p0,.001715360205695,.00060979772,2.8129985,.0051744101,19222,.46396875,1,1,1
wstr17,asset_trade_noinst_share,p1,.0019103482046748,.00081655011,2.3395357,.019847753,19222,.46396875,1,1,0
wstr17,asset_trade_noinst_share,p2,.0023103321818082,.001575107,1.466778,.14329986,19222,.46396875,0,0,0
wstr17,asset_trade_noinst_share,p3,.0030748400762537,.00067582802,4.5497375,7.3288911e-06,19222,.46396875,1,1,1
wany17,inst_term_kw,m2,.0001266019797811,.00089230167,.14188249,.88725132,19222,.78694254,0,0,0
wany17,inst_term_kw,m3,-.0002377668751564,.0017965242,-.13234828,.89478195,19222,.78694254,0,0,0
wany17,inst_term_kw,p0,.0033524387131103,.0019482847,1.720713,.086152717,19222,.78694254,1,0,0
wany17,inst_term_kw,p1,.0058169612820163,.0030626417,1.8993281,.05831166,19222,.78694254,1,0,0
wany17,inst_term_kw,p2,.0039783065339791,.003076805,1.2929993,.19683136,19222,.78694254,0,0,0
wany17,inst_term_kw,p3,.0070144252382063,.0023018189,3.0473402,.0024773558,19222,.78694254,1,1,1
wstr17,inst_term_kw,m2,-.0003184791844295,.0014109357,-.22572197,.82154435,19222,.86994559,0,0,0
wstr17,inst_term_kw,m3,-.0010915082471255,.0028114968,-.38823029,.69807255,19222,.86994559,0,0,0
wstr17,inst_term_kw,p0,.0073569276729375,.0025497009,2.8854082,.0041419426,19222,.86994559,1,1,1
wstr17,inst_term_kw,p1,.0118707276981885,.0040936545,2.8997872,.003960751,19222,.86994559,1,1,1
wstr17,inst_term_kw,p2,.0092434400493505,.0052432823,1.7629111,.078754582,19222,.86994559,1,0,0
wstr17,inst_term_kw,p3,.0160939963693545,.0031857206,5.0519171,6.9346464e-07,19222,.86994559,1,1,1
wany17,product_tx_noinst_kw,m2,.0019297835982766,.0014710784,1.3118156,.19040908,19222,.41412419,0,0,0
wany17,product_tx_noinst_kw,m3,.0017008827496725,.0015982831,1.0641937,.2879464,19222,.41412419,0,0,0
wany17,product_tx_noinst_kw,p0,.0049178231444667,.0025903757,1.8984981,.058421176,19222,.41412419,1,0,0
wany17,product_tx_noinst_kw,p1,.004677808688102,.0031089887,1.5046078,.13329212,19222,.41412419,0,0,0
wany17,product_tx_noinst_kw,p2,.0053344294960248,.0035008197,1.5237659,.12843551,19222,.41412419,0,0,0
wany17,product_tx_noinst_kw,p3,.0096954597869131,.002338622,4.1458006,.000042167492,19222,.41412419,1,1,1
wstr17,product_tx_noinst_kw,m2,.0020767798436686,.0014422784,1.43993,.15074669,19222,.3397083,0,0,0
wstr17,product_tx_noinst_kw,m3,.0012485930997479,.0015502154,.80543202,.42109624,19222,.3397083,0,0,0
wstr17,product_tx_noinst_kw,p0,.0080142931317349,.0035662679,2.2472494,.025222555,19222,.3397083,1,1,0
wstr17,product_tx_noinst_kw,p1,.0094915046501127,.0033737165,2.8133676,.0051686037,19222,.3397083,1,1,1
wstr17,product_tx_noinst_kw,p2,.0101774859998702,.0040105567,2.537674,.011575619,19222,.3397083,1,1,0
wstr17,product_tx_noinst_kw,p3,.0203532280941395,.0035739883,5.6948218,2.5480778e-08,19222,.3397083,1,1,1
wany17,strict_noinst_kw,m2,-.0015532041844623,.0024798901,-.62631977,.53149778,19222,.54809552,0,0,0
wany17,strict_noinst_kw,m3,-.0026426387084132,.0027132086,-.9739902,.33070821,19222,.54809552,0,0,0
wany17,strict_noinst_kw,p0,.0101209857692699,.0034688408,2.9176853,.0037453265,19222,.54809552,1,1,1
wany17,strict_noinst_kw,p1,.0122031693830605,.0065210219,1.8713585,.062097345,19222,.54809552,1,0,0
wany17,strict_noinst_kw,p2,.0198504787256077,.014480418,1.3708498,.17126641,19222,.54809552,0,0,0
wany17,strict_noinst_kw,p3,.0259742669951409,.0061638346,4.2139788,.000031678519,19222,.54809552,1,1,1
wstr17,strict_noinst_kw,m2,-.0038822020269478,.002841596,-1.3662047,.17271814,19222,.043398138,0,0,0
wstr17,strict_noinst_kw,m3,-.0067166559036929,.0029230537,-2.2978215,.022138473,19222,.043398138,1,1,0
wstr17,strict_noinst_kw,p0,.0189819452346948,.003909003,4.8559556,1.7820207e-06,19222,.043398138,1,1,1
wstr17,strict_noinst_kw,p1,.0220255360444823,.0080509558,2.7357664,.0065283403,19222,.043398138,1,1,1
wstr17,strict_noinst_kw,p2,.0369433341017283,.022845753,1.6170768,.10672797,19222,.043398138,0,0,0
wstr17,strict_noinst_kw,p3,.0550443122979231,.0093579087,5.8821168,9.1818988e-09,19222,.043398138,1,1,1
wany17,strict_noinst_share,m2,-.000412086706828,.00036647505,-1.1244605,.26155871,19222,.50956935,0,0,0
wany17,strict_noinst_share,m3,-.0002993923238522,.00049421476,-.60579395,.54502916,19222,.50956935,0,0,0
wany17,strict_noinst_share,p0,.0005115505881902,.00053468556,.95673162,.33933774,19222,.50956935,0,0,0
wany17,strict_noinst_share,p1,.0009601967146055,.00073157542,1.3125055,.19017661,19222,.50956935,0,0,0
wany17,strict_noinst_share,p2,.0012203641683941,.0012273105,.99434018,.32071781,19222,.50956935,0,0,0
wany17,strict_noinst_share,p3,.0010872371090794,.00063492532,1.7123859,.087677225,19222,.50956935,1,0,0
wstr17,strict_noinst_share,m2,-.0002355945501952,.00039581774,-.59520966,.55207318,19222,.69331121,0,0,0
wstr17,strict_noinst_share,m3,-.0004488913166163,.00052502233,-.85499471,.39311647,19222,.69331121,0,0,0
wstr17,strict_noinst_share,p0,.001420049411499,.00053136877,2.6724367,.0078689326,19222,.69331121,1,1,1
wstr17,strict_noinst_share,p1,.0016868335319949,.00075844984,2.2240541,.026757769,19222,.69331121,1,1,0
wstr17,strict_noinst_share,p2,.0021021535396501,.0015634521,1.3445591,.17960493,19222,.69331121,0,0,0
wstr17,strict_noinst_share,p3,.0025015396555943,.0006622065,3.7775826,.00018492693,19222,.69331121,1,1,1
wany17,verif_noinst_kw,m2,.0013180371391031,.001950415,.67577267,.49961409,19222,.78483325,0,0,0
wany17,verif_noinst_kw,m3,.001279707062272,.0022666866,.56457168,.5727129,19222,.78483325,0,0,0
wany17,verif_noinst_kw,p0,.0067999750194329,.0023702718,2.8688588,.0043598078,19222,.78483325,1,1,1
wany17,verif_noinst_kw,p1,.0060184668199653,.0043385592,1.3872039,.16622835,19222,.78483325,0,0,0
wany17,verif_noinst_kw,p2,.0129326343345915,.010144157,1.2748849,.20316312,19222,.78483325,0,0,0
wany17,verif_noinst_kw,p3,.0195722006952985,.0067019123,2.9203904,.0037137123,19222,.78483325,1,1,1
wstr17,verif_noinst_kw,m2,.000981541394999,.0020690889,.47438341,.63551098,19222,.60851651,0,0,0
wstr17,verif_noinst_kw,m3,.0000101124348938,.0026896107,.0037598135,.99700218,19222,.60851651,0,0,0
wstr17,verif_noinst_kw,p0,.0118984981149432,.0030327793,3.9232986,.00010441778,19222,.60851651,1,1,1
wstr17,verif_noinst_kw,p1,.0132948652593977,.0041906787,3.1724849,.0016398773,19222,.60851651,1,1,1
wstr17,verif_noinst_kw,p2,.023562840979633,.014020153,1.6806407,.093690589,19222,.60851651,1,0,0
wstr17,verif_noinst_kw,p3,.0401077457041083,.010823417,3.7056453,.00024361516,19222,.60851651,1,1,1
wany17,verif_noinst_share,m2,.0001443436071891,.00028618774,.50436682,.61430877,19222,.58586186,0,0,0
wany17,verif_noinst_share,m3,.0002774545514206,.00031837245,.87147784,.38406771,19222,.58586186,0,0,0
wany17,verif_noinst_share,p0,.0007028627788164,.00026957184,2.6073301,.0095004896,19222,.58586186,1,1,1
wany17,verif_noinst_share,p1,.0006929940492632,.00058392441,1.1867872,.23608552,19222,.58586186,0,0,0
wany17,verif_noinst_share,p2,.0011309857160632,.00096303876,1.1743927,.24100548,19222,.58586186,0,0,0
wany17,verif_noinst_share,p3,.0012233599598255,.0005386133,2.2713139,.023711285,19222,.58586186,1,1,0
wstr17,verif_noinst_share,m2,.0001406442662988,.00032904485,.42743191,.66931748,19222,.80146176,0,0,0
wstr17,verif_noinst_share,m3,.0000392190330565,.00045761105,.085703857,.93174893,19222,.80146176,0,0,0
wstr17,verif_noinst_share,p0,.0011252322496039,.00030328112,3.7101955,.00023943534,19222,.80146176,1,1,1
wstr17,verif_noinst_share,p1,.0011144756201086,.00041524559,2.6838951,.0076094042,19222,.80146176,1,1,1
wstr17,verif_noinst_share,p2,.001550757469946,.00099028135,1.5659767,.11822297,19222,.80146176,0,0,0
wstr17,verif_noinst_share,p3,.0027070999920636,.00082239253,3.2917371,.0010931373,19222,.80146176,1,1,1
