exposure,y_name,pretrend_p
wany17,asset_trade_noinst_kw,.39620084
wstr17,asset_trade_noinst_kw,.021256642
wany17,asset_trade_noinst_share,.67953825
wstr17,asset_trade_noinst_share,.46396875
wany17,inst_term_kw,.78694254
wstr17,inst_term_kw,.86994559
wany17,product_tx_noinst_kw,.41412419
wstr17,product_tx_noinst_kw,.3397083
wany17,strict_noinst_kw,.54809552
wstr17,strict_noinst_kw,.043398138
wany17,strict_noinst_share,.50956935
wstr17,strict_noinst_share,.69331121
wany17,verif_noinst_kw,.78483325
wstr17,verif_noinst_kw,.60851651
wany17,verif_noinst_share,.58586186
wstr17,verif_noinst_share,.80146176
