spec,exposure,y_name,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
add_prewash_x_2024,dx_wany17,DU_kw,.1304811209131526,.063183174,2.0651245,.039618805,19222,1937,1,1,0
baseline,dx_wany17,DU_kw,.1523787311221842,.058264766,2.6152809,.0092861876,19222,1937,1,1,1
cityyear_prewashyear_fe,dx_wany17,DU_kw,.0545655979933496,.071002468,.76850283,.44298378,18296,1937,0,0,0
drop_year_2024,dx_wany17,DU_kw,.1572757153378523,.065272667,2.4095187,.016470615,16529,1937,1,1,0
industry_2024_fe,dx_wany17,DU_kw,.1129351465102574,.060534328,1.8656381,.062896229,19218,1937,1,0,0
industry_year_fe,dx_wany17,DU_kw,-.001240585465403,.05140816,-.024132073,.98076046,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,DU_kw,.298628417139939,.073620357,4.0563297,.000061018909,19222,1129,1,1,1
baseline,dx_wstr17,DU_kw,.33939435379329,.073537908,4.6152301,5.4503312e-06,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,DU_kw,.1522571751350775,.09803845,1.5530354,.12180164,18296,1129,0,0,0
drop_year_2024,dx_wstr17,DU_kw,.3400527754887308,.066423535,5.119462,4.9805925e-07,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,DU_kw,.2804820427977304,.071644291,3.9149251,.00010795588,19218,1129,1,1,1
industry_year_fe,dx_wstr17,DU_kw,.0513396457385177,.065218262,.78719741,.43167859,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,acct_kw,.0014746851924871,.00066803611,2.2074931,.027902875,19222,1937,1,1,0
baseline,dx_wany17,acct_kw,.0014675585040329,.00068415585,2.1450646,.03260896,19222,1937,1,1,0
cityyear_prewashyear_fe,dx_wany17,acct_kw,.0008258468297988,.00048843998,1.6907846,.092244469,18296,1937,1,0,0
drop_year_2024,dx_wany17,acct_kw,.0017454433482929,.00064489595,2.7065504,.0071197208,16529,1937,1,1,1
industry_2024_fe,dx_wany17,acct_kw,.0014244760393748,.00066040346,2.1569786,.031661462,19218,1937,1,1,0
industry_year_fe,dx_wany17,acct_kw,.0009341463738777,.00050798198,1.8389361,.066739,19200,1937,1,0,0
add_prewash_x_2024,dx_wstr17,acct_kw,.0026016879047568,.0010443663,2.4911642,.013177263,19222,1129,1,1,0
baseline,dx_wstr17,acct_kw,.0026160244478679,.0010789969,2.4244967,.015815854,19222,1129,1,1,0
cityyear_prewashyear_fe,dx_wstr17,acct_kw,.0013774659606036,.00070680631,1.9488591,.052538916,18296,1129,1,0,0
drop_year_2024,dx_wstr17,acct_kw,.0030043114161368,.00099811994,3.0099704,.002795408,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,acct_kw,.002552654219142,.0010149304,2.5151029,.012329857,19218,1129,1,1,0
industry_year_fe,dx_wstr17,acct_kw,.0015499554072763,.00069405785,2.2331789,.026144421,19200,1129,1,1,0
add_prewash_x_2024,dx_wany17,asset_trade_kw,.0397603188790487,.015676964,2.5362256,.011622754,19222,1937,1,1,0
baseline,dx_wany17,asset_trade_kw,.043810548425742,.016347781,2.679908,.0076988232,19222,1937,1,1,1
cityyear_prewashyear_fe,dx_wany17,asset_trade_kw,.0245875560064291,.014909888,1.6490772,.10050894,18296,1937,1,0,0
drop_year_2024,dx_wany17,asset_trade_kw,.0410886861615554,.015213307,2.7008386,.0072406479,16529,1937,1,1,1
industry_2024_fe,dx_wany17,asset_trade_kw,.0359944485769955,.016021833,2.2465875,.025265273,19218,1937,1,1,0
industry_year_fe,dx_wany17,asset_trade_kw,.0134710551243768,.01487702,.90549415,.36580262,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,asset_trade_kw,.0841388429088985,.024637921,3.4150138,.00070969842,19222,1129,1,1,1
baseline,dx_wstr17,asset_trade_kw,.0955796517440098,.026922802,3.5501378,.00043553335,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,asset_trade_kw,.0495517971981916,.023704356,2.090409,.037689175,18296,1129,1,1,0
drop_year_2024,dx_wstr17,asset_trade_kw,.0878883604633545,.023034818,3.8154569,.00015973832,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,asset_trade_kw,.0793436918650636,.02447314,3.2420723,.0012961914,19218,1129,1,1,1
industry_year_fe,dx_wstr17,asset_trade_kw,.0327200643345839,.020856591,1.5688117,.11756069,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,asset_trade_noinst_kw,.0166656934279649,.0060865921,2.7380993,.0064831544,19222,1937,1,1,1
baseline,dx_wany17,asset_trade_noinst_kw,.0174800861061076,.0063114101,2.7696006,.0059000435,19222,1937,1,1,1
cityyear_prewashyear_fe,dx_wany17,asset_trade_noinst_kw,.0124900188418231,.0055085439,2.2673903,.024303561,18296,1937,1,1,0
drop_year_2024,dx_wany17,asset_trade_noinst_kw,.0173190650559573,.0060714064,2.8525624,.0045851767,16529,1937,1,1,1
industry_2024_fe,dx_wany17,asset_trade_noinst_kw,.0147962376241859,.0058091697,2.5470486,.011274635,19218,1937,1,1,0
industry_year_fe,dx_wany17,asset_trade_noinst_kw,.0065659808694052,.0053662108,1.2235787,.22190268,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,asset_trade_noinst_kw,.0335192492192566,.0088802604,3.7745793,.00018708334,19222,1129,1,1,1
baseline,dx_wstr17,asset_trade_noinst_kw,.036082406484145,.0099123418,3.6401496,.00031192505,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,asset_trade_noinst_kw,.0225705483893897,.0083353072,2.7078245,.0072858375,18296,1129,1,1,1
