varname,N,mean,sd,p50,positives,positive_share
DU_kw,27491,1.5856469,2.0880876,.86597037,27202,.98948747
asset_trade_kw,27490,.023685733,.21068461,0,2331,.084794469
strict_at_kw,27490,.01076762,.10299629,0,1785,.064932704
inst_term_kw,27491,.0019906827,.025914414,0,438,.015932487
asset_trade_noinst_kw,27491,.012083825,.10975025,0,1910,.069477282
strict_noinst_kw,27491,.010767229,.10299443,0,1785,.064930342
verif_noinst_kw,27491,.0058111423,.055302985,0,1147,.041722745
acct_kw,27491,.00028669488,.0086375605,0,90,.0032737986
rights_kw,27491,.00078353594,.014723271,0,228,.0082936231
pricing_kw,27491,.00050713401,.010215357,0,229,.0083299987
product_tx_noinst_kw,27491,.0042337775,.036352567,0,939,.034156632
asset_trade_noinst_share,27491,.0016471521,.0092612142,0,1910,.069477282
strict_noinst_share,27491,.0014798919,.0087308856,0,1785,.064930342
verif_noinst_share,27491,.00077186298,.0054674912,0,1147,.041722745
