spec,exposure,y_name,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
add_prewash_x_2024,dx_wany17,DU_kw,.1304811209131526,.063183174,2.0651245,.039618805,19222,1,1,0
baseline,dx_wany17,DU_kw,.1523787311221842,.058264766,2.6152809,.0092861876,19222,1,1,1
cityyear_prewashyear_fe,dx_wany17,DU_kw,.0545655979933496,.071002468,.76850283,.44298378,18296,0,0,0
drop_year_2024,dx_wany17,DU_kw,.1572757153378523,.065272667,2.4095187,.016470615,16529,1,1,0
industry_2024_fe,dx_wany17,DU_kw,.1129351465102574,.060534328,1.8656381,.062896229,19218,1,0,0
add_prewash_x_2024,dx_wstr17,DU_kw,.298628417139939,.073620357,4.0563297,.000061018909,19222,1,1,1
baseline,dx_wstr17,DU_kw,.33939435379329,.073537908,4.6152301,5.4503312e-06,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,DU_kw,.1522571751350775,.09803845,1.5530354,.12180164,18296,0,0,0
drop_year_2024,dx_wstr17,DU_kw,.3400527754887308,.066423535,5.119462,4.9805925e-07,16529,1,1,1
industry_2024_fe,dx_wstr17,DU_kw,.2804820427977304,.071644291,3.9149251,.00010795588,19218,1,1,1
add_prewash_x_2024,dx_wany17,asset_trade_kw,.0397603188790487,.015676964,2.5362256,.011622754,19222,1,1,0
baseline,dx_wany17,asset_trade_kw,.043810548425742,.016347781,2.679908,.0076988232,19222,1,1,1
cityyear_prewashyear_fe,dx_wany17,asset_trade_kw,.0245875560064291,.014909888,1.6490772,.10050894,18296,1,0,0
drop_year_2024,dx_wany17,asset_trade_kw,.0410886861615554,.015213307,2.7008386,.0072406479,16529,1,1,1
industry_2024_fe,dx_wany17,asset_trade_kw,.0359944485769955,.016021833,2.2465875,.025265273,19218,1,1,0
add_prewash_x_2024,dx_wstr17,asset_trade_kw,.0841388429088985,.024637921,3.4150138,.00070969842,19222,1,1,1
baseline,dx_wstr17,asset_trade_kw,.0955796517440098,.026922802,3.5501378,.00043553335,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,asset_trade_kw,.0495517971981916,.023704356,2.090409,.037689175,18296,1,1,0
drop_year_2024,dx_wstr17,asset_trade_kw,.0878883604633545,.023034818,3.8154569,.00015973832,16529,1,1,1
industry_2024_fe,dx_wstr17,asset_trade_kw,.0793436918650636,.02447314,3.2420723,.0012961914,19218,1,1,1
add_prewash_x_2024,dx_wany17,asset_trade_ratio,.0037055921544116,.0015098737,2.4542398,.014585879,19222,1,1,0
baseline,dx_wany17,asset_trade_ratio,.00404002535233,.0015482721,2.6093767,.0094449045,19222,1,1,1
cityyear_prewashyear_fe,dx_wany17,asset_trade_ratio,.0018766681633958,.0014115627,1.3294969,.18501277,18296,0,0,0
drop_year_2024,dx_wany17,asset_trade_ratio,.0039175949754092,.0014809361,2.6453505,.00851533,16529,1,1,1
industry_2024_fe,dx_wany17,asset_trade_ratio,.0034213023746276,.0015453409,2.2139466,.0274517,19218,1,1,0
add_prewash_x_2024,dx_wstr17,asset_trade_ratio,.0076834551068985,.0022470574,3.4193408,.00069885532,19222,1,1,1
baseline,dx_wstr17,asset_trade_ratio,.0086493878947753,.0024113748,3.5869114,.00038032289,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,asset_trade_ratio,.0037895037904193,.0021818178,1.7368563,.083763115,18296,1,0,0
drop_year_2024,dx_wstr17,asset_trade_ratio,.0082400713398839,.0020857989,3.9505587,.000093690971,16529,1,1,1
industry_2024_fe,dx_wstr17,asset_trade_ratio,.0073823898282258,.0022461452,3.2866931,.0011123237,19218,1,1,1
add_prewash_x_2024,dx_wany17,asset_trade_share,.0028516820494736,.001112805,2.562607,.010790482,19222,1,1,0
baseline,dx_wany17,asset_trade_share,.0031180561464768,.0011575226,2.6937325,.0073927627,19222,1,1,1
cityyear_prewashyear_fe,dx_wany17,asset_trade_share,.001352942518455,.0010713054,1.2628915,.20791817,18296,0,0,0
drop_year_2024,dx_wany17,asset_trade_share,.0030557614221323,.0010592464,2.8848448,.004149843,16529,1,1,1
industry_2024_fe,dx_wany17,asset_trade_share,.0026058885621843,.0011558644,2.2544932,.024759065,19218,1,1,0
add_prewash_x_2024,dx_wstr17,asset_trade_share,.0061069288996792,.0016141252,3.7834296,.0001807957,19222,1,1,1
baseline,dx_wstr17,asset_trade_share,.0068948780325861,.0017436775,3.9542162,.000092282477,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,asset_trade_share,.0029133568567072,.0016569122,1.758305,.080037341,18296,1,0,0
drop_year_2024,dx_wstr17,asset_trade_share,.006601047707912,.0014533745,4.5418768,7.5985508e-06,16529,1,1,1
industry_2024_fe,dx_wstr17,asset_trade_share,.005857965647376,.0016283131,3.5975671,.00036559653,19218,1,1,1
add_prewash_x_2024,dx_wany17,strict_at_kw,.0160675896380412,.0058122627,2.7644293,.0059923879,19222,1,1,1
baseline,dx_wany17,strict_at_kw,.016369781671781,.0059511056,2.7507129,.0062436932,19222,1,1,1
cityyear_prewashyear_fe,dx_wany17,strict_at_kw,.0121147153056235,.0050790729,2.3852217,.017887078,18296,1,1,0
drop_year_2024,dx_wany17,strict_at_kw,.0168635350595786,.0059311269,2.8432262,.0047186017,16529,1,1,1
industry_2024_fe,dx_wany17,strict_at_kw,.0141637322537913,.0055188853,2.566412,.010674948,19218,1,1,0
add_prewash_x_2024,dx_wstr17,strict_at_kw,.0309014724092294,.0082880035,3.7284579,.0002233304,19222,1,1,1
baseline,dx_wstr17,strict_at_kw,.0323310447387176,.0091638621,3.5281024,.00047212731,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,strict_at_kw,.0211032437012508,.0074580885,2.8295779,.00507659,18296,1,1,1
drop_year_2024,dx_wstr17,strict_at_kw,.0326023964087029,.0078998404,4.1269689,.000045629429,16529,1,1,1
industry_2024_fe,dx_wstr17,strict_at_kw,.0281311330113762,.0077565457,3.6267605,.00032794577,19218,1,1,1
add_prewash_x_2024,dx_wany17,strict_at_ratio,.0013566280067395,.00062400504,2.1740658,.030343968,19222,1,1,0
baseline,dx_wany17,strict_at_ratio,.0014005669767918,.00061748258,2.2681887,.023902994,19222,1,1,0
cityyear_prewashyear_fe,dx_wany17,strict_at_ratio,.0008063776116301,.00058245333,1.3844501,.16757411,18296,0,0,0
drop_year_2024,dx_wany17,strict_at_ratio,.001389543444531,.00064818928,2.1437309,.032718357,16529,1,1,0
industry_2024_fe,dx_wany17,strict_at_ratio,.0012348186782401,.00059145672,2.0877583,.037514444,19218,1,1,0
add_prewash_x_2024,dx_wstr17,strict_at_ratio,.0024093077683442,.00072294631,3.3326235,.00094858313,19222,1,1,1
baseline,dx_wstr17,strict_at_ratio,.0024962427685813,.00076859718,3.2477908,.0012711469,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,strict_at_ratio,.0014171564379648,.00074039184,1.9140627,.056864168,18296,1,0,0
drop_year_2024,dx_wstr17,strict_at_ratio,.0026413211682314,.00066430663,3.9760573,.00008457197,16529,1,1,1
industry_2024_fe,dx_wstr17,strict_at_ratio,.0022340606513129,.00067036354,3.3326106,.00094862567,19218,1,1,1
add_prewash_x_2024,dx_wany17,strict_at_share,.0010966859024067,.00050242891,2.1827683,.029691344,19222,1,1,0
baseline,dx_wany17,strict_at_share,.0011255508737306,.00049562642,2.2709661,.023732554,19222,1,1,0
cityyear_prewashyear_fe,dx_wany17,strict_at_share,.000602582122977,.00049041625,1.2287157,.22044516,18296,0,0,0
drop_year_2024,dx_wany17,strict_at_share,.0011368226914708,.00051734713,2.197408,.02862254,16529,1,1,0
industry_2024_fe,dx_wany17,strict_at_share,.0009843838435197,.00047557798,2.0698683,.039169606,19218,1,1,0
add_prewash_x_2024,dx_wstr17,strict_at_share,.0020009260871027,.00057116448,3.5032396,.00051686709,19222,1,1,1
baseline,dx_wstr17,strict_at_share,.0020543663074023,.00060199847,3.4125774,.00071587315,19222,1,1,1
cityyear_prewashyear_fe,dx_wstr17,strict_at_share,.0011422473787013,.00063027098,1.8123115,.071253501,18296,1,0,0
drop_year_2024,dx_wstr17,strict_at_share,.0022199775433193,.0005110965,4.3435583,.000018215165,16529,1,1,1
industry_2024_fe,dx_wstr17,strict_at_share,.0018421171549536,.00053395354,3.4499576,.000626439,19218,1,1,1
