exposure,y_family,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
gap,analyst_info,Analyst,2019,.0732189645850363,.05870384,1.2472602,.221643,22096,0,0,0
gap,analyst_info,Analyst,2020,.0270568919881542,.038585294,.7012229,.4883948,22096,0,0,0
gap,analyst_info,Analyst,2021,.0159831063560272,.027521217,.58075577,.56560355,22096,0,0,0
gap,analyst_info,Analyst,2023,-.0374802250457155,.023177344,-1.6171061,.11598756,22096,0,0,0
gap,analyst_info,Analyst,2024,-.0283016994786036,.037532866,-.75405115,.45650837,22096,0,0,0
gap,analyst_info,ForecastDisp,2019,.0178491351757846,.022331642,.79927552,.43021256,9725,0,0,0
gap,analyst_info,ForecastDisp,2020,-.0112372096409306,.017749203,-.63311064,.5313046,9725,0,0,0
gap,analyst_info,ForecastDisp,2021,-.0160955385218979,.014427258,-1.115634,.27315268,9725,0,0,0
gap,analyst_info,ForecastDisp,2023,.0121814398730438,.014978989,.8132351,.42228559,9725,0,0,0
gap,analyst_info,ForecastDisp,2024,.0423105603811275,.015682865,2.6978846,.011187644,9725,1,1,1
gap,analyst_info,RatingDisp,2019,.0083127245426468,.0080800103,1.0288012,.31153384,11905,0,0,0
gap,analyst_info,RatingDisp,2020,.0241424492475911,.0080296537,3.0066614,.0052001607,11905,1,1,1
gap,analyst_info,RatingDisp,2021,.0023618684968398,.015141928,.15598202,.87705851,11905,0,0,0
gap,analyst_info,RatingDisp,2023,.0124229273265569,.012014792,1.0339694,.30914968,11905,0,0,0
gap,analyst_info,RatingDisp,2024,.0243180313145607,.0077075907,3.1550756,.0035556841,11905,1,1,1
gap,analyst_info,ReportFreq,2019,-.0879271235156117,.083370075,-1.0546606,.29973149,12451,0,0,0
gap,analyst_info,ReportFreq,2020,-.0457730099503843,.041825898,-1.0943701,.28222334,12451,0,0,0
gap,analyst_info,ReportFreq,2021,-.0619018083954343,.054742418,-1.1307832,.26681915,12451,0,0,0
gap,analyst_info,ReportFreq,2023,-.0281643418202486,.042879287,-.65682858,.51613802,12451,0,0,0
gap,analyst_info,ReportFreq,2024,-.0119938168032822,.040181153,-.29849359,.76731819,12451,0,0,0
gap,audit_accounting,AuditFee,2019,.0223333860646676,.01836787,1.2158942,.23320344,22068,0,0,0
gap,audit_accounting,AuditFee,2020,.0159362500748674,.01489306,1.0700454,.29286,22068,0,0,0
gap,audit_accounting,AuditFee,2021,.0120079481656062,.0096077835,1.2498145,.22072087,22068,0,0,0
gap,audit_accounting,AuditFee,2023,-.0144492781431946,.0075291502,-1.9191115,.064217046,22068,1,0,0
gap,audit_accounting,AuditFee,2024,-.0534006594185224,.0087616416,-6.0948238,9.3716341e-07,22068,1,1,1
gap,capital_allocation,InvestIneff,2019,-.0010527079462836,.0060581667,-.17376675,.86317855,19209,0,0,0
gap,capital_allocation,InvestIneff,2020,.0045789122536615,.0036830301,1.243246,.22309807,19209,0,0,0
gap,capital_allocation,InvestIneff,2021,.0011915998899251,.0042228154,.28218138,.77967983,19209,0,0,0
gap,capital_allocation,InvestIneff,2023,.0037830618900994,.0043206797,.87557107,.38799727,19209,0,0,0
gap,capital_allocation,InvestIneff,2024,.0050079571848949,.0035046064,1.4289643,.16301437,19209,0,0,0
gap,financing_constraint,SA,2019,-.000497329826101,.0013445605,-.36988282,.71398485,22096,0,0,0
gap,financing_constraint,SA,2020,.0014791311738584,.0013287804,1.1131494,.2742016,22096,0,0,0
gap,financing_constraint,SA,2021,.0006752789919625,.001159969,.58215261,.56467414,22096,0,0,0
gap,financing_constraint,SA,2023,-.0021534455107147,.0013181244,-1.6337194,.11243461,22096,0,0,0
gap,financing_constraint,SA,2024,-.0009090023289893,.0018140734,-.50108355,.61985201,22096,0,0,0
gap,investor_attention,InstHold,2019,-1.133893340738975,.36516199,-3.1051791,.0040436378,22080,1,1,1
gap,investor_attention,InstHold,2020,-.6234537496206668,.19432323,-3.2083337,.0030970061,22080,1,1,1
gap,investor_attention,InstHold,2021,-.6762956830842199,.20624714,-3.2790549,.0025746955,22080,1,1,1
gap,investor_attention,InstHold,2023,-.3089107091619446,.30217984,-1.0222744,.31456286,22080,0,0,0
gap,investor_attention,InstHold,2024,-.7315284162017955,.37908494,-1.9297217,.06283664,22080,1,0,0
gap,investor_attention,InstStable,2019,-.3211215519926284,.18619324,-1.724668,.094546407,22080,1,0,0
