item,N,mean,sd,p25,median,p75,positives
FirstDIP,24251,.68059051,.46625748,0,1,1,16505
NewDIP2024,24251,.16527154,.37143311,0,0,0,4008
DIPilot,24251,.29293638,.45511889,0,0,1,7104
PreGap2021,22099,.28777954,.46409249,.048349962,.33592147,.65033132,17279
PreWashShare2021,22099,.37651026,.45743802,0,0,1,9448
PreWashAny2021,22099,.42753065,.49473152,0,0,1,9448
PreWashMaj2021,22099,.42753065,.49473152,0,0,1,9448
PreStrictWashAny2021,22099,.2175664,.41260025,0,0,0,4808
dip_gap,22099,.078053534,.27578819,0,0,0,4511
dip_wany,22099,.1159781,.3202059,0,0,0,2563
dip_wmaj,22099,.1159781,.3202059,0,0,0,2563
dip_wstr,22099,.0617675,.24073824,0,0,0,1365
