policy,exposure,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
acct2024,gap,DU_kw,2021,-.2742027861667928,.049831461,-5.502604,7.8293581e-08,17451,1,1,1
acct2024,gap,DU_kw,2022,-.1212550259989544,.034801178,-3.4842217,.00056442624,17451,1,1,1
acct2024,gap,DU_kw,2024,-.0322655074003775,.038222894,-.84414089,.39923951,17451,0,0,0
acct2024,gap,HardCap_direct_v1,2021,.1496063155790925,.023769531,6.2940373,1.0508184e-09,17451,1,1,1
acct2024,gap,HardCap_direct_v1,2022,.054857101731394,.020201953,2.7154355,.0069887736,17451,1,1,1
acct2024,gap,HardCap_direct_v1,2024,.1772537408748023,.022967272,7.7176661,1.6274001e-13,17451,1,1,1
acct2024,gap,NarrHardGap_direct_v1,2021,-.0164279537816578,.0056402199,-2.9126444,.0038432349,17451,1,1,1
acct2024,gap,NarrHardGap_direct_v1,2022,.0103427932492245,.0050295861,2.0563905,.040578984,17451,1,1,0
acct2024,gap,NarrHardGap_direct_v1,2024,-.0614980988718222,.0058211335,-10.564626,1.7019173e-22,17451,1,1,1
acct2024,gap,NarrHardHushing_direct_v1,2021,.0434849833162718,.0097029982,4.4816027,.000010425942,17451,1,1,1
acct2024,gap,NarrHardHushing_direct_v1,2022,-.0006118197406249,.0080637569,-.075872794,.93956906,17451,0,0,0
acct2024,gap,NarrHardHushing_direct_v1,2024,.0318179526568692,.0081542684,3.9019997,.00011697396,17451,1,1,1
acct2024,gap,NarrHardVerified_direct_v1,2021,-.0134016753792028,.0094487965,-1.4183474,.15709065,17451,0,0,0
acct2024,gap,NarrHardVerified_direct_v1,2022,-.0045935994186807,.0076607279,-.59962964,.54918969,17451,0,0,0
acct2024,gap,NarrHardVerified_direct_v1,2024,-.0002463307468357,.008124264,-.030320376,.97583097,17451,0,0,0
acct2024,gap,NarrHardWashing_direct_v1,2021,.0017667088237268,.0058837919,.30026704,.76417404,17451,0,0,0
acct2024,gap,NarrHardWashing_direct_v1,2022,.0193055307613087,.0056003276,3.4472146,.00064437476,17451,1,1,1
acct2024,gap,NarrHardWashing_direct_v1,2024,-.0521675295669165,.0070133437,-7.4383249,1.0011636e-12,17451,1,1,1
acct2024,wany,DU_kw,2021,-.2018272483351443,.034661464,-5.8228135,1.4419649e-08,17451,1,1,1
acct2024,wany,DU_kw,2022,-.1061694329908201,.028237887,-3.7598221,.00020309012,17451,1,1,1
acct2024,wany,DU_kw,2024,-.0250342523629681,.032543138,-.76926363,.44232064,17451,0,0,0
acct2024,wany,HardCap_direct_v1,2021,.0601284764742264,.013388707,4.4909844,.00001000386,17451,1,1,1
acct2024,wany,HardCap_direct_v1,2022,.017442189365895,.012986143,1.3431385,.18020646,17451,0,0,0
acct2024,wany,HardCap_direct_v1,2024,.0831057511438575,.015182935,5.473629,9.0917659e-08,17451,1,1,1
acct2024,wany,NarrHardGap_direct_v1,2021,.0036616869811193,.0066345981,.5519079,.58140785,17451,0,0,0
acct2024,wany,NarrHardGap_direct_v1,2022,.0073511262107438,.0053956318,1.3624218,.17405064,17451,0,0,0
acct2024,wany,NarrHardGap_direct_v1,2024,-.0574649875091798,.0062499391,-9.1944876,5.5806393e-18,17451,1,1,1
acct2024,wany,NarrHardHushing_direct_v1,2021,.0277627360419924,.0067367521,4.1210861,.000048409387,17451,1,1,1
acct2024,wany,NarrHardHushing_direct_v1,2022,.0017399255533358,.0049352814,.35254842,.72466582,17451,0,0,0
acct2024,wany,NarrHardHushing_direct_v1,2024,.011752804423353,.005431172,2.1639538,.031228902,17451,1,1,0
acct2024,wany,NarrHardVerified_direct_v1,2021,-.024463437182856,.0069302367,-3.5299568,.00047843787,17451,1,1,1
acct2024,wany,NarrHardVerified_direct_v1,2022,-.0046505613576966,.0050962768,-.91254103,.36219084,17451,0,0,0
acct2024,wany,NarrHardVerified_direct_v1,2024,.0096985959762313,.0060450649,1.6043824,.10964477,17451,0,0,0
acct2024,wany,NarrHardWashing_direct_v1,2021,.0184334628348452,.011974285,1.5394207,.12471841,17451,0,0,0
acct2024,wany,NarrHardWashing_direct_v1,2022,.0101203922189273,.010541914,.9600147,.33779359,17451,0,0,0
acct2024,wany,NarrHardWashing_direct_v1,2024,-.1465115361644342,.01210384,-12.10455,6.7611721e-28,17451,1,1,1
acct2024,wmaj,DU_kw,2021,-.2228487140836309,.040270664,-5.5337729,6.6618504e-08,17451,1,1,1
acct2024,wmaj,DU_kw,2022,-.0789796816585779,.031765047,-2.4863706,.013429897,17451,1,1,0
acct2024,wmaj,DU_kw,2024,-.0264537584868367,.036510397,-.72455412,.46927035,17451,0,0,0
acct2024,wmaj,HardCap_direct_v1,2021,.0733602873462521,.0124422,5.8960867,9.6921093e-09,17451,1,1,1
acct2024,wmaj,HardCap_direct_v1,2022,.019332612811555,.011503175,1.6806328,.093838297,17451,1,0,0
acct2024,wmaj,HardCap_direct_v1,2024,.0882145271339404,.014361341,6.142499,2.4799049e-09,17451,1,1,1
acct2024,wmaj,NarrHardGap_direct_v1,2021,-.0106929013934427,.0059495405,-1.7972651,.073263593,17451,1,0,0
