x_name,N,mean,sd,p25,median,p75,positives
DigInvPatAut,43735,.039213445,1.0406051,0,0,0,313
DigHumanDemand,13599,6.4238548,51.046341,0,0,0,1586
DigHumanRecruit,13599,30.66468,613.18964,0,0,0,1582
DigCapexAmount,43735,1593743.3,70667568,0,0,0,77
AIInvestTotal,43735,16569479,161757184,0,0,0,9687
AIInvestLevel,43735,.0011826729,.01117972,0,0,0,9258
PatentTitleDataApp,43735,.0035898022,.13993874,0,0,0,59
HardCap_direct_v1,43735,-.00015222662,.51846153,-.083757117,-.063200742,-.063200742,4042
HardCap_direct_amt,43735,-.002015102,.5440585,-.16848928,-.16848928,-.16848928,9781
HardCap_direct_patent_human,43735,.0020102866,.70816714,-.14104798,-.052550148,-.052550148,1904
NarrHardGap_direct_v1,43735,.30752489,.46344087,.039382637,.3600966,.67846221,33714
NarrHardWashing_direct_v1,43735,.39012232,.48778307,0,0,1,17062
NarrHardHushing_direct_v1,43735,.10465302,.30610931,0,0,0,4577
NarrHardVerified_direct_v1,43735,.10991197,.31278357,0,0,0,4807
NHWash_direct_v1_s,43735,.19430661,.3956705,0,0,0,8498
NHHush_direct_v1_s,43735,.04998285,.21791203,0,0,0,2186
NHVer_direct_v1_s,43735,.052909568,.22385551,0,0,0,2314
NarrHardGap_direct_amt,43735,.29983187,.46702549,.026605271,.35278669,.67429483,33422
NarrHardWashing_direct_amt,43735,.38559505,.48674113,0,0,1,16864
NarrHardHushing_direct_amt,43735,.10945467,.31221238,0,0,0,4787
NarrHardVerified_direct_amt,43735,.11443923,.31834763,0,0,0,5005
NarrHardGap_patent_human,43735,.45604062,.35116723,.21622868,.47814083,.73905027,39940
NarrHardWashing_patent_human,43735,.47941008,.49958158,0,0,1,20967
NarrHardHushing_patent_human,43735,.022910712,.14962059,0,0,0,1002
NarrHardVerified_patent_human,43735,.020624215,.14212431,0,0,0,902
