year_num,N,firms_data,data_posts,all_posts,data_share_mean
2014,9,1,5,32,0.026455026455026454
2015,23,9,14,73,0.1394064872325742
2016,4962,4385,200430,707713,0.227839373121885
2017,5207,4988,669549,2144644,0.26606765259240617
2018,5198,4934,562263,1584088,0.29212311760385956
2019,4948,4466,279786,704761,0.3115209593542041
2020,5030,4593,337318,858405,0.3242908422246888
2021,5326,5021,359156,992789,0.30969859620701334
2022,4144,3754,119092,356114,0.32198301018209335
2023,4732,4148,98164,247937,0.36023549024862034
2024,4888,4622,237726,662161,0.3478459925899472
2025,5050,4794,254308,643827,0.38095190910407034
2026,3546,3141,40973,93602,0.42862546094306414
