component,N_nonmissing,N_nonzero,firms_nonmissing,firms_nonzero,min_year,max_year,mean,p50,p95,max
HiringPosts_all,53063,53063,5643,5643,2014,2026,169.53707856698642,45.0,683.8999999999942,31711.0
HiringRecruits_all,53063,53050,5643,5643,2014,2026,1067.4274918493113,87.0,2997.6999999999825,4091145.0
DataHiringPosts,53063,48856,5643,5580,2014,2026,59.52893730094416,13.0,242.89999999999418,8257.0
DataHiringRecruits,53063,48836,5643,5579,2014,2026,284.74358781071555,23.0,965.8999999999942,610472.0
DataHiringShare,53063,48856,5643,5580,2014,2026,0.32118073203950936,0.3,0.6666666666666666,1.0
DataHiringTitlePosts,53063,15555,5643,3504,2014,2026,3.842639880896293,0.0,15.0,1398.0
AIHiringPosts,53063,20271,5643,4086,2014,2026,5.3666019637035225,0.0,22.0,1422.0
SoftwareHiringPosts,53063,47840,5643,5559,2014,2026,60.70384260218985,13.0,250.0,9140.0
DataEngineerHiringPosts,53063,27403,5643,4847,2014,2026,11.831200648286,1.0,45.0,3349.0
DataSalary_avg,48081,48046,5562,5562,2014,2026,11847.076508736232,9821.42857142857,24779.727272727272,359155.2
