x_name,N,mean,sd,p25,median,p75,positives
HireCap_title,37372,6.2361143e-09,1,-.13110313,-.13110313,-.13110313,2499
HireCap_engineer,37372,-6.7187576e-09,.80490398,-.18481919,-.18481919,-.18481919,4567
HireCap_posts,37372,1.0257407e-08,.9434461,-.26896396,-.26896396,-.26896396,5250
HireCap_broad,37372,4.9462088e-09,1,-.46230623,-.46230623,-.46230623,8081
NarrHireGap_title,37372,.43167236,.37757936,.19230941,.46048516,.73095953,33991
NarrHireWash_title,37372,.46339506,.49866495,0,0,1,17318
NarrHireHush_title,37372,.033929143,.18104926,0,0,0,1268
NarrHireVer_title,37372,.036631703,.18785837,0,0,0,1369
NHireWash_title_s,37372,.23199187,.42210948,0,0,0,8670
NHireHush_title_s,37372,.017018089,.12934034,0,0,0,636
NHireVer_title_s,37372,.018115167,.13336973,0,0,0,677
NarrHireGap_engineer,37372,.37260908,.4273752,.13043478,.41765925,.709611,31838
NarrHireWash_engineer,37372,.42965323,.4950332,0,0,1,16057
NarrHireHush_engineer,37372,.067349888,.25063032,0,0,0,2517
NarrHireVer_engineer,37372,.070373543,.25577891,0,0,0,2630
NarrHireGap_posts,37372,.37053823,.42850128,.1280438,.41590011,.70870936,31740
NarrHireWash_posts,37372,.42823505,.4948296,0,0,1,16004
NarrHireHush_posts,37372,.068687789,.25292584,0,0,0,2567
NarrHireVer_posts,37372,.071791716,.25814617,0,0,0,2683
NarrHireGap_broad,37372,.30874532,.46367323,.057638265,.36065876,.68048626,29445
NarrHireWash_broad,37372,.39090765,.48796028,0,0,1,14609
NarrHireHush_broad,37372,.10863748,.31118801,0,0,0,4060
NarrHireVer_broad,37372,.10911912,.31179279,0,0,0,4078
