x_name,N,mean,sd,p25,median,p75
Mismatch_sub,43735,.04728552,.14706293,-.024577573,.038444743,.13816774
Mismatch_sub_iy,43671,.054886904,.18121538,-.033434689,.043478262,.16
DataWashing_sub,43735,.097404823,.29651162,0,0,0
DataHushing_sub,43735,.063336,.24356911,0,0,0
DataWashing_sub_strict,43735,.000045729965,.006762316,0,0,0
DataHushing_sub_strict,43735,.00091459928,.030228855,0,0,0
Mismatch_potential,43735,-.00058453367,.36105984,-.25953203,-.009337604,.24219435
DataWashing_pot,43735,.22032697,.41447186,0,0,0
DataHushing_pot,43735,.21694295,.41216815,0,0,0
VerifiedData_pot,43735,.27970734,.4488605,0,0,1
DataWashing_pot_strict,43735,.047856409,.21346478,0,0,0
DataHushing_pot_strict,43735,.030959185,.17320913,0,0,0
VerifiedData_pot_strict,43735,.082039557,.2744281,0,0,0
