x_name,y_family,y_name,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
DataHushing_pot,analyst_info,Analyst,.0281249545735291,.015336572,1.8338487,.066985227,37294,1,0,0
DataHushing_pot,analyst_info,FcstAcc,-.2007581388913755,.15329292,-1.3096373,.19064909,21137,0,0,0
DataHushing_pot,analyst_info,ForecastDisp,-.0052119576804506,.0040955604,-1.2725872,.2034947,19126,0,0,0
DataHushing_pot,analyst_info,RatingDisp,.002579480088322,.0049791653,.51805472,.60454464,22842,0,0,0
DataHushing_pot,analyst_info,ReportFreq,.0279366123012189,.017294692,1.6153287,.10658129,24046,0,0,0
DataHushing_pot,audit_accounting,AuditFee,.0018866898065467,.0044171177,.42713141,.66937917,37211,0,0,0
DataHushing_pot,audit_accounting,absDA,-.001366000436518,.0012670018,-1.0781361,.28162438,12530,0,0,0
DataHushing_pot,capital_allocation,InvestIneff,-.0025342680774231,.0016511169,-1.5348811,.12526944,31309,0,0,0
DataHushing_pot,financing_constraint,SA,-.0013166235912748,.00065071083,-2.0233622,.043311939,37294,1,1,0
DataHushing_pot,investor_attention,InstHold,-.0571770200886996,.14139649,-.40437368,.68602782,37267,0,0,0
DataHushing_pot,investor_attention,InstStable,.0620504073104347,.078244373,.79303348,.42795384,37267,0,0,0
DataHushing_pot,operating_resilience,CashFlowVol,-.0001960813236121,.00055724959,-.35187343,.72501028,37294,0,0,0
DataHushing_pot,productivity,TFP,.0254528976748414,.012508336,2.0348747,.04291863,5951,1,1,0
DataHushing_pot,supply_chain,SCConc,-.1442535216933047,.1743357,-.82744682,.40818971,36321,0,0,0
DataHushing_pot,supply_chain,SuppConc,-.2171577569116694,.20742755,-1.046909,.29540867,34366,0,0,0
DataHushing_pot,valuation,TobinQ,-.0508685362438575,.013762247,-3.6962378,.0002311768,37294,1,1,1
DataHushing_pot_strict,analyst_info,Analyst,.0632924284844407,.032824341,1.9282162,.054122277,37294,1,0,0
DataHushing_pot_strict,analyst_info,FcstAcc,.1007925371311599,.31718302,.31777406,.7507292,21137,0,0,0
DataHushing_pot_strict,analyst_info,ForecastDisp,-.0083674876203135,.0078315893,-1.0684278,.28561535,19126,0,0,0
DataHushing_pot_strict,analyst_info,RatingDisp,.0320320168114037,.0095827729,3.3426669,.00086323672,22842,1,1,1
DataHushing_pot_strict,analyst_info,ReportFreq,.0555746040563533,.035985045,1.5443805,.12283893,24046,0,0,0
DataHushing_pot_strict,audit_accounting,AuditFee,.016373881589623,.0093769841,1.7461778,.081099257,37211,1,0,0
DataHushing_pot_strict,audit_accounting,absDA,.002270867767568,.0030890245,.73514074,.46268564,12530,0,0,0
DataHushing_pot_strict,capital_allocation,InvestIneff,-.0029478115466578,.0029242842,-1.0080454,.31378448,31309,0,0,0
DataHushing_pot_strict,financing_constraint,SA,-.0009319027569108,.001453828,-.64099938,.52167577,37294,0,0,0
