x_name,sample,N,mean,sd,p25,median,p75,positives
HardBaseRaw,panel,43735,-3.3725206e-10,.55194467,-.33433476,-.037707746,.43875742,19757
hard_base_pct_y,panel,43735,.49771425,.28723311,.24907549,.49705806,.74746376,43721
NarrHardGap_base,panel,43735,-.00058600114,.34877995,-.23406997,.0019309223,.24094206,21964
NarrHardWashing,panel,43735,.21024351,.40748617,0,0,0,9195
NarrHardHushing,panel,43735,.20765977,.40563649,0,0,0,9082
NarrHardVerified,panel,43735,.28979078,.45367035,0,0,1,12674
NarrHardWashing_strict,panel,43735,.029701613,.16976479,0,0,0,1299
NarrHardHushing_strict,panel,43735,.033885904,.18093756,0,0,0,1482
NarrHardVerified_strict,panel,43735,.1094318,.31218377,0,0,0,4786
DataAsset0,2024,4598,2.4020094e-06,.000061520703,0,0,0,22
DataAsset_ln,2024,4598,2.4001172e-06,.000061456092,0,0,0,22
BookEntry,2024,4598,.0047846888,.069013268,0,0,0,22
HardAcctRaw,2024,4598,-2.5982163e-09,.67897481,-.24502774,-.074117921,.20870678,1851
hard_acct_pct_2024,2024,4598,.49713454,.28673983,.24885795,.5,.73939526,4597
NarrAcctHardGap,2024,4598,.0024868234,.34471419,-.23210788,-.00021754205,.24559495,2294
NarrAcctHardWashing,2024,4598,.21139626,.40834317,0,0,0,972
NarrAcctHardHushing,2024,4598,.21139626,.40834317,0,0,0,972
NarrAcctHardVerified,2024,4598,.28860375,.45316252,0,0,1,1327
NarrAcctHardWashing_strict,2024,4598,.028708134,.16700312,0,0,0,132
NarrAcctHardHushing_strict,2024,4598,.034797739,.1832871,0,0,0,160
NarrAcctHardVerified_strict,2024,4598,.10526316,.30692559,0,0,0,484
