x_name,y_family,y_name,spec,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
BookEntry,analyst_info,Analyst,indFE_controls,.1000677204082061,.28966239,.34546328,.72976226,4593,22,0,0,0
BookEntry,analyst_info,FcstAcc,indFE_controls,3.619657886689335,4.3984303,.82294309,.41062987,2272,10,0,0,0
BookEntry,analyst_info,ForecastDisp,indFE_controls,.0067413786675962,.052410565,.12862633,.89766663,2024,8,0,0,0
BookEntry,analyst_info,RatingDisp,indFE_controls,.0602478285184992,.061600883,.97803515,.32815275,2550,11,0,0,0
BookEntry,analyst_info,ReportFreq,indFE_controls,.0077336950006196,.28482929,.027152035,.97834063,2625,12,0,0,0
BookEntry,audit_accounting,AuditFee,indFE_controls,.0023429087718608,.066537522,.035211843,.97191238,4590,22,0,0,0
BookEntry,audit_accounting,absDA,indFE_controls,,,,,0,0,,,
BookEntry,capital_allocation,InvestIneff,indFE_controls,.0073169629048983,.013358761,.54772764,.58390927,4097,21,0,0,0
BookEntry,financing_constraint,SA,indFE_controls,.0030511422460086,.0102213,.29850823,.76532906,4593,22,0,0,0
BookEntry,investor_attention,InstHold,indFE_controls,-7.662064505144465,3.8942983,-1.9675084,.049185887,4591,22,1,1,0
BookEntry,investor_attention,InstStable,indFE_controls,.4661486191016243,.88390917,.52737164,.59796154,4591,22,0,0,0
BookEntry,operating_resilience,CashFlowVol,indFE_controls,.00622450105196,.0077419397,.80399758,.42144075,4593,22,0,0,0
BookEntry,pricing_efficiency,PriceDelay,indFE_controls,-.0100479018023385,.0094103748,-1.0677472,.28569174,4593,22,0,0,0
BookEntry,productivity,TFP,indFE_controls,,,,,0,0,,,
BookEntry,supply_chain,SCConc,indFE_controls,.9792434880918601,3.8419869,.25487944,.79882789,4571,22,0,0,0
BookEntry,supply_chain,SuppConc,indFE_controls,-.0842096486473898,3.3152256,-.025400881,.97973633,4565,22,0,0,0
BookEntry,valuation,TobinQ,indFE_controls,.1413148503259221,.22590391,.62555295,.53163987,4593,22,0,0,0
NarrAcctHardGap,analyst_info,Analyst,indFE_controls,.1292774041054413,.063575663,2.0334415,.042066395,4593,2294,1,1,0
NarrAcctHardGap,analyst_info,FcstAcc,indFE_controls,.0306366781272373,.58254534,.052591059,.95806253,2272,1137,0,0,0
NarrAcctHardGap,analyst_info,ForecastDisp,indFE_controls,-.0629557102051727,.017782792,-3.5402598,.00040913641,2024,1014,1,1,1
NarrAcctHardGap,analyst_info,RatingDisp,indFE_controls,.0107847784782949,.015142992,.71219599,.47641072,2550,1284,0,0,0
NarrAcctHardGap,analyst_info,ReportFreq,indFE_controls,.148685497036169,.059500284,2.498904,.012520405,2625,1321,1,1,0
NarrAcctHardGap,audit_accounting,AuditFee,indFE_controls,.0148683876139294,.020869747,.71243739,.47623086,4590,2294,0,0,0
NarrAcctHardGap,audit_accounting,absDA,indFE_controls,,,,,0,0,,,
NarrAcctHardGap,capital_allocation,InvestIneff,indFE_controls,9.00107332982e-06,.0026694247,.0033719148,.99730974,4097,2051,0,0,0
NarrAcctHardGap,financing_constraint,SA,indFE_controls,-.003674174237921,.0027574054,-1.3324752,.18277144,4593,2294,0,0,0
NarrAcctHardGap,investor_attention,InstHold,indFE_controls,-1.226191745604094,.90868235,-1.3494174,.17727074,4591,2292,0,0,0
NarrAcctHardGap,investor_attention,InstStable,indFE_controls,-.4847083248991205,.22144091,-2.1888833,.028656477,4591,2292,1,1,0
NarrAcctHardGap,operating_resilience,CashFlowVol,indFE_controls,-.002055128242226,.00166454,-1.2346523,.2170243,4593,2294,0,0,0
NarrAcctHardGap,pricing_efficiency,PriceDelay,indFE_controls,-.0002781656133121,.003400404,-.081803694,.93480647,4593,2294,0,0,0
NarrAcctHardGap,productivity,TFP,indFE_controls,,,,,0,0,,,
NarrAcctHardGap,supply_chain,SCConc,indFE_controls,-6.497422118547759,.75814456,-8.5701628,1.4026642e-17,4571,2280,1,1,1
NarrAcctHardGap,supply_chain,SuppConc,indFE_controls,-7.004621776311205,.89774954,-7.802423,7.5048669e-15,4565,2278,1,1,1
NarrAcctHardGap,valuation,TobinQ,indFE_controls,.0511171343358444,.054249428,.94226122,.34610939,4593,2294,0,0,0
NarrAcctHardHushing,analyst_info,Analyst,indFE_controls,-.0242905986399787,.047506005,-.51131642,.60915458,4593,972,0,0,0
