y_name,du_measure,expected_sign,coef,se,t_stat,p_value,N,status
AbsorbRatio60,DU_kw,negative,-.0236306103878321,.21598615,-.10940799,.9129017,37269,fail
AbsorbRatio60,DU_llm,negative,.4855577036777616,.27268523,1.7806528,.075284705,37269,fail
AbsorbLogRatio60,DU_kw,negative,-.0094472205467279,.013447028,-.70255083,.48250568,37269,fail
AbsorbLogRatio60,DU_llm,negative,-.0072466463073726,.014336329,-.50547433,.61334151,37269,fail
AbsorbShare60,DU_kw,negative,-.0010738271385655,.0020889277,-.51405662,.60733044,37269,fail
AbsorbShare60,DU_llm,negative,-.0019426518212709,.0022031418,-.88176429,.37812454,37269,fail
ICOE_PEG,DU_kw,negative,-.0006300094617021,.00030885357,-2.0398321,.041653175,21975,pass
ICOE_PEG,DU_llm,negative,.0002883963306686,.00034442818,.83731925,.40263131,21975,fail
ICOE_EY,DU_kw,negative,-.0006807061215166,.00028290765,-2.4061072,.016319236,23868,pass
ICOE_EY,DU_llm,negative,.0010812687451793,.00033635841,3.2146325,.001351462,23868,fail
PEAD60_abs,DU_kw,negative,-.0036667971352872,.001435629,-2.5541396,.010798173,37269,pass
PEAD60_abs,DU_llm,negative,-.0036978757193109,.0012808897,-2.8869586,.0039769188,37269,pass
CS_Spread,DU_kw,negative,-.0000374470630119,.000019257033,-1.9445915,.052115314,37294,marginal
CS_Spread,DU_llm,negative,-.000093283300414,.000015237692,-6.1218781,1.3451430e-09,37294,pass
PriceDelay,DU_kw,negative,-.0038740321937602,.0010010704,-3.8698902,.00011622535,37294,pass
PriceDelay,DU_llm,negative,-.004527205970984,.00085238722,-5.3112082,1.3530422e-07,37294,pass
