group,outcome,exposure,coef,p,near_leads_p,post0_p,post1_p,post2p_p,direction,verdict
A_positive_information,NCSKEW,private_pre,-0.12207737064184386,0.0009755263868607145,0.0005144358149793128,0.4360368507658643,0.13516079861178976,0.016369131749956356,good_if_negative,bad_pretrend
A_positive_information,NCSKEW,natural_pre,-0.13329494598881508,8.580991976092633e-06,0.578898526448606,0.12410553270749936,0.0070379724248006426,3.7987569698749724e-06,good_if_negative,dynamic_pass
A_positive_information,NCSKEW,high_lev_pre,0.08575859442353241,0.006321515064529271,0.6840261890251078,0.7220460554179056,0.005664741110686489,0.017440826133439113,good_if_negative,dynamic_pass
A_positive_information,NCSKEW,private_highlev_pre,0.05518631319609902,0.08756721402100998,0.7929800589442795,0.3971669002793783,3.9092686732189463e-07,0.5365014243486637,good_if_negative,dynamic_pass
A_positive_information,NCSKEW,natural_highlev_pre,0.05434298654613698,0.2380150475645446,,,,,good_if_negative,weak_base
A_positive_information,NCSKEW,failure_cost_pre,-0.169100442021861,0.00017212428105262134,0.4253635794646412,0.20819207730910416,0.09898893542599252,0.001238557539356533,good_if_negative,dynamic_pass
A_positive_information,DUVOL,private_pre,-0.05201332273377875,0.004168954185620244,0.0419523875870972,0.3427172648969672,0.10414443308582233,0.006460370993022435,good_if_negative,bad_pretrend
A_positive_information,DUVOL,natural_pre,-0.05448656788574245,0.0012135509213491158,0.0477912777474822,0.15027198375765916,0.023613652339017133,2.3308712632674755e-05,good_if_negative,bad_pretrend
A_positive_information,DUVOL,high_lev_pre,0.01789769438785265,0.04113855896905516,0.8135468695837275,0.9829215730886429,0.03299207033439577,0.040414974297272366,good_if_negative,dynamic_pass
A_positive_information,DUVOL,private_highlev_pre,0.01304147335149564,0.2617618926443499,,,,,good_if_negative,weak_base
A_positive_information,DUVOL,natural_highlev_pre,0.0082994405898547,0.5675943182640322,,,,,good_if_negative,weak_base
A_positive_information,DUVOL,failure_cost_pre,-0.07673577735505938,0.002176809801779367,0.15223506921247543,0.2591816823880808,0.08522087048152849,0.0009576254393364181,good_if_negative,dynamic_pass
A_positive_information,absDA,private_pre,,,,,,,good_if_negative,not_estimated
A_positive_information,absDA,natural_pre,,,0.012454989055825956,,,,good_if_negative,not_estimated
