outcome,exposure,status,n_input,clusters_city,near_leads_chi2,near_leads_p,all_leads_chi2,all_leads_p,0_coef,0_p,+1_coef,+1_p,>=+2_coef,>=+2_p
short_liab_ratio,high_lev_pre,ok,26541,406,2.5077944652032427,0.2853903939794661,4.8606986169934725,0.18228631491737254,0.03419064723899236,0.04136052905443455,0.029206952168457995,0.039339649325405235,0.050063159540119695,4.395605840934458e-05
short_liab_ratio,private_highlev_pre,ok,26541,406,2.7241805719810914,0.2561248428500793,6.289262097124211,0.09835445199352391,0.031490304911914756,0.04551595296862243,0.025755688067168183,0.1668935101218696,0.04637265783655435,6.109717307634099e-07
short_liab_ratio,natural_highlev_pre,ok,26541,406,3.0579610519393663,0.21675653236943693,5.138551909507751,0.16192831904699317,0.02787166234371348,0.08688714920001273,0.021219474922347454,0.26575274158313933,0.040440611000298395,1.2521521819408576e-08
NCSKEW,natural_pre,ok,26541,406,1.0932561466676316,0.578898526448606,4.136654360645533,0.24708100294431712,-0.0885399827928069,0.12410553270749936,-0.2255799243554035,0.0070379724248006426,-0.27117364311416314,3.7987569698749724e-06
DUVOL,natural_pre,ok,26541,406,6.081824260074321,0.0477912777474822,7.3639334520972515,0.06115960800409292,-0.04624387182106122,0.15027198375765916,-0.12199229074918862,0.023613652339017133,-0.1400895891727505,2.3308712632674755e-05
NCSKEW,failure_cost_pre,ok,26541,406,1.709621989359675,0.4253635794646412,3.3356281439725137,0.34271457466157945,-0.07365092435155092,0.20819207730910416,-0.18982880807257285,0.09898893542599252,-0.3069223651500662,0.001238557539356533
DUVOL,failure_cost_pre,ok,26541,406,3.764658889542034,0.15223506921247543,3.9180600135640167,0.270449190307461,-0.0483170679132532,0.2591816823880808,-0.11567404399004794,0.08522087048152849,-0.15481039789949894,0.0009576254393364181
absDA,natural_pre,ok,7942,363,8.771268017931225,0.012454989055825956,8.781188377377852,0.032346109876464364,,,,,,
EarnQualAbs,natural_pre,ok,25078,403,3.2052305549441136,0.2013691924313517,5.430711177626466,0.14284209379305035,-0.0008968881209382135,0.7166388266178754,0.001500218215693054,0.5963481774363646,-0.0013625099142876172,0.8853410543494544
AuditFee,failure_cost_pre,ok,26490,406,1.6988717638093316,0.42765611246680646,14.09459877199961,0.00277917492382528,-0.025286192578343344,0.5341580533056001,-0.00575968151399862,0.8345432592826885,0.025980854033893375,0.4663847840029005
CustConc,private_pre,ok,25601,406,0.8234097984530325,0.6625197573001973,1.0812894538501059,0.7815926954651571,2.0335691951519306,4.3119287855830635e-06,1.792913385113649,0.15410988653914348,1.2636407875011662,0.3293392395050865
CustConc,high_lev_pre,ok,25601,406,0.1341133533433819,0.9351421990873932,0.5635279239794397,0.9047286468508821,-0.59773380189763,0.5415082142499918,-2.552512976351043,0.0017561807550434683,-2.36775927496528,0.10644933741475748
InvestIneff,natural_pre,ok,22884,397,13.467914578549763,0.0011898151866274816,24.276390209508193,2.1871419815318828e-05,0.005893975926873893,0.3781187409337641,0.003250916570540447,0.7827439770043338,-0.006441564682418288,0.5388441141670075
Lev,natural_highlev_pre,ok,26541,406,11.260490865563982,0.00358769468138009,48.54788385970399,1.6280605558370812e-10,-0.012712461799788473,0.025965032139763533,-0.025266154640492616,0.016804124851351077,-0.019601273349733335,0.0018054707638561762
Lev,private_highlev_pre,ok,26541,406,10.555798764498142,0.0051031392865061136,42.800049825589575,2.713705244228671e-09,-0.013649850917031178,0.014958919845044605,-0.02845964645400095,0.0027416361866008376,-0.026457152848886396,0.0033624142370831667
Lev,high_lev_pre,ok,26541,406,53.72253529574917,2.1592338680351333e-12,56.763827060044726,2.8861954267523835e-12,-0.00996534361947239,0.1587129364995672,-0.02366035942219705,0.003706016240145882,-0.03296206443026625,0.008510095621298897
EarnQualAbs,natural_highlev_pre,ok,25078,403,60.85897845012442,6.090328839235467e-14,69.98950419812107,4.290482147787348e-15,0.0023757439867130173,0.43586946870201526,0.006199269113128728,0.21174135560129814,0.003257266367029364,0.6010972803153822
InvestIneff,failure_cost_pre,ok,22884,397,2.612778285821706,0.2707960991630766,16.735445001821496,0.0008010296035508223,0.0003479670086446216,0.9780379278186648,0.006865292397389437,0.6682661134335559,-0.011728345847302313,0.5157133285267808
EarnQualAbs,private_highlev_pre,ok,25078,403,65.62601785138425,5.616830120157617e-15,76.3954947039054,1.8196180071311512e-16,0.001739940497570956,0.5587978732411689,0.006080397665368104,0.18308965187819481,0.0014670326394347415,0.7685614604247242
NCSKEW,private_pre,ok,26541,406,15.144879525398347,0.0005144358149793128,22.220160753552566,5.869979916372312e-05,-0.035911188888343305,0.4360368507658643,-0.14518239993520907,0.13516079861178976,-0.2068692219090142,0.016369131749956356
EarnQualAbs,high_lev_pre,ok,25078,403,8.58681176371663,0.013658327339539488,12.454483293999573,0.005977904420660482,0.003199323657279905,0.3848750400807923,0.005462198342380941,0.2970951875725234,0.003130127644838574,0.4232567562060763
DUVOL,private_pre,ok,26541,406,6.342439865241303,0.0419523875870972,6.677786086184058,0.08290866963599428,-0.02891578170237455,0.3427172648969672,-0.09092057454911522,0.10414443308582233,-0.11507976903442758,0.006460370993022435
NCSKEW,high_lev_pre,ok,26541,406,0.7595181480883031,0.6840261890251078,0.8047518400885427,0.848330121529404,0.02801280005196913,0.7220460554179056,0.13968723888558462,0.005664741110686489,0.0825508568021372,0.017440826133439113
DUVOL,high_lev_pre,ok,26541,406,0.4127034785032738,0.8135468695837275,0.4495479450839169,0.9298271570622976,-0.000665003706111036,0.9829215730886429,0.0623319744818281,0.03299207033439577,0.04533571498891012,0.040414974297272366
InvestIneff,natural_highlev_pre,ok,22884,397,14.042176916378336,0.0008928531304554193,20.906585669149756,0.00011008496947530377,-0.009280371144172718,0.026285919847772732,-0.004687138649956061,0.2786653270738917,-0.009111376076503877,0.09397151310374952
CustHHI,high_lev_pre,ok,18164,370,0.3278482602651236,0.8488064182677378,0.7459591194244307,0.8623442800131551,-0.239612392235768,0.6257661833203529,-1.0225537332398111,0.010411058830036346,-0.4139943139429209,0.5828481946513471
