outcome,exposure,event,rel_year,term,status,coef,se_city_cluster,t,p,ci_low,ci_high,sig,n_input,treated_exposure_obs,clusters_city
short_liab_ratio,high_lev_pre,<=-4,-4,es_lead4m_high_lev_pre,ok,0.013694498192276264,0.02462089677532277,0.5562144351298404,0.5785520111929277,-0.03479169406653279,0.06218069045108532,,26541,622,406
short_liab_ratio,high_lev_pre,-3,-3,es_lead3_high_lev_pre,ok,0.0067225701006381235,0.014138120668562192,0.4754924829285525,0.6348430445991675,-0.021119780369764744,0.03456492057104099,,26541,240,406
short_liab_ratio,high_lev_pre,-2,-2,es_lead2_high_lev_pre,ok,0.014088439052761002,0.010680772638136906,1.3190468077615132,0.18833671866703283,-0.006945319397678059,0.03512219750320006,,26541,229,406
short_liab_ratio,high_lev_pre,0,0,es_event0_high_lev_pre,ok,0.03419064723899236,0.016676162963598397,2.050270635614769,0.04136052905443455,0.0013501032502503882,0.06703119122773432,**,26541,218,406
short_liab_ratio,high_lev_pre,+1,1,es_lag1_high_lev_pre,ok,0.029206952168457995,0.014101000255455834,2.0712681114346836,0.039339649325405235,0.0014377033199426473,0.056976201016973343,**,26541,216,406
short_liab_ratio,high_lev_pre,>=+2,2,es_lag2p_high_lev_pre,ok,0.050063159540119695,0.01204134375765781,4.157605708107249,4.395605840934458e-05,0.02635001400297657,0.07377630507726282,***,26541,161,406
short_liab_ratio,private_highlev_pre,<=-4,-4,es_lead4m_private_highlev_pre,ok,-0.006035272157205023,0.010560607029153582,-0.5714891332045655,0.568171491156128,-0.026832387203740857,0.014761842889330813,,26541,409,406
short_liab_ratio,private_highlev_pre,-3,-3,es_lead3_private_highlev_pre,ok,-0.0111882781755996,0.00881460284781528,-1.2692889706735502,0.20549526139936747,-0.02854696873282503,0.006170412381625828,,26541,168,406
short_liab_ratio,private_highlev_pre,-2,-2,es_lead2_private_highlev_pre,ok,-0.005333125340659293,0.005500938032055613,-0.9694938044350936,0.33321752070017174,-0.01616618075127183,0.0054999300699532455,,26541,157,406
short_liab_ratio,private_highlev_pre,0,0,es_event0_private_highlev_pre,ok,0.031490304911914756,0.015669125436028816,2.009704054031471,0.04551595296862243,0.0006329305704503574,0.062347679253379154,**,26541,147,406
short_liab_ratio,private_highlev_pre,+1,1,es_lag1_private_highlev_pre,ok,0.025755688067168183,0.018579925140603783,1.3862105402611549,0.1668935101218696,-0.010833954899229604,0.06234533103356597,,26541,145,406
short_liab_ratio,private_highlev_pre,>=+2,2,es_lag2p_private_highlev_pre,ok,0.04637265783655435,0.009062304228305463,5.117093475157526,6.109717307634099e-07,0.028526166332563364,0.06421914934054535,***,26541,118,406
short_liab_ratio,natural_highlev_pre,<=-4,-4,es_lead4m_natural_highlev_pre,ok,-0.00946418046036344,0.010637163688562235,-0.8897278200710531,0.3744506499804645,-0.03041205934546508,0.011483698424738202,,26541,400,406
short_liab_ratio,natural_highlev_pre,-3,-3,es_lead3_natural_highlev_pre,ok,-0.011130688531004051,0.009610592881474006,-1.1581687694273555,0.2478787244789986,-0.030056930675008225,0.007795553613000125,,26541,165,406
short_liab_ratio,natural_highlev_pre,-2,-2,es_lead2_natural_highlev_pre,ok,-0.0060283888270372885,0.005404956525855903,-1.1153445542436924,0.26575279858124357,-0.016672426842980693,0.004615649188906116,,26541,155,406
short_liab_ratio,natural_highlev_pre,0,0,es_event0_natural_highlev_pre,ok,0.02787166234371348,0.016216942717083398,1.718675513008544,0.08688714920001273,-0.0040645343596777544,0.059807859047104714,*,26541,145,406
short_liab_ratio,natural_highlev_pre,+1,1,es_lag1_natural_highlev_pre,ok,0.021219474922347454,0.01902503787310058,1.1153446875577357,0.26575274158313933,-0.016246733252930735,0.058685683097625646,,26541,142,406
short_liab_ratio,natural_highlev_pre,>=+2,2,es_lag2p_natural_highlev_pre,ok,0.040440611000298395,0.006872666943946561,5.884267538370741,1.2521521819408576e-08,0.02690619534453128,0.05397502665606551,***,26541,113,406
Lev,high_lev_pre,<=-4,-4,es_lead4m_high_lev_pre,ok,0.01679545707665871,0.009138283614635442,1.8379225010876115,0.06723708109918047,-0.0012006614359225572,0.03479157558923998,*,26541,622,406
Lev,high_lev_pre,-3,-3,es_lead3_high_lev_pre,ok,0.028987679402445052,0.007106413289385258,4.079087188152076,6.0491260815753733e-05,0.01499294459794189,0.04298241420694821,***,26541,240,406
Lev,high_lev_pre,-2,-2,es_lead2_high_lev_pre,ok,0.008100631745868092,0.009380799202451402,0.8635332204692352,0.3886558460822447,-0.010373075277152337,0.026574338768888518,,26541,229,406
Lev,high_lev_pre,0,0,es_event0_high_lev_pre,ok,-0.00996534361947239,0.007049857782120828,-1.413552432893829,0.1587129364995672,-0.023848703065736526,0.003918015826791748,,26541,218,406
Lev,high_lev_pre,+1,1,es_lag1_high_lev_pre,ok,-0.02366035942219705,0.008077419347923864,-2.929197854297173,0.003706016240145882,-0.03956730672116789,-0.007753412123226208,***,26541,216,406
Lev,high_lev_pre,>=+2,2,es_lag2p_high_lev_pre,ok,-0.03296206443026625,0.012430450575832069,-2.6517191978827235,0.008510095621298897,-0.05744148213724033,-0.00848264672329217,***,26541,161,406
Lev,private_highlev_pre,<=-4,-4,es_lead4m_private_highlev_pre,ok,0.001229174285742347,0.013095256988492787,0.09386408276083937,0.9252908346289468,-0.024559453716588017,0.02701780228807271,,26541,409,406
Lev,private_highlev_pre,-3,-3,es_lead3_private_highlev_pre,ok,0.016198146931815694,0.013608221665853001,1.1903206259831562,0.23502735052808243,-0.010600667831599419,0.042996961695230804,,26541,168,406
Lev,private_highlev_pre,-2,-2,es_lead2_private_highlev_pre,ok,0.001756444586077976,0.015164465559009518,0.11582634279085666,0.907881332796044,-0.02810709772539352,0.031619986897549475,,26541,157,406
Lev,private_highlev_pre,0,0,es_event0_private_highlev_pre,ok,-0.013649850917031178,0.005571388388074605,-2.4499909118251906,0.014958919845044605,-0.024621644958401558,-0.0026780568756608007,**,26541,147,406
Lev,private_highlev_pre,+1,1,es_lag1_private_highlev_pre,ok,-0.02845964645400095,0.009408579162028063,-3.024861242477588,0.0027416361866008376,-0.046988060845045684,-0.009931232062956218,***,26541,145,406
Lev,private_highlev_pre,>=+2,2,es_lag2p_private_highlev_pre,ok,-0.026457152848886396,0.008937190523239397,-2.960343385327839,0.0033624142370831667,-0.044057256611057784,-0.008857049086715009,***,26541,118,406
Lev,natural_highlev_pre,<=-4,-4,es_lead4m_natural_highlev_pre,ok,-0.001513200316658351,0.011459524511946347,-0.13204739124043646,0.8950509367190351,-0.02408056306348021,0.021054162430163507,,26541,400,406
Lev,natural_highlev_pre,-3,-3,es_lead3_natural_highlev_pre,ok,0.01458352912917946,0.01190479129723435,1.2250134223325209,0.2217005139247743,-0.008860702204312836,0.038027760462671756,,26541,165,406
Lev,natural_highlev_pre,-2,-2,es_lead2_natural_highlev_pre,ok,0.0011288940151201396,0.014633470083861741,0.07714465595997767,0.9385689629574767,-0.02768895329460075,0.029946741324841028,,26541,155,406
Lev,natural_highlev_pre,0,0,es_event0_natural_highlev_pre,ok,-0.012712461799788473,0.0056756738833146254,-2.2398154053848356,0.025965032139763533,-0.02388962636921698,-0.0015352972303599634,**,26541,145,406
Lev,natural_highlev_pre,+1,1,es_lag1_natural_highlev_pre,ok,-0.025266154640492616,0.01049777940337448,-2.4068094469932264,0.016804124851351077,-0.04593954257950314,-0.004592766701482096,**,26541,142,406
Lev,natural_highlev_pre,>=+2,2,es_lag2p_natural_highlev_pre,ok,-0.019601273349733335,0.006215397896430066,-3.1536634784060578,0.0018054707638561762,-0.031841322122991504,-0.007361224576475166,***,26541,113,406
InvestIneff,natural_pre,<=-4,-4,es_lead4m_natural_pre,ok,-0.010933067577099314,0.009492980298090533,-1.1517002283569941,0.25057614239340653,-0.02963209710456038,0.007765961950361753,,22884,620,397
InvestIneff,natural_pre,-3,-3,es_lead3_natural_pre,ok,-0.018458018837313923,0.007048653051689575,-2.618659012148357,0.009382477246418164,-0.032342275140772536,-0.004573762533855309,***,22884,258,397
InvestIneff,natural_pre,-2,-2,es_lead2_natural_pre,ok,-0.009719437165336109,0.011078005017885074,-0.8773634918601677,0.38115582058568287,-0.03154060780196554,0.012101733471293325,,22884,312,397
InvestIneff,natural_pre,0,0,es_event0_natural_pre,ok,0.005893975926873893,0.006675081429971388,0.882981876507109,0.3781187409337641,-0.007254428561266514,0.0190423804150143,,22884,340,397
InvestIneff,natural_pre,+1,1,es_lag1_natural_pre,ok,0.003250916570540447,0.01177653259438848,0.2760504031627704,0.7827439770043338,-0.01994619580078429,0.026448028941865185,,22884,341,397
InvestIneff,natural_pre,>=+2,2,es_lag2p_natural_pre,ok,-0.006441564682418288,0.010466703132235114,-0.6154339720001901,0.5388441141670075,-0.027058608516818874,0.014175479151982296,,22884,276,397
InvestIneff,failure_cost_pre,<=-4,-4,es_lead4m_failure_cost_pre,ok,-0.039933800817652375,0.01506630026967468,-2.6505379623974963,0.008564259657740658,-0.06961101332265558,-0.010256588312649164,***,22884,819,397
InvestIneff,failure_cost_pre,-3,-3,es_lead3_failure_cost_pre,ok,-0.012456435952363534,0.012847140135466659,-0.9695882368384445,0.33321584564151197,-0.037762403645653926,0.012849531740926859,,22884,328,397
