outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,weak_proxy,coef_strict,p_strict,sig_strict,n_strict,treated_x_obs_strict,clusters_city_strict,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p,decision,note
LossDummy,natural_pre,main_fe,ok,0.05787611700346496,0.01946837668890922,2.97282705837698,0.0032330795557578007,***,26541,997,406,0.15621114502091105,False,0.030639391923498384,0.14613053164699408,,26541,997,406,0.05650405983981187,8.511744073272673e-05,0.02217450266395592,0.3815155288470313,0.011184150982842839,0.8440658490843089,-0.01050169326974817,0.7820489263586499,base_only,只有基准显著，不能直接写。
LossDummy,failure_cost_pre,main_fe,ok,0.07328387974525238,0.021150548759202435,3.464868953500185,0.0006221892862874334,***,26541,1210,406,0.15621114502091105,False,0.04781968815773768,0.08419216160424092,*,26541,1210,406,0.11375323303968554,0.00024768398204963595,-0.0038543803468895216,0.9251900714267549,0.008108661946394098,0.8863557822724875,-0.03996868715914767,0.3837351165626042,candidate,基准、ExposureGroup-Year FE 与近端前趋势同时过关，可进入下一轮。
LossDummy,high_lev_pre,main_fe,ok,0.0164452900074427,0.017320812072230265,0.9494525971913723,0.3432894291231312,,26541,595,406,0.15621114502091105,False,-0.01236127315041145,0.5017838102993237,,26541,595,406,,,,,,,,,no_signal,当前本地数据下没有可用信号。
LossDummy,natural_highlev_pre,main_fe,ok,0.044802549183776075,0.013279120042254773,3.373909494093908,0.0008564290420109977,***,26541,400,406,0.15621114502091105,False,-0.004174055869352122,0.8043545592581047,,26541,400,406,0.017454414663278402,0.03618212798264611,-0.04227642263594225,0.2728276904568794,-0.005849786040214652,0.8587204266001129,0.009295082268384124,0.7600840099908299,base_only,只有基准显著，不能直接写。
LossDummy,private_highlev_pre,main_fe,ok,0.04062710577238354,0.015535802737712429,2.6150631839424143,0.009452467125337316,***,26541,410,406,0.15621114502091105,False,-0.007883035219450824,0.6949653859882239,,26541,410,406,0.016732876887819395,0.03368633987085377,-0.03457798362676543,0.4629872981631866,-0.009714921387957515,0.7731117272339201,-0.03096602084329526,0.40155336855560675,base_only,只有基准显著，不能直接写。
LossMagnitude,natural_pre,main_fe,ok,0.002923143891893351,0.0016802646653222,1.7396925331003268,0.08311959120291235,*,26541,997,406,0.01306470633949614,False,0.0026407628622352594,0.18912865815497892,,26541,997,406,,,,,,,,,base_only,只有基准显著，不能直接写。
LossMagnitude,failure_cost_pre,main_fe,ok,0.0035288938302523902,0.0028545651120143135,1.2362281789964984,0.2175112432254851,,26541,1210,406,0.01306470633949614,False,0.0013391732923650555,0.6514080637463517,,26541,1210,406,,,,,,,,,no_signal,当前本地数据下没有可用信号。
LossMagnitude,high_lev_pre,main_fe,ok,0.003282787649898338,0.0011871314106678946,2.7653110855279297,0.00610242442744835,***,26541,595,406,0.01306470633949614,False,0.00032216793202023225,0.8520766299762921,,26541,595,406,0.0042569450107841885,0.00036851135466373314,-0.004440121520592244,0.29179750204282673,-0.0030520454249197393,0.4320679896215447,-0.0028607883852882128,0.4883846257375981,base_only,只有基准显著，不能直接写。
LossMagnitude,natural_highlev_pre,main_fe,ok,0.004273526680550515,0.0016028465439233645,2.6662107465946168,0.008161470483248001,***,26541,400,406,0.01306470633949614,False,0.00042318644113283256,0.8392181283420075,,26541,400,406,0.0086170211014905,0.021013761504336998,-0.003372588617235881,0.5159955783063275,-0.0015475389395767157,0.6565811951623064,-0.0022423699096757984,0.6334799097203936,base_only,只有基准显著，不能直接写。
LossMagnitude,private_highlev_pre,main_fe,ok,0.004664084115316309,0.0017289360511738908,2.6976614387498885,0.007448715423766572,***,26541,410,406,0.01306470633949614,False,0.0008440766221258532,0.7061269463841664,,26541,410,406,0.0017271683932980244,0.003247991683216464,-0.0024365815523921435,0.6510574028415559,-0.0005080211375003796,0.8913211008974031,-0.002562922266863528,0.5952794072297867,base_only,只有基准显著，不能直接写。
