outcome,exposure,status,n_input,clusters_city,near_leads_chi2,near_leads_p,all_leads_chi2,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p
ConservAccrual,natural_pre,ok,26541,406,3.433213273742253,0.17967481650816858,3.590288535709984,0.309239414998189,0.0013194431594438678,0.8245949817400078,0.010533215352591364,0.32083197260704255,0.004046020650650488,0.6507085387657061
NegAccrual,natural_pre,ok,26541,406,1.8444584593517606,0.3976316400895338,1.9121164381778053,0.5908460727119726,0.004450370017583155,0.25748198928199306,0.0064763050434320565,0.37319505885356863,-0.0009351292810126275,0.871595052607095
ConservAccrual,failure_cost_pre,ok,26541,406,2.0542806287467403,0.35802934940147707,2.1019372398563156,0.5515209459544397,-0.009415821913976495,0.48644978443586684,0.011061143782794046,0.46625183065988907,0.0017628783865884243,0.9078591294964364
LossDummy,failure_cost_pre,ok,26541,406,4.3474475984561565,0.11375323303968554,19.207424811984296,0.00024768398204963595,-0.0038543803468895216,0.9251900714267549,0.008108661946394098,0.8863557822724875,-0.03996868715914767,0.3837351165626042
NegAccrual,failure_cost_pre,ok,26541,406,1.3462858203377406,0.5101028483473776,2.1740283932615703,0.5370820679391677,0.0006218062342300197,0.9423313881057258,0.009646867565944428,0.2838197518814556,-0.0008080013770273194,0.9356723583391973
LossDummy,natural_highlev_pre,ok,26541,406,8.09632534606095,0.017454414663278402,8.53345606341607,0.03618212798264611,-0.04227642263594225,0.2728276904568794,-0.005849786040214652,0.8587204266001129,0.009295082268384124,0.7600840099908299
LossDummy,natural_pre,ok,26541,406,5.746885575678677,0.05650405983981187,21.44430806760222,8.511744073272673e-05,0.02217450266395592,0.3815155288470313,0.011184150982842839,0.8440658490843089,-0.01050169326974817,0.7820489263586499
LossMagnitude,high_lev_pre,ok,26541,406,10.918407019165818,0.0042569450107841885,18.372455169311294,0.00036851135466373314,-0.004440121520592244,0.29179750204282673,-0.0030520454249197393,0.4320679896215447,-0.0028607883852882128,0.4883846257375981
ConservAccrual,private_highlev_pre,ok,26541,406,1.2739723631829667,0.5288839847901476,3.8673897123644463,0.276144283344667,0.001613089710845872,0.8725501275942249,0.005950279340213658,0.5237940734170548,-0.003836076857514107,0.7239598773856684
LossMagnitude,private_highlev_pre,ok,26541,406,12.722543956637093,0.0017271683932980244,13.761794670918995,0.003247991683216464,-0.0024365815523921435,0.6510574028415559,-0.0005080211375003796,0.8913211008974031,-0.002562922266863528,0.5952794072297867
LossMagnitude,natural_highlev_pre,ok,26541,406,9.508031667813023,0.0086170211014905,9.729225695897313,0.021013761504336998,-0.003372588617235881,0.5159955783063275,-0.0015475389395767157,0.6565811951623064,-0.0022423699096757984,0.6334799097203936
LossDummy,private_highlev_pre,ok,26541,406,8.180759637889917,0.016732876887819395,8.691517474072686,0.03368633987085377,-0.03457798362676543,0.4629872981631866,-0.009714921387957515,0.7731117272339201,-0.03096602084329526,0.40155336855560675
