sample,outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign
all,risk_quality_index,natural_pre,main_fe,ok,-0.028084852157127915,0.033243919483366954,-0.8448117007135608,0.3990079014742087,,26541,997,406,-0.01877951288985768,1
all,risk_quality_index,natural_pre,plus_exposure_group_year_fe,ok,-0.06612164050061504,0.03633380218748384,-1.8198381815210198,0.06995607252735736,*,26541,997,406,-0.01877951288985768,1
all,risk_quality_index,failure_cost_pre,main_fe,ok,0.035886207978254724,0.062201105327728545,0.5769384288136928,0.5644900162951445,,26541,1210,406,-0.01877951288985768,1
all,risk_quality_index,failure_cost_pre,plus_exposure_group_year_fe,ok,0.007147625928900125,0.06691271516140636,0.10682014489561026,0.9150156555101261,,26541,1210,406,-0.01877951288985768,1
all,risk_quality_index,private_pre,main_fe,ok,-0.027264344381624884,0.025116443748213264,-1.0855177052509442,0.27871756402485404,,26541,972,406,-0.01877951288985768,1
all,risk_quality_index,private_pre,plus_exposure_group_year_fe,ok,-0.058721264411563175,0.03296589395192955,-1.781273230363168,0.07605803473300843,*,26541,972,406,-0.01877951288985768,1
all,risk_quality_index,high_lev_pre,main_fe,ok,0.06732632713418216,0.033116642993676615,2.0330057955160985,0.04308779397334206,**,26541,595,406,-0.01877951288985768,1
all,risk_quality_index,high_lev_pre,plus_exposure_group_year_fe,ok,0.062178794586857884,0.035529962127163854,1.750038301879306,0.08131448617891746,*,26541,595,406,-0.01877951288985768,1
all,risk_quality_index,natural_highlev_pre,main_fe,ok,0.02357115621397878,0.04430698977127649,0.5319963359203332,0.595191716240417,,26541,400,406,-0.01877951288985768,1
all,risk_quality_index,natural_highlev_pre,plus_exposure_group_year_fe,ok,-0.0067674164857718455,0.04415834211374263,-0.15325340947675073,0.8783196437718579,,26541,400,406,-0.01877951288985768,1
all,risk_quality_index,private_highlev_pre,main_fe,ok,0.04169937849940155,0.04076375030859925,1.0229524561336774,0.3072997866325804,,26541,410,406,-0.01877951288985768,1
all,risk_quality_index,private_highlev_pre,plus_exposure_group_year_fe,ok,0.01783405643376662,0.04328231061936477,0.4120403041927146,0.680656036826508,,26541,410,406,-0.01877951288985768,1
all,risk_specificity_index,natural_pre,main_fe,ok,-0.039788341967845656,0.03840987325625269,-1.0358883952153777,0.3012355461548504,,26541,997,406,-0.0117264300983227,1
all,risk_specificity_index,natural_pre,plus_exposure_group_year_fe,ok,-0.06452832594126143,0.03971832062336106,-1.624648900772202,0.10547273826541592,,26541,997,406,-0.0117264300983227,1
all,risk_specificity_index,failure_cost_pre,main_fe,ok,0.02206970056864407,0.06151867770383899,0.35874796716033513,0.7200804821979738,,26541,1210,406,-0.0117264300983227,1
all,risk_specificity_index,failure_cost_pre,plus_exposure_group_year_fe,ok,0.008992615884169917,0.06533791698711011,0.13763242384883473,0.8906395414695831,,26541,1210,406,-0.0117264300983227,1
all,risk_specificity_index,private_pre,main_fe,ok,-0.04758396610483204,0.03170403701030461,-1.5008803481198956,0.1346236777947769,,26541,972,406,-0.0117264300983227,1
all,risk_specificity_index,private_pre,plus_exposure_group_year_fe,ok,-0.06787315167986105,0.03565252513942784,-1.9037403778393434,0.058069759757637396,*,26541,972,406,-0.0117264300983227,1
all,risk_specificity_index,high_lev_pre,main_fe,ok,0.07812482291708223,0.02842446832650382,2.7485060413332807,0.006414521387628103,***,26541,595,406,-0.0117264300983227,1
all,risk_specificity_index,high_lev_pre,plus_exposure_group_year_fe,ok,0.07372373890715707,0.03281825504822013,2.2464247047514925,0.02553304168686643,**,26541,595,406,-0.0117264300983227,1
all,risk_specificity_index,natural_highlev_pre,main_fe,ok,0.015354005422869877,0.035146376937103437,0.43685883897355327,0.6625834200891105,,26541,400,406,-0.0117264300983227,1
all,risk_specificity_index,natural_highlev_pre,plus_exposure_group_year_fe,ok,-0.008420192233707671,0.03750227907116722,-0.22452481401807248,0.8225287631542841,,26541,400,406,-0.0117264300983227,1
all,risk_specificity_index,private_highlev_pre,main_fe,ok,0.027860844604797215,0.03278229222511989,0.8498748169735505,0.3961919127656035,,26541,410,406,-0.0117264300983227,1
all,risk_specificity_index,private_highlev_pre,plus_exposure_group_year_fe,ok,0.0088864417110245,0.03642075170145771,0.24399391269754672,0.8074317269403433,,26541,410,406,-0.0117264300983227,1
all,risk_chars_ln,natural_pre,main_fe,ok,0.19282110790081786,0.12563559353493484,1.5347649696676213,0.12608134311011376,,26541,997,406,5.131732949998318,1
all,risk_chars_ln,natural_pre,plus_exposure_group_year_fe,ok,0.028135869952114808,0.13631302862668107,0.20640631519654803,0.8366382445368541,,26541,997,406,5.131732949998318,1
all,risk_chars_ln,failure_cost_pre,main_fe,ok,0.33362045679108204,0.22588026545994586,1.4769792133533737,0.14091511618433716,,26541,1210,406,5.131732949998318,1
all,risk_chars_ln,failure_cost_pre,plus_exposure_group_year_fe,ok,0.1783816394466933,0.22407567876478093,0.7960776485427762,0.4267273718295006,,26541,1210,406,5.131732949998318,1
all,risk_chars_ln,private_pre,main_fe,ok,0.2132103682709163,0.08968224473596918,2.3773977658411938,0.018173340760413437,**,26541,972,406,5.131732949998318,1
all,risk_chars_ln,private_pre,plus_exposure_group_year_fe,ok,0.08080151004801542,0.10636251372240924,0.7596803349241601,0.44814741722182383,,26541,972,406,5.131732949998318,1
all,risk_chars_ln,high_lev_pre,main_fe,ok,0.10945978733322012,0.09128449430166923,1.199106027486845,0.23159978536828474,,26541,595,406,5.131732949998318,1
all,risk_chars_ln,high_lev_pre,plus_exposure_group_year_fe,ok,0.07731046316388993,0.10202405020012312,0.7577670462233486,0.4492901446581319,,26541,595,406,5.131732949998318,1
all,risk_chars_ln,natural_highlev_pre,main_fe,ok,0.1676364992702955,0.11954690672018405,1.4022654694250831,0.16205216126828814,,26541,400,406,5.131732949998318,1
all,risk_chars_ln,natural_highlev_pre,plus_exposure_group_year_fe,ok,0.05278349214423874,0.1222535372900855,0.43175431414301796,0.6662848114628184,,26541,400,406,5.131732949998318,1
