sample,outcome,exposure,event,rel_year,coef,se_city_cluster,p,sig
all,has_risk_text,private_pre,<=-4,-4,0.005515843299543361,0.03834627145589752,0.8857380440487486,
all,has_risk_text,private_pre,-3,-3,0.02035675610932701,0.023710835214866666,0.3913993398113269,
all,has_risk_text,private_pre,-2,-2,0.03262155650155682,0.030746422214537696,0.2896996233678757,
all,has_risk_text,private_pre,0,0,0.08147726796573383,0.025369594169579672,0.0014894991067360142,***
all,has_risk_text,private_pre,+1,1,0.06384175097194021,0.023981383044512024,0.008258126674990374,***
all,has_risk_text,private_pre,>=+2,2,0.04659560234827289,0.05286257705978786,0.378905557534005,
nonfinancial,has_risk_text,private_pre,<=-4,-4,0.005515843299543361,0.03834627145589752,0.8857380440487486,
nonfinancial,has_risk_text,private_pre,-3,-3,0.02035675610932701,0.023710835214866666,0.3913993398113269,
nonfinancial,has_risk_text,private_pre,-2,-2,0.03262155650155682,0.030746422214537696,0.2896996233678757,
nonfinancial,has_risk_text,private_pre,0,0,0.08147726796573383,0.025369594169579672,0.0014894991067360142,***
nonfinancial,has_risk_text,private_pre,+1,1,0.06384175097194021,0.023981383044512024,0.008258126674990374,***
nonfinancial,has_risk_text,private_pre,>=+2,2,0.04659560234827289,0.05286257705978786,0.378905557534005,
all,has_risk_text,private_highlev_pre,<=-4,-4,0.002446227238786979,0.04145274520698381,0.952988426597696,
all,has_risk_text,private_highlev_pre,-3,-3,0.005713815060239318,0.02176920853161646,0.7931692291924151,
all,has_risk_text,private_highlev_pre,-2,-2,0.021459471867506817,0.01839746722134919,0.2445278501542767,
all,has_risk_text,private_highlev_pre,0,0,0.06877162815200062,0.012453854617641893,8.243279769892808e-08,***
all,has_risk_text,private_highlev_pre,+1,1,0.04306795699762509,0.022107795437963415,0.052501419584150666,*
all,has_risk_text,private_highlev_pre,>=+2,2,0.053357836222241536,0.02593656186148415,0.04067979128776722,**
nonfinancial,has_risk_text,private_highlev_pre,<=-4,-4,0.002446227238786979,0.04145274520698381,0.952988426597696,
nonfinancial,has_risk_text,private_highlev_pre,-3,-3,0.005713815060239318,0.02176920853161646,0.7931692291924151,
nonfinancial,has_risk_text,private_highlev_pre,-2,-2,0.021459471867506817,0.01839746722134919,0.2445278501542767,
nonfinancial,has_risk_text,private_highlev_pre,0,0,0.06877162815200062,0.012453854617641893,8.243279769892808e-08,***
nonfinancial,has_risk_text,private_highlev_pre,+1,1,0.04306795699762509,0.022107795437963415,0.052501419584150666,*
nonfinancial,has_risk_text,private_highlev_pre,>=+2,2,0.053357836222241536,0.02593656186148415,0.04067979128776722,**
all,risk_specificity_index,high_lev_pre,<=-4,-4,0.004183399434361906,0.055488381176777624,0.9399616585378483,
all,risk_specificity_index,high_lev_pre,-3,-3,-0.023003877111723185,0.07952318788287176,0.7726078436478698,
all,risk_specificity_index,high_lev_pre,-2,-2,-0.019462697023454344,0.03374293219981385,0.5645879174572741,
all,risk_specificity_index,high_lev_pre,0,0,0.043005707389111414,0.026669371691690844,0.10807910041426161,
all,risk_specificity_index,high_lev_pre,+1,1,0.07878801589336577,0.02732885029054581,0.004275575431466061,***
all,risk_specificity_index,high_lev_pre,>=+2,2,0.10755967705619979,0.053757650717882244,0.046471186466199965,**
nonfinancial,risk_specificity_index,high_lev_pre,<=-4,-4,0.004183399434361906,0.055488381176777624,0.9399616585378483,
nonfinancial,risk_specificity_index,high_lev_pre,-3,-3,-0.023003877111723185,0.07952318788287176,0.7726078436478698,
nonfinancial,risk_specificity_index,high_lev_pre,-2,-2,-0.019462697023454344,0.03374293219981385,0.5645879174572741,
nonfinancial,risk_specificity_index,high_lev_pre,0,0,0.043005707389111414,0.026669371691690844,0.10807910041426161,
nonfinancial,risk_specificity_index,high_lev_pre,+1,1,0.07878801589336577,0.02732885029054581,0.004275575431466061,***
nonfinancial,risk_specificity_index,high_lev_pre,>=+2,2,0.10755967705619979,0.053757650717882244,0.046471186466199965,**
all,risk_chars_ln,private_pre,<=-4,-4,0.06463679447888565,0.2034754441586137,0.7509998953901511,
all,risk_chars_ln,private_pre,-3,-3,0.0978316367217993,0.13969785172219223,0.4843729120067439,
all,risk_chars_ln,private_pre,-2,-2,0.1373541133896634,0.19783391547068982,0.4881323887522082,
all,risk_chars_ln,private_pre,0,0,0.39766835170717507,0.13691713030069674,0.004001665358899675,***
all,risk_chars_ln,private_pre,+1,1,0.2637836214786888,0.14993739509005236,0.07972720091379437,*
all,risk_chars_ln,private_pre,>=+2,2,0.12207549375492842,0.29471666686424586,0.6790662758416803,
nonfinancial,risk_chars_ln,private_pre,<=-4,-4,0.06463679447888565,0.2034754441586137,0.7509998953901511,
