sample,outcome,exposure,status,n_input,clusters_city,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p
all,risk_debt_per10k,natural_pre,ok,26541,406,0.3172423143302541,0.4091207992926298,2.1327804592254402,0.22128929228519767,-0.18564608388242365,0.8844673426009462,1.3542216192719934,0.0994147961721743
all,risk_debt_per10k,failure_cost_pre,ok,26541,406,0.6874284538958968,0.861128905096945,2.527586767089237,0.27658932171686756,0.8316646669581119,0.630909401911603,3.39260280221237,0.017145403361590095
all,risk_debt_per10k,high_lev_pre,ok,26541,406,0.47757430328211725,0.6795535055448145,0.33142995242182555,0.39539349607218277,1.7804433479082324,0.06732095577381858,3.1460029047065445,0.0041907958384599375
all,risk_debt_per10k,natural_highlev_pre,ok,26541,406,0.5089246578228599,0.31082687882023935,1.640841112972277,0.18002637532088972,1.2641439454325134,0.46600412066303165,3.529308304706964,0.0018527548645277392
all,risk_debt_per10k,private_pre,ok,26541,406,0.09849194774515471,0.00848859746754892,0.4727415245607888,0.5347470238782832,-1.4246258812430348,0.2771815996215685,0.6233335370130841,0.481406842386209
all,risk_debt_per10k,private_highlev_pre,ok,26541,406,0.20999731236353159,0.3512142500383676,0.0674046784393384,0.9024760421096096,0.6488794795993168,0.6513129065611691,3.4558232888199103,0.0033763685487659956
all,risk_quality_index,natural_pre,ok,26541,406,0.21501990682127192,0.32728102006481397,-0.026553321785445033,0.6111738528648885,-0.0502115484553696,0.35137752281430656,-0.04272802097000988,0.35691653585129846
all,risk_quality_index,failure_cost_pre,ok,26541,406,0.8791267665255811,0.9445948779835874,0.04431536272924174,0.5145132368763408,0.01154051415220538,0.8479094093167521,0.021721919161961555,0.6794254929458714
all,risk_quality_index,high_lev_pre,ok,26541,406,0.9438882495269764,0.8908964131140799,0.04660043247082813,0.15451653751535543,0.07547558574862222,0.10516014381811178,0.10172449739930452,0.05040856443861985
all,risk_quality_index,natural_highlev_pre,ok,26541,406,0.1596043619371281,0.17257130091971193,0.01683183200709513,0.6113256320393945,0.00941742509710577,0.8305084219948982,0.059701205091731,0.2625738572947749
all,risk_quality_index,private_pre,ok,26541,406,0.09719447771413367,0.12104420105161959,0.04605881981159585,0.4798944388954862,-0.013508122097007974,0.7758418934402009,-0.023896320241677156,0.5837555311999876
all,risk_quality_index,private_highlev_pre,ok,26541,406,0.3615508985084933,0.560824602517787,0.046386296894922886,0.06222882128918017,0.03869997146463662,0.36832359450847285,0.07837594781741967,0.11041003649573677
all,risk_specificity_index,natural_pre,ok,26541,406,0.02289359487386324,0.05475385158000615,-0.00930472677457655,0.8383702903797405,-0.04092077706233536,0.34770214698688395,-0.028093062805724822,0.48529058883281495
all,risk_specificity_index,failure_cost_pre,ok,26541,406,0.695355851215202,0.8638596222898776,0.05011693209077314,0.2833190025685661,0.014150873687427982,0.7479645054124378,0.057067936923835175,0.30461136428879154
all,risk_specificity_index,high_lev_pre,ok,26541,406,0.8452973569903937,0.70201857666719,0.043005707389111414,0.10807910041426161,0.07878801589336577,0.004275575431466061,0.10755967705619979,0.046471186466199965
all,risk_specificity_index,natural_highlev_pre,ok,26541,406,0.15043397884799453,0.035157734685068186,0.019741275070162795,0.4375723081729279,0.01120800548024596,0.7670825683768436,0.06958191924685524,0.27072524927343533
all,risk_specificity_index,private_pre,ok,26541,406,8.801759509760121e-05,9.318570558267753e-05,0.02704321937171804,0.579073028489665,-0.012658622790894435,0.6860948267087243,0.01703848008601959,0.7403251324456641
all,risk_specificity_index,private_highlev_pre,ok,26541,406,0.1546323878428666,0.2769374279391288,0.030314945633178537,0.15085950126715386,0.03277762277491133,0.34911601322275754,0.08516253908397675,0.1398594675566467
all,has_risk_text,natural_pre,ok,26541,406,0.65092780199384,0.0823070487632845,0.057696890976098064,0.008381710225025651,0.04540483467318368,0.03160296832945031,0.05285914102234786,0.28438581455343215
all,has_risk_text,failure_cost_pre,ok,26541,406,0.8832087796268749,0.5511516094751878,0.10934584361981206,0.0002730911446831019,0.07906585060269745,0.0006509189894752243,0.05178794456741931,0.3144470073632226
all,has_risk_text,high_lev_pre,ok,26541,406,0.728564612914621,0.6732457040458403,0.026603210099754665,0.02575405659842067,0.011816691917360138,0.44110812615804496,0.01762610291451394,0.7203143554418552
all,has_risk_text,natural_highlev_pre,ok,26541,406,0.5418195473903009,0.5697713997008333,0.05870006166741789,1.2022929027910578e-06,0.029851779722359063,0.17736089858945436,0.03704965094529408,0.14701169977306283
all,has_risk_text,private_pre,ok,26541,406,0.16706099047149134,0.20807827755726732,0.08147726796573383,0.0014894991067360142,0.06384175097194021,0.008258126674990374,0.04659560234827289,0.378905557534005
all,has_risk_text,private_highlev_pre,ok,26541,406,0.49724911819313566,0.6729961949651426,0.06877162815200062,8.243279769892808e-08,0.04306795699762509,0.052501419584150666,0.053357836222241536,0.04067979128776722
