outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign,coef_strict,p_strict,sig_strict,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p,decision,note
risk_verifiability_index,natural_pre,main_fe,ok,0.06730685968850626,0.05622076690169559,1.1971885727954437,0.2323448043476919,,26541,997,406,0.00042843997272751065,1,0.03511541853800497,0.540812208428157,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verifiability_index,failure_cost_pre,main_fe,ok,0.12191344228259705,0.05314491291280818,2.293981410461872,0.022605064217935178,**,26541,1210,406,0.00042843997272751065,1,0.11149591649586128,0.030222793108201973,**,0.0010342130121918864,0.0007068692045835831,0.08253325906192262,0.1404075132139737,0.041547924159369864,0.5401814092036243,0.19025186392951607,6.1026200312674916e-05,base_only,只有主规格方向显著，不能直接写。
risk_verifiability_index,high_lev_pre,main_fe,ok,0.06753182143775718,0.035268287331549415,1.9148029730762193,0.05663648783370001,*,26541,595,406,0.00042843997272751065,1,0.0642031030738149,0.08093206810439324,*,0.33692823375488146,0.4286133178500109,0.02623544919840792,0.2679889450319992,0.07350105420941179,0.007189372743846567,0.15959473581907216,0.01791219965063151,candidate,主规格、严格趋势控制和近端前趋势同时过关。
risk_verifiability_index,natural_highlev_pre,main_fe,ok,0.08521424123062236,0.04287225557774352,1.9876313966289203,0.047922041411285754,**,26541,400,406,0.00042843997272751065,1,0.049095416362755724,0.294310645432583,,0.023705255644745415,0.018158123513980617,0.02808363170668168,0.34190834062277675,0.04323547276433502,0.43113709654896937,0.18903549063512834,0.002888680826419021,base_only,只有主规格方向显著，不能直接写。
risk_verifiability_index,ar_np_guarantee_pre,main_fe,ok,-0.032293867531059145,0.04048395605966894,-0.7976954496112363,0.4257894295920299,,26541,444,406,0.00042843997272751065,1,-0.0509371194557385,0.22032686565101267,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verifiability_index,ar_controller_pledge_pre,main_fe,ok,0.05484623865622617,0.059859934469949506,0.91624287834394,0.3604051961165131,,26541,380,406,0.00042843997272751065,1,0.0534521657588397,0.38141120260609895,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verifiability_index,ar_np_liability_text_pre,main_fe,ok,0.004874725051744977,0.022487318223222096,0.2167766295365078,0.8285557544128084,,26541,686,406,0.00042843997272751065,1,-0.0072552371271341325,0.7782521947829502,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verifiability_index,ar_np_liability_index_pre,main_fe,ok,0.040417577893785354,0.051816211877635056,0.7800179987921968,0.43610367662188665,,26541,686,406,0.00042843997272751065,1,0.020016984518454895,0.7396537060658552,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,natural_pre,main_fe,ok,0.0026655264127289475,0.06460858468685168,0.04125653619636403,0.9671236666423868,,26541,997,406,0.005353335056477927,1,-0.008478726431942309,0.8974310159207306,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,failure_cost_pre,main_fe,ok,0.03105385566254158,0.05956913887542516,0.5213077819956977,0.6026048175597256,,26541,1210,406,0.005353335056477927,1,0.04845463577377231,0.463294182886413,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
