outcome,exposure,event,rel_year,coef,se_city_cluster,p,sig
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,<=-4,-4,-0.7510629220724471,0.511928604198507,0.14357445158986692,
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,-3,-3,-0.43324573461542526,0.4596549226058086,0.3468054660360689,
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,-2,-2,-0.10167350919268112,0.5378943427279739,0.8502264471149239,
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,0,0,-0.42359245797151246,0.647437109887132,0.5135336841198335,
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,+1,1,0.6192378597497012,0.1588843205190779,0.00012432965307418442,***
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,>=+2,2,0.6904857265374682,0.3093503803061951,0.026480650347590062,**
risk_verif_legal_process_per10k,natural_highlev_pre,<=-4,-4,-0.8953574624711007,1.0059855996884985,0.37428863350607333,
risk_verif_legal_process_per10k,natural_highlev_pre,-3,-3,-1.3021596579659214,0.5773369302758807,0.024952689212648815,**
risk_verif_legal_process_per10k,natural_highlev_pre,-2,-2,-0.798480917396191,0.6366028033530282,0.21088719314951399,
risk_verif_legal_process_per10k,natural_highlev_pre,0,0,-0.8547620655547326,0.46709421598696693,0.06842380967041573,*
risk_verif_legal_process_per10k,natural_highlev_pre,+1,1,0.1430202609796719,0.3659492655033696,0.6962566694301522,
risk_verif_legal_process_per10k,natural_highlev_pre,>=+2,2,1.742873682416219,0.9761411766241971,0.07537302398504031,*
risk_verifiability_index,failure_cost_pre,<=-4,-4,-0.029103244476401474,0.07264895416920382,0.6890493284773127,
risk_verifiability_index,failure_cost_pre,-3,-3,-0.12607698461844694,0.0751373498493436,0.09458129447295938,*
risk_verifiability_index,failure_cost_pre,-2,-2,0.02201097384531066,0.05640736001157378,0.6967036414943322,
risk_verifiability_index,failure_cost_pre,0,0,0.08253325906192262,0.05580807782371554,0.1404075132139737,
risk_verifiability_index,failure_cost_pre,+1,1,0.041547924159369864,0.06773762940058363,0.5401814092036243,
risk_verifiability_index,failure_cost_pre,>=+2,2,0.19025186392951607,0.046665753545751476,6.1026200312674916e-05,***
risk_verif_debt_distress_per10k,failure_cost_pre,<=-4,-4,0.5357733453300377,1.2636731545255575,0.6719371412341051,
risk_verif_debt_distress_per10k,failure_cost_pre,-3,-3,-0.18477901170404507,2.083673560294958,0.92940627514808,
risk_verif_debt_distress_per10k,failure_cost_pre,-2,-2,-0.5772012261903253,2.010487720068798,0.7742726346576698,
risk_verif_debt_distress_per10k,failure_cost_pre,0,0,1.770752820026813,1.1032419839525427,0.10972164446740873,
risk_verif_debt_distress_per10k,failure_cost_pre,+1,1,0.06336226045490241,1.3012925862911808,0.9612030366484814,
risk_verif_debt_distress_per10k,failure_cost_pre,>=+2,2,1.5108937137546443,1.1055282408577032,0.17293211701498157,
