outcome,exposure,status,n_input,clusters_city,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,ok,26541,406,0.5780410995245482,0.1535351251227346,-0.42359245797151246,0.5135336841198335,0.6192378597497012,0.00012432965307418442,0.6904857265374682,0.026480650347590062
risk_verif_legal_process_per10k,natural_highlev_pre,ok,26541,406,0.04374840490509561,0.003638253326016811,-0.8547620655547326,0.06842380967041573,0.1430202609796719,0.6962566694301522,1.742873682416219,0.07537302398504031
risk_verifiability_index,failure_cost_pre,ok,26541,406,0.0010342130121918864,0.0007068692045835831,0.08253325906192262,0.1404075132139737,0.041547924159369864,0.5401814092036243,0.19025186392951607,6.1026200312674916e-05
risk_verif_debt_distress_per10k,failure_cost_pre,ok,26541,406,0.9525973458119635,0.9528342552638627,1.770752820026813,0.10972164446740873,0.06336226045490241,0.9612030366484814,1.5108937137546443,0.17293211701498157
risk_verifiability_index,natural_highlev_pre,ok,26541,406,0.023705255644745415,0.018158123513980617,0.02808363170668168,0.34190834062277675,0.04323547276433502,0.43113709654896937,0.18903549063512834,0.002888680826419021
np_liability_control_right_per10k,high_lev_pre,ok,26541,406,0.20919881538053484,0.09777757890445968,0.210972100482845,0.6651966180990292,0.7706392523893091,0.034449715748861465,0.8212783795186803,0.024973779381357808
risk_verifiability_index,high_lev_pre,ok,26541,406,0.33692823375488146,0.4286133178500109,0.02623544919840792,0.2679889450319992,0.07350105420941179,0.007189372743846567,0.15959473581907216,0.01791219965063151
risk_verif_legal_process_per10k,high_lev_pre,ok,26541,406,0.09108274631676758,0.11000758588844711,-0.0992269347374482,0.851862425072659,-0.14670058394808538,0.6211666660233219,1.504956610598128,0.0473799800811896
risk_verif_debt_distress_per10k,natural_pre,ok,26541,406,0.6364763233660914,0.45847377466296946,1.573121829395662,0.12951501635117268,-0.15862361961869714,0.8854037540292161,0.6238477435561572,0.43321889366704136
risk_verif_guarantee_pledge_per10k,ar_controller_pledge_pre,ok,26541,406,0.3465821361006843,0.007749294444220389,0.868869632073175,0.36636504003307424,1.3305987420180412,0.19172918304206732,1.3034744585859006,0.10535403725972037
